"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.4175,200,200.999683744466,200,209.42839257175,196.865067671898,1,3162,50
0.5185,200,200.499841872233,200,209.081863932112,197.084710231922,1,3162,50
0.6255,200,200,200,204.073762093528,197.575185243433,1,3162,50
0.5985,200,200.166613957411,200,207.761522794534,196.263894711043,1,3162,50
0.642,200,200,200,206.352064892812,197.021050766731,1,3162,50
0.566,200,200.249920936116,200,207.113509810904,196.349299395555,1,3162,50
0.6675,200,200,200,206.414384638735,197.41691468301,1,3162,50
0.5865,200,200.124960468058,200,207.820673345075,196.223393142671,1,3162,50
0.605,200,200,200,205.850721769111,197.269154195845,1,3162,50
0.63,200,200,200,204.788275914757,197.540252511847,1,3162,50
0.38,200,201.499525616698,200,211.765774210542,196.619616715286,1,3162,50
0.589,200,200.166613957411,200,209.317887392542,196.321682458956,1,3162,50
0.6355,200,200,200,205.660192594561,196.912011063884,1,3162,50
0.5675,200,200.249920936116,200,207.911237660073,196.914400215418,1,3162,50
0.711,200,199.499841872233,199,206.268874131572,196.271404175848,1,3162,50
0.436,200,200.999683744466,200,208.7874723,197.189875842062,1,3162,50
0.6115,200,200.124960468058,200,209.861350236179,195.948452281298,1,3162,50
0.5505,200,200.499841872233,200,208.491161297005,196.410384362576,1,3162,50
0.6405,200,200,200,204.033641078582,197.701678185898,1,3162,50
0.6095,200,200.099968374447,200,209.372402812007,195.833753750232,1,3162,50
0.6485,200,200,200,206.412044220085,197.414258008826,1,3162,50
0.6525,200,200,200,206.32585249867,196.828224415178,1,3162,50
0.5875,200,200.124960468058,200,209.108913596062,195.946094705064,1,3162,50
0.5045,200,200.666455829644,200,208.621304545954,196.623834590229,1,3162,50
0.6155,200,200,200,205.869816922903,197.621793519993,1,3162,50
0.4345,200,200.999683744466,200,210.204931191156,196.875498342747,1,3162,50
0.518,200,200.499841872233,200,207.235029697022,197.237559741298,1,3162,50
0.668,200,200,200,204.746009507118,197.497986104209,1,3162,50
0.605,200,200.124960468058,200,209.283473184674,195.70348688908,1,3162,50
0.566,200,200.249920936116,200,207.859554269858,196.362242441901,1,3162,50
0.818,200,199,199,203.004555535507,196.505978685412,1,3162,50
0.5965,200,200.166613957411,200,207.846197722042,196.34856963855,1,3162,50
0.7095,200,199.499841872233,199,207.251704723428,196.325957004986,1,3162,50
0.65,200,200,200,206.389790158278,196.991814193698,1,3162,50
0.6345,200,200,200,206.360032773568,196.76243631563,1,3162,50
0.4275,200,200.999367488931,199,209.137367970374,197.140214270184,1,3162,50
0.4935,200,200.499841872233,200,208.187356285987,197.190202585797,1,3162,50
0.5275,200,200.499841872233,200,208.278346594449,197.281192894259,1,3162,50
0.818,200,199,199,203.58780870952,196.489421612746,1,3162,50
0.6395,200,200,200,206.492498187523,196.994870104032,1,3162,50
0.344,200,202.249288425047,200,216.391732965843,196.64734650158,1,3162,50
0.491,200,200.499841872233,200,207.221580108876,197.224110153152,1,3162,50
0.5805,200,200.166613957411,200,207.936752562631,196.172542147282,1,3162,50
0.5905,200,200,200,204.135830438089,197.637253587994,1,3162,50
0.2905,200,201.999367488931,200,212.07817444764,197.832048577937,1,3162,50
0.538,200,200.249920936116,200,207.025612307548,197.028142351824,1,3162,50
0.7185,200,199.499841872233,199,206.233316392986,196.235846437262,1,3162,50
0.632,200,200,200,205.497900500832,197.500430545108,1,3162,50
0.567,200,200.249920936116,200,207.923168199488,196.925698243764,1,3162,50
0.526,200,200.499841872233,200,208.268309691966,197.271155991776,1,3162,50
