"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.993,200,123.163417052214,74,170.445389908393,91.7751504051409,1,178,50
0.995,200,120.281701444623,69,168.825885233181,90.0392279298102,1,178,50
0.9955,200,122.432116104869,76,167.042249278186,93.147867255714,1,178,50
0.9435,200,149.043215211755,75,222.270222738199,108.602785503642,1,178,50
1,200,88.4553004396678,69,119.290896727872,69.2431604423469,1,178,50
0.9995,200,93.8314606741573,64,129.076070394526,72.5750872484582,1,178,50
0.9995,200,103.930711610487,72,143.898088126842,81.4358339133587,1,178,50
0.7525,200,181.630617977528,72,276.618664244175,127.023720423951,1,178,50
0.993,200,121.264220505618,74,169.276524229475,91.7759731838323,1,178,50
0.8445,200,167.256179775281,71,259.398826007204,115.185757825386,1,178,50
0.9995,200,95.9484467944481,66,134.306686245217,74.499757406266,1,178,50
0.9985,200,108.066186797753,70,151.910774831723,81.6107480794493,1,178,50
0.9875,200,130.076834104428,76,186.745568564164,96.9872218546938,1,178,50
0.933,200,153.731358529111,74,232.636281134556,110.945744948172,1,178,50
0.994,200,119.566119273984,70,170.748455504916,89.7999536322566,1,178,50
1,200,96.0800561797753,66,132.924773391264,73.5392259138458,1,178,50
0.9965,200,109.211754537597,65,160.848574513773,79.0381812553457,1,178,50
0.9975,200,115.376966292135,70,162.649668125622,86.6732636312403,1,178,50
0.998,200,110.053772070626,69,155.541529308944,82.5766056558181,1,178,50
1,200,90.8900280898876,67,124.928832133522,71.5573803298557,1,178,50
0.989,200,128.171348314607,70,186.964106772855,93.278563032887,1,178,50
0.976,200,132.018960674157,69,199.014565293632,94.5532892101648,1,178,50
0.9515,200,147.318692543412,75,214.90725202809,107.785796704388,1,178,50
0.9635,200,139.318692543412,67,211.743471936678,96.7454297167261,1,178,50
1,200,101.09606741573,65,145.30232204312,75.4547447959291,1,178,50
0.9985,200,109.053772070626,68,149.144926490869,83.0894859231578,1,178,50
0.97,200,137.065449438202,69,204.762440253054,98.3718904938246,1,178,50
0.985,200,133.192739844425,72,193.968407724198,98.1695313197038,1,178,50
0.9885,200,120.475280898876,63,183.223758868876,86.6843372651987,1,178,50
0.9975,200,109.426966292135,67,155.952605623656,82.8823258263439,1,178,50
0.9815,200,134.698434991974,75,191.829566849166,101.284623028941,1,178,50
0.9345,200,149.550561797753,70,229.076112571507,105.019113507837,1,178,50
0.996,200,113.850691443388,67,168.587588240253,83.1427956732697,1,178,50
0.997,200,117.988320520402,74,165.670775479519,89.5556069401935,1,178,50
0.997,200,108.60393258427,68,151.961704003918,81.4467461387497,1,178,50
0.9985,200,111.649308556612,70,152.016949347465,85.4088032800497,1,178,50
0.875,200,165.671348314607,78,247.10611457601,120.249373002977,1,178,50
0.999,200,102.753889369058,66,139.694514617637,79.2840124940951,1,178,50
1,200,96.164433880726,64,133.998773560384,73.3388367626317,1,178,50
0.9935,200,123.281701444623,72,176.598389630314,91.7650562969804,1,178,50
0.9995,200,87.8539325842697,62,120.437724549393,67.7509887595719,1,178,50
0.9985,200,108.066186797753,70,149.962488144208,81.368965341829,1,178,50
0.9995,200,94.8533707865168,63,135.909495932862,71.2968080589384,1,178,50
0.9995,200,103.922050561798,68,142.15047277344,79.2299543873317,1,178,50
0.9995,200,106.055736250739,74,146.040252323547,83.4884708333045,1,178,50
1,200,98.9484467944481,69,135.356186101549,76.8988066979841,1,178,50
0.9985,200,109.272471910112,69,152.85451461945,82.0265524131172,1,178,50
0.994,200,122.415168539326,72,175.00671202068,92.1958505974586,1,178,50
0.9955,200,110.120084269663,65,158.534424659283,81.1265594907435,1,178,50
0.676,200,189.895131086142,73,307.150757021171,129.796824436901,1,178,50
