"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.57,0.57,86.0795,75.0795,78,67,81.68304,81,1,316
0.0625,0.0625,91.814,79.814,83,71,81.68304,86,1,316
0.47,0.47,88.237,75.237,82,69,81.68304,82,1,316
0.3945,0.3945,89.5945,76.5945,84,71,81.68304,83,1,316
0.9795,0.9795,81.271,70.271,74,63,81.68304,76,1,316
0.822,0.822,84.176,73.176,77,66,81.68304,79,1,316
0.2365,0.2365,90.978,76.978,85,71,81.68304,84,1,316
0.163,0.163,92.061,78.061,87,73,81.68304,85,1,316
0.9355,0.9355,82.812,71.812,79,68,81.68304,77,1,316
0.538,0.538,86.818,74.818,81,69,81.68304,81,1,316
0.179,0.179,91.485,78.485,84,71,81.68304,85,1,316
0.8945,0.8945,84.137,72.137,79,67,81.68304,78,1,316
0.5385,0.5385,87.8245,74.8245,80,67,81.68304,81,1,316
0.56,0.56,86.9715,74.9715,81,69,81.68304,81,1,316
0.096,0.096,92.7765,78.7765,88,74,81.68304,86,1,316
0.7115,0.7115,86.225,74.225,80,68,81.68304,80,1,316
0.344,0.344,88.364,77.364,81,70,81.68304,83,1,316
0.3925,0.3925,87.7115,76.7115,82,71,81.68304,82,1,316
0.6415,0.6415,86.5825,75.5825,80,69,81.68304,81,1,316
0.316,0.316,89.801,76.801,81,68,81.68304,83,1,316
0.664,0.664,85.85,73.85,79,67,81.68304,80,1,316
0.5925,0.5925,86.212,75.212,79,68,81.68304,81,1,316
0.247,0.247,91.163,77.163,87,73,81.68304,84,1,316
0.9415,0.9415,83.435,72.435,77,66,81.68304,78,1,316
0.5545,0.5545,86.988,74.988,80,68,81.68304,81,1,316
0.694,0.694,86.25,73.25,81,68,81.68304,80,1,316
0.5255,0.5255,86.779,74.779,82,70,81.68304,81,1,316
0.4615,0.4615,88.2515,76.2515,81,69,81.68304,82,1,316
0.26,0.26,89.4355,77.4355,81,69,81.68304,84,1,316
0.972,0.972,82.0745,70.0745,76,64,81.68304,76,1,316
0.579,0.579,86.0815,75.0815,78,67,81.68304,81,1,316
0.763,0.763,85.7545,72.7545,81,68,81.68304,79,1,316
0.2105,0.2105,90.164,78.164,82,70,81.68304,84,1,316
0.4435,0.4435,88.122,76.122,80,68,81.68304,82,1,316
0.7925,0.7925,84.9275,72.9275,79,67,81.68304,79,1,316
0.445,0.445,87.1025,76.1025,79,68,81.68304,82,1,316
0.889,0.889,83.1615,72.1615,76,65,81.68304,78,1,316
0.4065,0.4065,87.845,75.845,82,70,81.68304,82,1,316
0.0675,0.0675,93.623,80.623,85,72,81.68304,87,1,316
0.5805,0.5805,86.101,75.101,79,68,81.68304,81,1,316
0.8995,0.8995,83.019,73.019,78,68,81.68304,78,1,316
0.9955,0.9955,78.7135,68.7135,73,63,81.68304,74,1,316
0.987,0.987,80.776,68.776,75,63,81.68304,75,1,316
0.11,0.11,90.824,78.824,82,70,81.68304,85,1,316
0.095,0.095,91.4105,80.4105,84,73,81.68304,86,1,316
0.437,0.437,89.8935,74.8935,85,70,81.68304,82,1,316
0.934,0.934,83.2815,71.2815,79,67,81.68304,77,1,316
0.6735,0.6735,85.9945,73.9945,80,68,81.68304,80,1,316
0.9035,0.9035,83.391,72.391,78,67,81.68304,78,1,316
0.9335,0.9335,82.299,72.299,74,64,81.68304,78,1,316
0.669,0.669,85.952,73.952,78,66,81.68304,80,1,316
0.363,0.363,88.5065,77.5065,83,72,81.68304,83,1,316
0.1235,0.1235,93.431,79.431,86,72,81.68304,86,1,316
0.53,0.53,86.8275,74.8275,80,68,81.68304,81,1,316
0.5235,0.5235,87.765,73.765,84,70,81.68304,81,1,316
0.863,0.863,84.378,73.378,78,67,81.68304,79,1,316
0.5585,0.5585,86.9805,74.9805,79,67,81.68304,81,1,316
0.035,0.035,96.897,80.897,94,78,81.68304,89,1,316
0.6655,0.6655,85.868,73.868,77,65,81.68304,80,1,316
0.685,0.685,86.1765,73.1765,81,68,81.68304,80,1,316
0.3215,0.3215,89.1355,77.1355,81,69,81.68304,83,1,316
0.457,0.457,88.2305,76.2305,82,70,81.68304,82,1,316
0.213,0.213,91.6405,78.6405,86,73,81.68304,85,1,316
0.4745,0.4745,87.368,76.368,81,70,81.68304,82,1,316
0.3745,0.3745,88.5795,77.5795,82,71,81.68304,83,1,316
0.747,0.747,85.508,74.508,79,68,81.68304,80,1,316
0.9995,0.9995,79.612,68.612,74,63,81.68304,74,1,316
0.301,0.301,89.8675,75.8675,84,70,81.68304,83,1,316
0.079,0.079,92.2215,80.2215,85,73,81.68304,86,1,316
0.221,0.221,89.464,78.464,81,70,81.68304,84,1,316
0.8305,0.8305,85.452,72.452,79,66,81.68304,79,1,316
0.6165,0.6165,88.6215,73.6215,85,70,81.68304,81,1,316
0.843,0.843,84.2415,73.2415,76,65,81.68304,79,1,316
0.8325,0.8325,84.265,73.265,77,66,81.68304,79,1,316
0.347,0.347,89.226,76.226,84,71,81.68304,83,1,316
0.85,0.85,84.573,72.573,80,68,81.68304,79,1,316
0.0965,0.0965,92.8375,78.8375,88,74,81.68304,86,1,316
0.284,0.284,88.778,76.778,83,71,81.68304,83,1,316
0.805,0.805,84.871,72.871,76,64,81.68304,79,1,316
0.2075,0.2075,89.9925,77.9925,83,71,81.68304,84,1,316
0.74,0.74,86.5435,73.5435,81,68,81.68304,80,1,316
0.3015,0.3015,88.994,77.994,81,70,81.68304,83,1,316
0.281,0.281,90.5875,77.5875,82,69,81.68304,84,1,316
0.9005,0.9005,83.497,71.497,79,67,81.68304,78,1,316
0.449,0.449,88.172,75.172,81,68,81.68304,82,1,316
0.014,0.014,95.067,82.067,87,74,81.68304,89,1,316
0.21,0.21,89.9075,77.9075,84,72,81.68304,84,1,316
0.9195,0.9195,82.8895,70.8895,78,66,81.68304,77,1,316
0.0585,0.0585,91.8215,79.8215,83,71,81.68304,86,1,316
0.5875,0.5875,87.267,74.267,80,67,81.68304,81,1,316
0.9935,0.9935,79.908,68.908,74,63,81.68304,75,1,316
0.65,0.65,86.857,72.857,83,69,81.68304,80,1,316
0.697,0.697,87.5625,71.5625,85,69,81.68304,80,1,316
0.442,0.442,88.015,77.015,81,70,81.68304,82,1,316
0.9935,0.9935,80.3755,71.3755,74,65,81.68304,76,1,316
0.726,0.726,86.442,73.442,83,70,81.68304,80,1,316
0.708,0.708,87.469,73.469,83,69,81.68304,80,1,316
0.0435,0.0435,95.1375,80.1375,89,74,81.68304,88,1,316
0.1035,0.1035,92.1015,79.1015,85,72,81.68304,86,1,316
0.9675,0.9675,81.8825,69.8825,76,64,81.68304,76,1,316
0.5515,0.5515,87.8725,73.8725,81,67,81.68304,81,1,316
0.3895,0.3895,86.801,76.801,79,69,81.68304,82,1,316
0.1115,0.1115,90.713,78.713,84,72,81.68304,85,1,316
0.338,0.338,89.2445,77.2445,81,69,81.68304,83,1,316
0.171,0.171,90.602,78.602,84,72,81.68304,85,1,316
0.117,0.117,90.8725,78.8725,83,71,81.68304,85,1,316
0.066,0.066,93.42,80.42,86,73,81.68304,87,1,316
0.418,0.418,88.0105,76.0105,82,70,81.68304,82,1,316
0.1845,0.1845,90.77,77.77,84,71,81.68304,84,1,316
0.297,0.297,88.956,76.956,81,69,81.68304,83,1,316
0.906,0.906,83.107,72.107,75,64,81.68304,78,1,316
0.0235,0.0235,93.8805,81.8805,85,73,81.68304,88,1,316
0.9465,0.9465,82.241,71.241,77,66,81.68304,77,1,316
0.06,0.06,93.261,80.261,85,72,81.68304,87,1,316
0.989,0.989,81.65,70.65,76,65,81.68304,76,1,316
0.6455,0.6455,85.6925,73.6925,81,69,81.68304,80,1,316
0.766,0.766,84.713,72.713,79,67,81.68304,79,1,316
0.368,0.368,89.47,76.47,82,69,81.68304,83,1,316
0.4995,0.4995,88.5335,75.5335,83,70,81.68304,82,1,316
0.7945,0.7945,85.0305,73.0305,77,65,81.68304,79,1,316
0.858,0.858,84.4075,73.4075,77,66,81.68304,79,1,316
0.7535,0.7535,84.754,72.754,81,69,81.68304,79,1,316
0.2965,0.2965,90.6745,76.6745,85,71,81.68304,84,1,316
0.3795,0.3795,86.7495,76.7495,81,71,81.68304,82,1,316
0.7295,0.7295,85.1885,75.1885,78,68,81.68304,80,1,316
0.8485,0.8485,85.2315,71.2315,82,68,81.68304,78,1,316
0.5065,0.5065,87.5195,75.5195,82,70,81.68304,82,1,316
0.492,0.492,87.512,76.512,80,69,81.68304,82,1,316
0.7195,0.7195,86.553,73.553,81,68,81.68304,80,1,316
0.134,0.134,93.6205,78.6205,87,72,81.68304,86,1,316
0.079,0.079,94.0235,79.0235,88,73,81.68304,87,1,316
0.3995,0.3995,87.809,75.809,82,70,81.68304,82,1,316
0.407,0.407,87.8885,75.8885,82,70,81.68304,82,1,316
0.828,0.828,84.3765,72.3765,80,68,81.68304,79,1,316
0.1075,0.1075,92.3305,79.3305,85,72,81.68304,86,1,316
0.6915,0.6915,86.0555,74.0555,80,68,81.68304,80,1,316
0.019,0.019,94.055,82.055,86,74,81.68304,88,1,316
0.7245,0.7245,85.251,74.251,79,68,81.68304,80,1,316
0.056,0.056,94.1575,80.1575,87,73,81.68304,87,1,316
0.873,0.873,83.8035,71.8035,79,67,81.68304,78,1,316
0.932,0.932,82.807,68.807,80,66,81.68304,76,1,316
0.822,0.822,85.265,73.265,78,66,81.68304,79,1,316
0.32,0.32,91.5825,76.5825,86,71,81.68304,84,1,316
0.978,0.978,81.379,68.379,79,66,81.68304,75,1,316
0.8565,0.8565,84.2535,73.2535,78,67,81.68304,79,1,316
0.411,0.411,88.706,75.706,84,71,81.68304,82,1,316
0.2965,0.2965,88.8845,76.8845,80,68,81.68304,83,1,316
0.5575,0.5575,86.927,74.927,80,68,81.68304,81,1,316
0.2015,0.2015,90.689,77.689,84,71,81.68304,84,1,316
0.819,0.819,85.0895,73.0895,78,66,81.68304,79,1,316
0.942,0.942,83.0075,69.0075,79,65,81.68304,76,1,316
0.209,0.209,92.241,77.241,89,74,81.68304,85,1,316
0.4095,0.4095,87.8865,75.8865,79,67,81.68304,82,1,316
0.989,0.989,81.5835,70.5835,76,65,81.68304,76,1,316
0.237,0.237,90.116,77.116,85,72,81.68304,84,1,316
0.84,0.84,84.659,72.659,81,69,81.68304,79,1,316
0.9385,0.9385,83.2925,72.2925,79,68,81.68304,78,1,316
0.566,0.566,86.099,75.099,79,68,81.68304,81,1,316
0.5165,0.5165,87.7095,74.7095,82,69,81.68304,81,1,316
0.2885,0.2885,88.934,76.934,81,69,81.68304,83,1,316
0.983,0.983,81.0285,70.0285,76,65,81.68304,76,1,316
0.1625,0.1625,89.7255,78.7255,84,73,81.68304,84,1,316
0.791,0.791,84.907,72.907,79,67,81.68304,79,1,316
0.2765,0.2765,88.8395,76.8395,81,69,81.68304,83,1,316
0.7025,0.7025,86.298,73.298,82,69,81.68304,80,1,316
0.0995,0.0995,92.8855,78.8855,86,72,81.68304,86,1,316
0.2005,0.2005,90.7365,76.7365,84,70,81.68304,84,1,316
0.277,0.277,88.796,77.796,83,72,81.68304,83,1,316
0.452,0.452,88.067,75.067,81,68,81.68304,82,1,316
0.7165,0.7165,85.0705,74.0705,80,69,81.68304,80,1,316
0.9365,0.9365,83.68,71.68,78,66,81.68304,78,1,316
0.9595,0.9595,81.9405,71.9405,77,67,81.68304,77,1,316
0.0185,0.0185,95.594,82.594,87,74,81.68304,89,1,316
0.4515,0.4515,87.1975,76.1975,80,69,81.68304,82,1,316
0.0335,0.0335,93.785,80.785,85,72,81.68304,87,1,316
0.3245,0.3245,88.993,75.993,81,68,81.68304,83,1,316
0.9835,0.9835,80.8605,68.8605,76,64,81.68304,75,1,316
0.1115,0.1115,92.6775,79.6775,86,73,81.68304,86,1,316
0.191,0.191,92.156,77.156,86,71,81.68304,85,1,316
0.476,0.476,87.4215,76.4215,81,70,81.68304,82,1,316
0.1585,0.1585,91.0625,79.0625,84,72,81.68304,85,1,316
0.448,0.448,88.1425,76.1425,81,69,81.68304,82,1,316
