"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.8865,150.25,142.275270758123,113.694744420446,156.260412264441,129.325942087348,-1,562,50
0.637,150.25,147.880863039399,117.239792130661,161.99629019637,134.311008918584,-1,562,50
0.438,150.25,151.43227665706,119.456883509834,165.375944282897,137.780120694886,-1,562,50
0.346,150.25,153.347276264591,120.643239113827,168.130305729047,139.529087769456,-1,562,50
0.5345,150.25,149.564516129032,118.293632958801,162.595201954004,136.387051945072,-1,562,50
0.981,150.25,135.546861564918,109.364265927978,149.370998719993,122.657126979852,-1,562,50
0.7145,150.25,146.506505576208,116.375829034635,160.925299662887,133.05176072602,-1,562,50
0.5365,150.25,149.848859315589,118.471117779445,164.117801065093,136.402270227974,-1,562,50
0.8245,150.25,143.83302919708,114.685548293391,157.862719503839,130.98512172745,-1,562,50
0.3375,150.25,153.049514563107,120.459191456903,166.178223617174,139.747560642713,-1,562,50
0.527,150.25,149.991436726927,118.56006006006,164.280000280223,135.699658399881,-1,562,50
0.1965,150.25,156.080198019802,122.325329202169,169.595728705082,142.543438691854,-1,562,50
0.4325,150.25,151.43227665706,119.456883509834,164.61699960096,138.828957939197,-1,562,50
0.865,150.25,143.179836512261,114.270622286541,157.107253924381,130.229656147992,-1,562,50
0.7905,150.25,145.023919043238,115.440058479532,158.419677836738,131.172172643201,-1,562,50
0.267,150.25,154.701668302257,121.478461538462,168.510686662754,140.580242571001,-1,562,50
0.993,150.25,133.368020304568,107.943950786056,146.797555582874,119.561380118636,-1,562,50
0.0465,150.25,162.182098765432,126.035115722267,176.168083661077,148.450537573985,-1,562,50
0.872,150.25,142.790760869565,114.023104693141,155.509233764214,129.271446308251,-1,562,50
0.9985,150.25,131.258118234804,106.560053981107,144.506845405724,118.432290077164,-1,562,50
0.519,150.25,149.706552706553,118.382308845577,165.698834870625,133.954171852831,-1,562,50
0.9155,150.25,139.381962864721,111.842776203966,154.861781832246,124.022915484128,-1,562,50
0.5795,150.25,148.85835694051,117.85223880597,163.161171166485,134.454527329299,-1,562,50
0.6775,150.25,147.190476190476,116.806213017751,160.599965067426,133.775903430235,-1,562,50
0.0525,150.25,160.694189602446,125.136291600634,174.106728006438,147.871688574246,-1,562,50
0.3655,150.25,152.605033881897,120.184170471842,166.529155622727,138.771107018735,-1,562,50
0.053,150.25,161.683076923077,125.734076433121,175.158883394728,147.834016443682,-1,562,50
0.0135,150.25,165.937894736842,128.287571080422,180.260698238248,151.366736804868,-1,562,50
0.5165,150.25,149.991436726927,118.56006006006,162.715405650772,137.238852695388,-1,562,50
0.758,150.25,145.559556786703,115.778592375367,158.828487607494,132.59435338335,-1,562,50
0.988,150.25,132.249161073825,107.211133740665,147.597848998913,117.292114963814,-1,562,50
0.7795,150.25,144.757575757576,115.271532846715,158.720190650977,130.650861926218,-1,562,50
0.015,150.25,166.112750263435,128.391869918699,180.51107558787,151.944051667398,-1,562,50
0.45,150.25,151.286948176583,119.366591080877,165.359193142493,137.06908626927,-1,562,50
0.6195,150.25,148.019718309859,117.326894502229,162.13791176005,133.844283061492,-1,562,50
0.1975,150.25,156.545183714002,122.610248447205,171.218844798106,141.404616261864,-1,562,50
0.735,150.25,145.559556786703,115.778592375367,159.804724050673,131.095108102271,-1,562,50
0.1565,150.25,157.169491525424,122.992211838006,170.783194094312,143.830004977452,-1,562,50
0.526,150.25,149.564516129032,118.293632958801,165.250280623389,133.573244196326,-1,562,50
0.0025,150.25,171.909487459106,131.821368948247,185.493729792288,156.725801373693,-1,562,50
0.6245,150.25,148.158834586466,117.414126394052,160.333311767466,135.651388944656,-1,562,50
0.8965,150.25,141.636118598383,113.286944045911,155.203870631413,128.48002272959,-1,562,50
0.9125,150.25,141.255376344086,113.043664996421,154.140380214835,128.511878054117,-1,562,50
0.492,150.25,150.420801526717,118.827689992476,164.915612692934,136.960832331177,-1,562,50
0.1575,150.25,157.641,123.28024980484,172.2268455869,143.148213711019,-1,562,50
0.6245,150.25,148.158834586466,117.414126394052,161.117882712772,134.976556310351,-1,562,50
0.014,150.25,164.896443514644,127.665319320938,177.784336217791,152.151653290961,-1,562,50
0.456,150.25,150.997126436781,119.18641509434,165.503873308277,136.816404348301,-1,562,50
0.4135,150.25,151.723772858518,119.637878787879,165.810262264784,137.638222618452,-1,562,50
0.7255,150.25,145.963888888889,116.033798677443,160.56538892153,132.349503855546,-1,562,50
