"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.425,0.425,97.0215,87.0215,92,82,91.4068,92,1,562
0.9765,0.9765,90.8945,81.8945,85,76,91.4068,87,1,562
0.347,0.347,96.6685,86.6685,91,81,91.4068,92,1,562
0.5195,0.5195,95.7795,85.7795,91,81,91.4068,91,1,562
0.3025,0.3025,99.785,86.785,95,82,91.4068,93,1,562
0.175,0.175,99.783,87.783,97,85,91.4068,94,1,562
0.2865,0.2865,97.135,88.135,91,82,91.4068,93,1,562
0.7955,0.7955,93.6,83.6,88,78,91.4068,89,1,562
0.575,0.575,96.004,86.004,91,81,91.4068,91,1,562
0.1105,0.1105,98.4475,88.4475,93,83,91.4068,94,1,562
0.5955,0.5955,95.15,86.15,90,81,91.4068,91,1,562
0.4195,0.4195,96.0845,87.0845,91,82,91.4068,92,1,562
0.7205,0.7205,96.28,84.28,92,80,91.4068,90,1,562
0.4445,0.4445,98.971,84.971,98,84,91.4068,92,1,562
0.029,0.029,102.636,90.636,98,86,91.4068,97,1,562
0.736,0.736,93.805,85.805,89,81,91.4068,90,1,562
0.789,0.789,93.5565,83.5565,90,80,91.4068,89,1,562
0.2785,0.2785,98.112,88.112,93,83,91.4068,93,1,562
0.7015,0.7015,96.257,83.257,94,81,91.4068,90,1,562
0.339,0.339,98.4025,87.4025,92,81,91.4068,93,1,562
0.1715,0.1715,98.8755,88.8755,94,84,91.4068,94,1,562
0.217,0.217,97.475,87.475,91,81,91.4068,93,1,562
0.97,0.97,91.8015,81.8015,87,77,91.4068,87,1,562
0.434,0.434,98.032,86.032,94,82,91.4068,92,1,562
0.132,0.132,99.606,88.606,94,83,91.4068,94,1,562
0.154,0.154,99.5945,88.5945,94,83,91.4068,94,1,562
0.9485,0.9485,92.1665,83.1665,88,79,91.4068,88,1,562
0.4505,0.4505,99.053,86.053,96,83,91.4068,92,1,562
0.4205,0.4205,97.011,87.011,92,82,91.4068,92,1,562
0.646,0.646,94.5245,84.5245,89,79,91.4068,90,1,562
0.1535,0.1535,99.554,87.554,96,84,91.4068,94,1,562
0.9995,0.9995,90.0635,80.0635,86,76,91.4068,85,1,562
0.114,0.114,100.3215,90.3215,94,84,91.4068,95,1,562
0.5755,0.5755,96.0445,86.0445,91,81,91.4068,91,1,562
0.3105,0.3105,98.207,87.207,94,83,91.4068,93,1,562
0.951,0.951,92,83,88,79,91.4068,88,1,562
0.8455,0.8455,92.837,84.837,88,80,91.4068,89,1,562
0.838,0.838,94.8865,80.8865,93,79,91.4068,88,1,562
0.754,0.754,93.9525,85.9525,89,81,91.4068,90,1,562
0.4805,0.4805,95.478,85.478,90,80,91.4068,91,1,562
0.9475,0.9475,91.7845,83.7845,87,79,91.4068,88,1,562
0.543,0.543,95.873,85.873,91,81,91.4068,91,1,562
0.027,0.027,101.423,90.423,95,84,91.4068,96,1,562
0.846,0.846,92.968,83.968,88,79,91.4068,89,1,562
0.546,0.546,96.863,85.863,91,80,91.4068,91,1,562
0.1145,0.1145,100.8015,88.8015,97,85,91.4068,95,1,562
0.714,0.714,96.204,84.204,92,80,91.4068,90,1,562
0.1545,0.1545,98.789,88.789,94,84,91.4068,94,1,562
0.9775,0.9775,91.15,82.15,87,78,91.4068,87,1,562
0.7395,0.7395,95.124,85.124,91,81,91.4068,90,1,562
0.1735,0.1735,99.1265,89.1265,92,82,91.4068,94,1,562
0.1355,0.1355,101.2605,89.2605,96,84,91.4068,95,1,562
0.8665,0.8665,94.189,84.189,88,78,91.4068,89,1,562
0.042,0.042,101.6065,90.6065,96,85,91.4068,96,1,562
0.298,0.298,98.154,88.154,94,84,91.4068,93,1,562
0.713,0.713,96.185,84.185,92,80,91.4068,90,1,562
0.9935,0.9935,90.736,81.736,85,76,91.4068,86,1,562
0.553,0.553,95.855,85.855,91,81,91.4068,91,1,562
0.165,0.165,99.546,87.546,97,85,91.4068,94,1,562
0.776,0.776,94.596,83.596,91,80,91.4068,89,1,562
0.247,0.247,100.357,87.357,96,83,91.4068,94,1,562
0.241,0.241,97.65,87.65,92,82,91.4068,93,1,562
0.3245,0.3245,97.3865,88.3865,92,83,91.4068,93,1,562
0.2275,0.2275,97.639,87.639,91,81,91.4068,93,1,562
0.8275,0.8275,93.7875,83.7875,89,79,91.4068,89,1,562
0.1295,0.1295,98.6745,88.6745,93,83,91.4068,94,1,562
0.2535,0.2535,97.7815,87.7815,93,83,91.4068,93,1,562
0.734,0.734,95.141,84.141,91,80,91.4068,90,1,562
0.253,0.253,98.652,87.652,93,82,91.4068,93,1,562
0.783,0.783,94.739,82.739,91,79,91.4068,89,1,562
0.5125,0.5125,96.5695,85.5695,91,80,91.4068,91,1,562
0.1395,0.1395,101.6595,87.6595,99,85,91.4068,95,1,562
0.75,0.75,94.1145,85.1145,89,80,91.4068,90,1,562
0.258,0.258,97.941,87.941,93,83,91.4068,93,1,562
0.6685,0.6685,94.565,85.565,91,82,91.4068,90,1,562
0.364,0.364,96.6165,86.6165,90,80,91.4068,92,1,562
0.8985,0.8985,92.6725,82.6725,88,78,91.4068,88,1,562
0.119,0.119,100.8395,88.8395,95,83,91.4068,95,1,562
0.1995,0.1995,97.497,88.497,91,82,91.4068,93,1,562
0.29,0.29,97.1905,88.1905,93,84,91.4068,93,1,562
0.4305,0.4305,97.0995,87.0995,93,83,91.4068,92,1,562
0.694,0.694,94.7935,84.7935,90,80,91.4068,90,1,562
0.926,0.926,92.54,81.54,89,78,91.4068,87,1,562
0.394,0.394,96.843,86.843,92,82,91.4068,92,1,562
0.8975,0.8975,92.511,83.511,87,78,91.4068,88,1,562
0.057,0.057,100.382,91.382,93,84,91.4068,96,1,562
0.528,0.528,96.777,84.777,94,82,91.4068,91,1,562
0.384,0.384,96.7745,86.7745,92,82,91.4068,92,1,562
0.0475,0.0475,101.0745,91.0745,97,87,91.4068,96,1,562
0.124,0.124,99.4255,88.4255,94,83,91.4068,94,1,562
0.469,0.469,96.3465,86.3465,90,80,91.4068,92,1,562
0.7095,0.7095,94.8825,84.8825,90,80,91.4068,90,1,562
0.206,0.206,100.0675,88.0675,95,83,91.4068,94,1,562
0.162,0.162,98.86,88.86,94,84,91.4068,94,1,562
0.2945,0.2945,98.105,88.105,94,84,91.4068,93,1,562
0.122,0.122,99.458,88.458,94,83,91.4068,94,1,562
0.1195,0.1195,100.9855,88.9855,97,85,91.4068,95,1,562
0.4425,0.4425,97.1515,87.1515,94,84,91.4068,92,1,562
0.365,0.365,96.637,87.637,90,81,91.4068,92,1,562
0.653,0.653,95.634,84.634,92,81,91.4068,90,1,562
0.337,0.337,96.5725,87.5725,91,82,91.4068,92,1,562
0.1325,0.1325,98.593,88.593,92,82,91.4068,94,1,562
0.998,0.998,89.845,81.845,85,77,91.4068,86,1,562
0.3715,0.3715,96.75,87.75,92,83,91.4068,92,1,562
0.168,0.168,99.818,88.818,96,85,91.4068,94,1,562
0.593,0.593,96.183,86.183,92,82,91.4068,91,1,562
0.594,0.594,95.174,86.174,89,80,91.4068,91,1,562
0.4595,0.4595,97.291,86.291,93,82,91.4068,92,1,562
0.3605,0.3605,97.45,86.45,91,80,91.4068,92,1,562
0.2865,0.2865,98.041,87.041,93,82,91.4068,93,1,562
0.5075,0.5075,95.602,85.602,90,80,91.4068,91,1,562
0.9315,0.9315,92.856,82.856,87,77,91.4068,88,1,562
0.317,0.317,97.352,88.352,92,83,91.4068,93,1,562
0.4695,0.4695,97.3565,87.3565,94,84,91.4068,92,1,562
0.2445,0.2445,97.728,87.728,92,82,91.4068,93,1,562
0.7015,0.7015,94.759,85.759,90,81,91.4068,90,1,562
0.702,0.702,94.808,84.808,92,82,91.4068,90,1,562
0.682,0.682,94.873,84.873,91,81,91.4068,90,1,562
0.3275,0.3275,98.297,87.297,95,84,91.4068,93,1,562
0.262,0.262,97.1705,88.1705,91,82,91.4068,93,1,562
0.5985,0.5985,96.158,85.158,93,82,91.4068,91,1,562
0.2115,0.2115,99.7925,86.7925,96,83,91.4068,94,1,562
0.8795,0.8795,93.2355,84.2355,88,79,91.4068,89,1,562
0.321,0.321,98.202,87.202,94,83,91.4068,93,1,562
0.1,0.1,101.4505,88.4505,97,84,91.4068,95,1,562
0.576,0.576,98.3315,83.3315,98,83,91.4068,91,1,562
0.1625,0.1625,99.014,89.014,95,85,91.4068,94,1,562
0.079,0.079,100.0535,90.0535,94,84,91.4068,95,1,562
0.78,0.78,94.56,83.56,89,78,91.4068,89,1,562
0.627,0.627,95.321,86.321,92,83,91.4068,91,1,562
0.892,0.892,93.3025,84.3025,89,80,91.4068,89,1,562
0.9565,0.9565,92.237,83.237,87,78,91.4068,88,1,562
0.424,0.424,96.1065,87.1065,91,82,91.4068,92,1,562
0.3905,0.3905,96.8065,86.8065,90,80,91.4068,92,1,562
0.617,0.617,95.3095,86.3095,89,80,91.4068,91,1,562
0.315,0.315,98.335,87.335,91,80,91.4068,93,1,562
0.507,0.507,96.586,85.586,94,83,91.4068,91,1,562
0.116,0.116,100.9295,88.9295,97,85,91.4068,95,1,562
0.4195,0.4195,96.999,85.999,92,81,91.4068,92,1,562
0.6205,0.6205,95.3545,86.3545,92,83,91.4068,91,1,562
0.6685,0.6685,94.5595,85.5595,89,80,91.4068,90,1,562
0.23,0.23,97.729,87.729,93,83,91.4068,93,1,562
0.1355,0.1355,99.4815,88.4815,94,83,91.4068,94,1,562
0.2735,0.2735,98.016,88.016,93,83,91.4068,93,1,562
0.282,0.282,97.2125,88.2125,92,83,91.4068,93,1,562
0.7145,0.7145,94.914,84.914,89,79,91.4068,90,1,562
0.544,0.544,95.7845,85.7845,91,81,91.4068,91,1,562
0.868,0.868,93.134,84.134,87,78,91.4068,89,1,562
0.445,0.445,97.081,86.081,93,82,91.4068,92,1,562
0.2925,0.2925,98.1075,88.1075,94,84,91.4068,93,1,562
0.1235,0.1235,100.163,89.163,95,84,91.4068,95,1,562
0.331,0.331,98.373,87.373,92,81,91.4068,93,1,562
0.4415,0.4415,97.178,87.178,93,83,91.4068,92,1,562
0.2045,0.2045,97.5955,88.5955,92,83,91.4068,93,1,562
0.386,0.386,96.833,86.833,92,82,91.4068,92,1,562
0.2685,0.2685,98.0315,88.0315,91,81,91.4068,93,1,562
0.434,0.434,97.0605,86.0605,94,83,91.4068,92,1,562
0.2705,0.2705,97.9415,87.9415,93,83,91.4068,93,1,562
0.6135,0.6135,96.297,85.297,92,81,91.4068,91,1,562
0.492,0.492,95.5635,86.5635,90,81,91.4068,91,1,562
0.6,0.6,96.2535,85.2535,91,80,91.4068,91,1,562
0.904,0.904,93.399,84.399,88,79,91.4068,89,1,562
0.81,0.81,94.0125,84.0125,90,80,91.4068,89,1,562
0.986,0.986,91.1655,82.1655,87,78,91.4068,87,1,562
0.3795,0.3795,96.707,86.707,93,83,91.4068,92,1,562
0.4255,0.4255,96.991,86.991,94,84,91.4068,92,1,562
0.456,0.456,96.3045,87.3045,91,82,91.4068,92,1,562
0.4405,0.4405,97.1635,87.1635,93,83,91.4068,92,1,562
0.262,0.262,100.3155,87.3155,99,86,91.4068,94,1,562
0.729,0.729,95.199,85.199,91,81,91.4068,90,1,562
0.545,0.545,96.8815,84.8815,94,82,91.4068,91,1,562
0.2515,0.2515,96.941,87.941,90,81,91.4068,93,1,562
0.9855,0.9855,90.727,82.727,87,79,91.4068,87,1,562
0.4795,0.4795,96.348,87.348,91,82,91.4068,92,1,562
0.1385,0.1385,98.996,88.996,94,84,91.4068,94,1,562
0.2835,0.2835,98.91,86.91,95,83,91.4068,93,1,562
0.694,0.694,94.688,85.688,90,81,91.4068,90,1,562
0.8835,0.8835,94.073,82.073,91,79,91.4068,88,1,562
0.7565,0.7565,94.4975,83.4975,90,79,91.4068,89,1,562
0.6285,0.6285,95.4425,84.4425,91,80,91.4068,90,1,562
0.859,0.859,94.0545,84.0545,90,80,91.4068,89,1,562
0.1525,0.1525,101.215,88.215,98,85,91.4068,95,1,562
0.15,0.15,98.2935,89.2935,94,85,91.4068,94,1,562
0.557,0.557,95.9905,84.9905,91,80,91.4068,91,1,562
0.3605,0.3605,98.43,85.43,95,82,91.4068,92,1,562
0.2515,0.2515,97.839,87.839,93,83,91.4068,93,1,562
0.916,0.916,92.856,82.856,88,78,91.4068,88,1,562
0.8875,0.8875,93.332,84.332,89,80,91.4068,89,1,562
0.8155,0.8155,93.7765,83.7765,89,79,91.4068,89,1,562
0.6315,0.6315,94.429,85.429,88,79,91.4068,90,1,562
0.742,0.742,95.317,84.317,89,78,91.4068,90,1,562
0.8535,0.8535,94.139,84.139,90,80,91.4068,89,1,562
0.907,0.907,93.277,84.277,89,80,91.4068,89,1,562
0.5355,0.5355,95.7645,85.7645,91,81,91.4068,91,1,562
0.5165,0.5165,96.6545,85.6545,93,82,91.4068,91,1,562
0.022,0.022,103.9765,91.9765,99,87,91.4068,98,1,562
0.1795,0.1795,98.8685,87.8685,95,84,91.4068,94,1,562
0.7035,0.7035,94.836,84.836,90,80,91.4068,90,1,562
0.195,0.195,99.033,89.033,94,84,91.4068,94,1,562
0.544,0.544,95.7615,85.7615,91,81,91.4068,91,1,562
0.065,0.065,99.5875,89.5875,92,82,91.4068,95,1,562
0.535,0.535,95.7525,85.7525,90,80,91.4068,91,1,562
0.252,0.252,97.856,87.856,93,83,91.4068,93,1,562
0.5535,0.5535,95.929,85.929,91,81,91.4068,91,1,562
0.682,0.682,94.725,84.725,89,79,91.4068,90,1,562
0.727,0.727,94.975,84.975,91,81,91.4068,90,1,562
0.5485,0.5485,96.901,84.901,93,81,91.4068,91,1,562
0.6005,0.6005,97.356,84.356,93,80,91.4068,91,1,562
0.3835,0.3835,97.661,85.661,94,82,91.4068,92,1,562
0.2595,0.2595,97.994,87.994,93,83,91.4068,93,1,562
0.83,0.83,93.7435,83.7435,88,78,91.4068,89,1,562
0.2735,0.2735,98.041,88.041,91,81,91.4068,93,1,562
0.2795,0.2795,98.039,88.039,94,84,91.4068,93,1,562
0.7435,0.7435,94.087,85.087,88,79,91.4068,90,1,562
0.34,0.34,96.608,86.608,91,81,91.4068,92,1,562
0.4705,0.4705,97.287,86.287,91,80,91.4068,92,1,562
0.395,0.395,97.693,85.693,93,81,91.4068,92,1,562
0.566,0.566,97.162,84.162,95,82,91.4068,91,1,562
0.7185,0.7185,95.166,84.166,92,81,91.4068,90,1,562
0.5245,0.5245,94.7385,86.7385,89,81,91.4068,91,1,562
0.464,0.464,96.322,87.322,92,83,91.4068,92,1,562
0.2465,0.2465,98.531,87.531,92,81,91.4068,93,1,562
0.9895,0.9895,90.675,82.675,87,79,91.4068,87,1,562
0.6915,0.6915,94.881,84.881,91,81,91.4068,90,1,562
0.3055,0.3055,96.462,87.462,91,82,91.4068,92,1,562
0.3735,0.3735,97.6475,86.6475,94,83,91.4068,92,1,562
0.274,0.274,98.7095,86.7095,93,81,91.4068,93,1,562
0.342,0.342,97.452,85.452,94,82,91.4068,92,1,562
0.374,0.374,96.693,86.693,91,81,91.4068,92,1,562
0.9865,0.9865,90.8675,80.8675,86,76,91.4068,86,1,562
0.5915,0.5915,96.2085,85.2085,91,80,91.4068,91,1,562
0.2465,0.2465,97.866,87.866,92,82,91.4068,93,1,562
0.8235,0.8235,95.336,83.336,94,82,91.4068,89,1,562
0.7445,0.7445,93.9515,85.9515,88,80,91.4068,90,1,562
0.6055,0.6055,96.2555,85.2555,92,81,91.4068,91,1,562
0.6975,0.6975,94.929,84.929,90,80,91.4068,90,1,562
0.044,0.044,101.0985,91.0985,97,87,91.4068,96,1,562
0.1605,0.1605,98.837,88.837,94,84,91.4068,94,1,562
0.6275,0.6275,95.3145,86.3145,90,81,91.4068,91,1,562
0.4275,0.4275,96.065,87.065,91,82,91.4068,92,1,562
0.584,0.584,95.0655,86.0655,90,81,91.4068,91,1,562
0.2275,0.2275,100.2465,87.2465,96,83,91.4068,94,1,562
0.0685,0.0685,100.525,89.525,95,84,91.4068,95,1,562
0.0745,0.0745,101.209,90.209,96,85,91.4068,96,1,562
0.4785,0.4785,95.4385,86.4385,90,81,91.4068,91,1,562
0.3725,0.3725,96.804,86.804,91,81,91.4068,92,1,562
0.064,0.064,101.9105,89.9105,96,84,91.4068,96,1,562
0.462,0.462,96.351,87.351,90,81,91.4068,92,1,562
0.3705,0.3705,96.7165,86.7165,92,82,91.4068,92,1,562
0.8315,0.8315,94.201,83.201,91,80,91.4068,89,1,562
0.7275,0.7275,94.9215,84.9215,90,80,91.4068,90,1,562
0.6335,0.6335,95.5345,83.5345,93,81,91.4068,90,1,562
0.8825,0.8825,92.678,82.678,89,79,91.4068,88,1,562
0.144,0.144,99.4165,88.4165,95,84,91.4068,94,1,562
0.922,0.922,92.6895,83.6895,87,78,91.4068,88,1,562
0.721,0.721,94.8955,84.8955,90,80,91.4068,90,1,562
0.1615,0.1615,99.421,87.421,97,85,91.4068,94,1,562
0.123,0.123,98.7665,88.7665,94,84,91.4068,94,1,562
0.684,0.684,94.6595,85.6595,90,81,91.4068,90,1,562
0.4945,0.4945,95.4995,85.4995,90,80,91.4068,91,1,562
0.553,0.553,95.918,85.918,91,81,91.4068,91,1,562
0.0685,0.0685,101.288,90.288,95,84,91.4068,96,1,562
0.142,0.142,98.6705,88.6705,92,82,91.4068,94,1,562
0.4955,0.4955,96.407,85.407,91,80,91.4068,91,1,562
0.2575,0.2575,97.819,87.819,93,83,91.4068,93,1,562
0.5915,0.5915,96.1265,86.1265,92,82,91.4068,91,1,562
0.23,0.23,97.6185,87.6185,91,81,91.4068,93,1,562
0.5485,0.5485,95.8745,84.8745,91,80,91.4068,91,1,562
0.6285,0.6285,95.2875,86.2875,92,83,91.4068,91,1,562
0.5035,0.5035,95.5285,85.5285,92,82,91.4068,91,1,562
0.118,0.118,98.7415,89.7415,93,84,91.4068,94,1,562
0.535,0.535,95.727,85.727,90,80,91.4068,91,1,562
0.9695,0.9695,92.1475,82.1475,88,78,91.4068,87,1,562
0.356,0.356,100.183,86.183,98,84,91.4068,93,1,562
0.536,0.536,95.7815,85.7815,91,81,91.4068,91,1,562
0.2915,0.2915,97.9595,87.9595,93,83,91.4068,93,1,562
0.979,0.979,90.858,82.858,87,79,91.4068,87,1,562
0.5685,0.5685,94.9385,85.9385,90,81,91.4068,91,1,562
0.6285,0.6285,96.336,86.336,91,81,91.4068,91,1,562
0.014,0.014,101.4785,91.4785,95,85,91.4068,97,1,562
0.812,0.812,95.1195,83.1195,91,79,91.4068,89,1,562
0.767,0.767,94.2035,85.2035,88,79,91.4068,90,1,562
0.2275,0.2275,97.624,87.624,92,82,91.4068,93,1,562
0.6895,0.6895,94.812,84.812,90,80,91.4068,90,1,562
0.274,0.274,98.7725,87.7725,93,82,91.4068,93,1,562
0.266,0.266,97.746,87.746,92,82,91.4068,93,1,562
0.764,0.764,94.1955,85.1955,89,80,91.4068,90,1,562
0.475,0.475,97.337,86.337,93,82,91.4068,92,1,562
0.333,0.333,98.293,87.293,94,83,91.4068,93,1,562
0.352,0.352,96.6475,86.6475,91,81,91.4068,92,1,562
0.0175,0.0175,101.6595,91.6595,95,85,91.4068,97,1,562
0.337,0.337,97.4085,86.4085,92,81,91.4068,92,1,562
0.2705,0.2705,97.9005,87.9005,93,83,91.4068,93,1,562
0.0845,0.0845,100.6585,89.6585,95,84,91.4068,95,1,562
0.3695,0.3695,97.6445,86.6445,92,81,91.4068,92,1,562
0.0615,0.0615,100.602,89.602,95,84,91.4068,95,1,562
0.599,0.599,97.221,85.221,96,84,91.4068,91,1,562
0.4305,0.4305,96.146,87.146,91,82,91.4068,92,1,562
0.246,0.246,97.775,87.775,92,82,91.4068,93,1,562
0.7535,0.7535,94.0425,85.0425,90,81,91.4068,90,1,562
0.7685,0.7685,94.285,85.285,88,79,91.4068,90,1,562
0.242,0.242,97.692,87.692,92,82,91.4068,93,1,562
0.6145,0.6145,96.3355,85.3355,90,79,91.4068,91,1,562
0.2965,0.2965,96.4205,87.4205,92,83,91.4068,92,1,562
0.2225,0.2225,97.6215,87.6215,91,81,91.4068,93,1,562
0.695,0.695,94.7485,84.7485,90,80,91.4068,90,1,562
0.217,0.217,97.648,87.648,91,81,91.4068,93,1,562
0.5065,0.5065,96.548,84.548,92,80,91.4068,91,1,562
0.144,0.144,98.6605,88.6605,93,83,91.4068,94,1,562
0.6845,0.6845,94.7315,84.7315,90,80,91.4068,90,1,562
0.1755,0.1755,98.386,89.386,93,84,91.4068,94,1,562
0.6965,0.6965,94.843,84.843,89,79,91.4068,90,1,562
0.124,0.124,100.9825,88.9825,95,83,91.4068,95,1,562
0.613,0.613,96.461,83.461,94,81,91.4068,90,1,562
0.8955,0.8955,93.074,84.074,88,79,91.4068,89,1,562
0.232,0.232,97.7145,87.7145,93,83,91.4068,93,1,562
0.185,0.185,97.451,88.451,92,83,91.4068,93,1,562
0.2915,0.2915,97.235,88.235,92,83,91.4068,93,1,562
0.437,0.437,96.169,87.169,90,81,91.4068,92,1,562
0.7365,0.7365,94.9855,84.9855,93,83,91.4068,90,1,562
0.8755,0.8755,93.064,84.064,88,79,91.4068,89,1,562
0.959,0.959,91.83,81.83,87,77,91.4068,87,1,562
0.5365,0.5365,96.836,84.836,92,80,91.4068,91,1,562
0.51,0.51,95.686,85.686,91,81,91.4068,91,1,562
0.141,0.141,98.694,88.694,93,83,91.4068,94,1,562
0.13,0.13,100.31,89.31,96,85,91.4068,95,1,562
0.665,0.665,94.6375,84.6375,89,79,91.4068,90,1,562
