"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.9365,5.95,5.79212340990327,5.78719135669713,5.99198688557338,5.5842851281715,-1,5623,50
0.8435,5.95,5.84160400205929,5.83657849933462,6.05135480616841,5.62485264230013,-1,5623,50
0.5485,5.95,5.93677915918134,5.93157146606469,6.16404307127889,5.70668816144797,-1,5623,50
0.1495,5.95,6.07094317041349,6.06547319533341,6.30533389984071,5.83895369526685,-1,5623,50
0.1905,5.95,6.04429210526216,6.03887473941248,6.25755740187944,5.84041727981479,-1,5623,50
0.1865,5.95,6.05653686282084,6.05109535708838,6.28444833082087,5.82774155009359,-1,5623,50
0.8295,5.95,5.84577800379088,5.84074457828788,6.0649239169589,5.62740655349215,-1,5623,50
0.6495,5.95,5.909272841333,5.904118132672,6.12548185498848,5.69582265678345,-1,5623,50
0.1915,5.95,6.04438687127874,6.03896931880712,6.26491543593328,5.82653253015637,-1,5623,50
0.2925,5.95,6.01182910947548,6.00647548530995,6.21727092014089,5.80009095759881,-1,5623,50
0.462,5.95,5.96375284062291,5.9584929284409,6.19307187914941,5.75010575818812,-1,5623,50
0.405,5.95,5.97786757000133,5.97258022989183,6.20309841882158,5.75924152535038,-1,5623,50
0.625,5.95,5.9155204889826,5.91035376925114,6.14292220633904,5.69726133653386,-1,5623,50
0.819,5.95,5.84810091456974,5.84306307721449,6.0667114918665,5.61921833613464,-1,5623,50
0.321,5.95,6.00371817389007,5.99838041733517,6.22076808989101,5.78703670976826,-1,5623,50
0.7755,5.95,5.86389315316293,5.85882527122759,6.07911325779092,5.64943313457768,-1,5623,50
0.827,5.95,5.84676620485624,5.84173090271908,6.06828861808611,5.62918491132011,-1,5623,50
0.676,5.95,5.89844984382756,5.89331590955816,6.12588838515605,5.67479061026355,-1,5623,50
0.1245,5.95,6.07872020490259,6.07323483046854,6.30906472184335,5.8635035267116,-1,5623,50
0.57,5.95,5.92894050111239,5.92374793466855,6.1487600073709,5.70805887498969,-1,5623,50
0.05,5.95,6.13195915403131,6.12636778479172,6.35640499170963,5.9174957308334,-1,5623,50
0.178,5.95,6.05346812673706,6.04803267584663,6.28418598799428,5.82921850647314,-1,5623,50
0.032,5.95,6.164226065843,6.15856996633233,6.39856300729489,5.94055819637427,-1,5623,50
0.016,5.95,6.19686351044386,6.19114156172074,6.41001558425486,5.98178958585721,-1,5623,50
0.5065,5.95,5.94840371123872,5.94317354548573,6.15861342048558,5.74460569444875,-1,5623,50
0.9515,5.95,5.77580085608819,5.77089943932084,5.98052775384741,5.56305663862908,-1,5623,50
0.571,5.95,5.93008828209153,5.92489350207599,6.14870664841231,5.70746453640546,-1,5623,50
0.5215,5.95,5.94233441355821,5.93711598697813,6.16388580251073,5.72726278664879,-1,5623,50
0.7395,5.95,5.88186263692714,5.87676046062997,6.09253037686762,5.67341040730372,-1,5623,50
0.877,5.95,5.81491066974515,5.80993568818093,6.03907882609735,5.59792567103231,-1,5623,50
0.6655,5.95,5.90498785286557,5.89984137406891,6.12678540893732,5.68906370418356,-1,5623,50
0.304,5.95,6.00967136300179,6.00432196236347,6.23677145293887,5.79866569353545,-1,5623,50
0.73,5.95,5.88652403824132,5.88141294705429,6.10233894451545,5.67226517072164,-1,5623,50
0.436,5.95,5.96941056507578,5.96413966721451,6.19535294892386,5.74884574341933,-1,5623,50
0.8755,5.95,5.82368617296433,5.81869461032222,6.03611321239144,5.60902986326893,-1,5623,50
0.0535,5.95,6.12265765416797,6.11708487599595,6.33988076630546,5.91379462360033,-1,5623,50
0.0765,5.95,6.1122921386029,6.10674004201578,6.33851291759022,5.89220320142817,-1,5623,50
0.1235,5.95,6.08246522533354,6.07697242770964,6.31112900262485,5.86800335178056,-1,5623,50
0.004,5.95,6.23431064166305,6.228512674355,6.44644454959374,6.01610127994706,-1,5623,50
0.0955,5.95,6.09819495392669,6.09267092331008,6.31568506619863,5.87827904521272,-1,5623,50
0.8545,5.95,5.83215893799289,5.82715134037019,6.04507338204041,5.62518606037294,-1,5623,50
0.8475,5.95,5.84232948717618,5.83730260783356,6.04915620801184,5.63944755635031,-1,5623,50
0.601,5.95,5.92451147738595,5.91932744822763,6.14085864107801,5.71126575375301,-1,5623,50
0.888,5.95,5.81450852261024,5.80953430023767,6.02497972997887,5.59248095351538,-1,5623,50
0.8145,5.95,5.84839519511298,5.84335679870071,6.07044223307094,5.62610527994982,-1,5623,50
0.746,5.95,5.87924821516381,5.87415103555224,6.09474874346516,5.66397343204422,-1,5623,50
0.397,5.95,5.97773192460902,5.97244484842372,6.18513620006084,5.77599017307189,-1,5623,50
0.4105,5.95,5.97665376270579,5.97136878405954,6.2021521234894,5.769658952064,-1,5623,50
0.8635,5.95,5.83115200484606,5.82614631421002,6.04655697702019,5.62355982909262,-1,5623,50
0.8185,5.95,5.84645911316931,5.8414243942489,6.07529305746687,5.62549704482287,-1,5623,50
