"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.2815,0.2815,157.1785,139.1785,137,119,145.57682,148,1,316
0.2435,0.2435,158.2395,140.2395,139,121,145.57682,149,1,316
0.366,0.366,155.9085,137.9085,139,121,145.57682,147,1,316
0.3525,0.3525,156.697,137.697,139,120,145.57682,147,1,316
0.811,0.811,151.453,132.453,134,115,145.57682,142,1,316
0.0355,0.0355,164.381,144.381,144,124,145.57682,155,1,316
0.41,0.41,156.391,138.391,138,120,145.57682,147,1,316
0.808,0.808,150.279,133.279,130,113,145.57682,142,1,316
0.1225,0.1225,159.985,140.985,143,124,145.57682,151,1,316
0.692,0.692,151.926,133.926,137,119,145.57682,143,1,316
0.785,0.785,151.324,132.324,136,117,145.57682,142,1,316
0.389,0.389,158.103,137.103,147,126,145.57682,147,1,316
0.3435,0.3435,155.7515,137.7515,135,117,145.57682,147,1,316
0.5475,0.5475,154.029,136.029,136,118,145.57682,145,1,316
0.6935,0.6935,152.972,133.972,138,119,145.57682,143,1,316
0.6935,0.6935,152.8725,133.8725,136,117,145.57682,143,1,316
0.991,0.991,143.935,125.935,129,111,145.57682,135,1,316
0.6375,0.6375,153.0125,135.0125,135,117,145.57682,144,1,316
0.327,0.327,157.3805,137.3805,146,126,145.57682,148,1,316
0.678,0.678,151.683,133.683,134,116,145.57682,143,1,316
0.302,0.302,157.015,139.015,138,120,145.57682,148,1,316
0.72,0.72,151.8935,134.8935,133,116,145.57682,143,1,316
0.2595,0.2595,159.187,139.187,143,123,145.57682,149,1,316
0.7375,0.7375,152.301,134.301,134,116,145.57682,143,1,316
0.218,0.218,158.7985,139.7985,141,122,145.57682,149,1,316
0.4115,0.4115,156.4735,136.4735,142,122,145.57682,147,1,316
0.3305,0.3305,157.362,138.362,142,123,145.57682,148,1,316
0.4195,0.4195,156.5485,138.5485,138,120,145.57682,147,1,316
0.74,0.74,152.3095,134.3095,133,115,145.57682,143,1,316
0.2505,0.2505,159.1305,139.1305,143,123,145.57682,149,1,316
0.1515,0.1515,160.412,141.412,145,126,145.57682,151,1,316
0.713,0.713,152.353,133.353,136,117,145.57682,143,1,316
0.62,0.62,153.029,135.029,133,115,145.57682,144,1,316
0.089,0.089,159.6385,142.6385,141,124,145.57682,151,1,316
0.174,0.174,160.036,141.036,143,124,145.57682,150,1,316
0.889,0.889,149.507,130.507,136,117,145.57682,140,1,316
0.015,0.015,169.3465,147.3465,153,131,145.57682,158,1,316
0.22,0.22,160.298,139.298,146,125,145.57682,150,1,316
0.153,0.153,158.7415,140.7415,138,120,145.57682,150,1,316
0.361,0.361,156.6145,136.6145,142,122,145.57682,147,1,316
0.6565,0.6565,152.2775,135.2775,135,118,145.57682,144,1,316
0.664,0.664,153.286,135.286,136,118,145.57682,144,1,316
0.1295,0.1295,160.886,140.886,144,124,145.57682,151,1,316
0.0285,0.0285,162.83,144.83,143,125,145.57682,154,1,316
0.747,0.747,151.4885,133.4885,134,116,145.57682,143,1,316
0.187,0.187,159.207,141.207,140,122,145.57682,150,1,316
0.6815,0.6815,152.9135,132.9135,137,117,145.57682,143,1,316
0.8875,0.8875,149.1175,131.1175,131,113,145.57682,140,1,316
0.9945,0.9945,142.83,127.83,126,111,145.57682,135,1,316
0.483,0.483,155.213,136.213,138,119,145.57682,146,1,316
0.9945,0.9945,142.8105,124.8105,131,113,145.57682,134,1,316
0.4185,0.4185,154.5785,137.5785,137,120,145.57682,146,1,316
0.511,0.511,153.6505,135.6505,137,119,145.57682,145,1,316
0.4995,0.4995,156.546,135.546,142,121,145.57682,146,1,316
0.683,0.683,152.7645,133.7645,139,120,145.57682,143,1,316
0.9655,0.9655,145.9595,129.9595,129,113,145.57682,138,1,316
0.03,0.03,165.1155,145.1155,146,126,145.57682,155,1,316
0.0605,0.0605,162.178,143.178,142,123,145.57682,153,1,316
0.429,0.429,155.598,136.598,137,118,145.57682,146,1,316
0.2375,0.2375,158.2755,140.2755,138,120,145.57682,149,1,316
0.99,0.99,143.3125,126.3125,130,113,145.57682,135,1,316
0.6675,0.6675,152.772,133.772,136,117,145.57682,143,1,316
0.114,0.114,159.7655,141.7655,139,121,145.57682,151,1,316
0.336,0.336,157.404,138.404,139,120,145.57682,148,1,316
0.764,0.764,150.7395,132.7395,133,115,145.57682,142,1,316
0.2175,0.2175,158.593,138.593,140,120,145.57682,149,1,316
0.265,0.265,156.773,139.773,138,121,145.57682,148,1,316
0.609,0.609,153.721,134.721,138,119,145.57682,144,1,316
0.371,0.371,155.9775,137.9775,139,121,145.57682,147,1,316
0.13,0.13,160.5925,140.5925,145,125,145.57682,151,1,316
0.7155,0.7155,152.1415,134.1415,135,117,145.57682,143,1,316
0.978,0.978,144.6035,126.6035,130,112,145.57682,136,1,316
0.5445,0.5445,153.0815,136.0815,134,117,145.57682,145,1,316
0.84,0.84,150.042,132.042,134,116,145.57682,141,1,316
0.7705,0.7705,150.8275,133.8275,133,116,145.57682,142,1,316
0.08,0.08,162.296,143.296,144,125,145.57682,153,1,316
0.231,0.231,159.6965,138.6965,147,126,145.57682,149,1,316
0.9285,0.9285,148.434,132.434,131,115,145.57682,140,1,316
