"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.541,0.541,91.7265,80.7265,90,79,86.35028,86,1,1778
0.8015,0.8015,88.5895,78.5895,85,75,86.35028,84,1,1778
0.9885,0.9885,85.4355,78.4355,82,75,86.35028,82,1,1778
0.491,0.491,94.2655,80.2655,93,79,86.35028,87,1,1778
0.6685,0.6685,89.7205,79.7205,89,79,86.35028,85,1,1778
0.2865,0.2865,93.8575,81.8575,91,79,86.35028,88,1,1778
0.724,0.724,90.2305,79.2305,89,78,86.35028,85,1,1778
0.3515,0.3515,91.6165,81.6165,88,78,86.35028,87,1,1778
0.4705,0.4705,91.355,80.355,89,78,86.35028,86,1,1778
0.077,0.077,94.2065,85.2065,90,81,86.35028,90,1,1778
0.993,0.993,86.105,78.105,83,75,86.35028,82,1,1778
0.6045,0.6045,90.19,82.19,87,79,86.35028,86,1,1778
0.4185,0.4185,92.761,80.761,91,79,86.35028,87,1,1778
0.5305,0.5305,89.7015,81.7015,87,79,86.35028,86,1,1778
0.398,0.398,91.818,81.818,89,79,86.35028,87,1,1778
0.7535,0.7535,90.2715,80.2715,86,76,86.35028,85,1,1778
0.3435,0.3435,92.549,81.549,89,78,86.35028,87,1,1778
0.459,0.459,91.3305,82.3305,88,79,86.35028,87,1,1778
0.618,0.618,91.2665,81.2665,89,79,86.35028,86,1,1778
0.904,0.904,88.282,80.282,85,77,86.35028,84,1,1778
0.3045,0.3045,94.0445,82.0445,93,81,86.35028,88,1,1778
0.1695,0.1695,92.381,83.381,87,78,86.35028,88,1,1778
0.957,0.957,87.185,78.185,85,76,86.35028,83,1,1778
0.802,0.802,88.562,79.562,85,76,86.35028,84,1,1778
0.462,0.462,91.2885,82.2885,87,78,86.35028,87,1,1778
0.8515,0.8515,89.0355,79.0355,86,76,86.35028,84,1,1778
0.9895,0.9895,86.3115,79.3115,83,76,86.35028,83,1,1778
0.3645,0.3645,91.727,82.727,89,80,86.35028,87,1,1778
0.7955,0.7955,88.4445,79.4445,86,77,86.35028,84,1,1778
0.506,0.506,91.5255,80.5255,88,77,86.35028,86,1,1778
0.098,0.098,95.143,85.143,91,81,86.35028,90,1,1778
0.4625,0.4625,94.0635,80.0635,93,79,86.35028,87,1,1778
0.331,0.331,93.341,82.341,91,80,86.35028,88,1,1778
0.5565,0.5565,90.941,80.941,87,77,86.35028,86,1,1778
0.8995,0.8995,87.537,78.537,85,76,86.35028,83,1,1778
0.3845,0.3845,90.972,81.972,87,78,86.35028,87,1,1778
0.993,0.993,85.6635,76.6635,83,74,86.35028,81,1,1778
0.1575,0.1575,93.1695,84.1695,89,80,86.35028,89,1,1778
0.702,0.702,88.81,79.81,84,75,86.35028,85,1,1778
0.3245,0.3245,91.373,82.373,88,79,86.35028,87,1,1778
0.778,0.778,89.165,80.165,85,76,86.35028,85,1,1778
0.5595,0.5595,89.939,81.939,86,78,86.35028,86,1,1778
0.201,0.201,93.3585,82.3585,90,79,86.35028,88,1,1778
0.397,0.397,92.773,80.773,91,79,86.35028,87,1,1778
0.0665,0.0665,94.8295,84.8295,89,79,86.35028,90,1,1778
0.926,0.926,88.3365,77.3365,87,76,86.35028,83,1,1778
0.4465,0.4465,90.298,83.298,87,80,86.35028,87,1,1778
0.5425,0.5425,90.836,80.836,89,79,86.35028,86,1,1778
0.967,0.967,87.164,79.164,83,75,86.35028,83,1,1778
0.0285,0.0285,95.0815,86.0815,91,82,86.35028,91,1,1778
0.126,0.126,94.385,83.385,91,80,86.35028,89,1,1778
0.942,0.942,87.3455,80.3455,83,76,86.35028,84,1,1778
0.1205,0.1205,93.411,83.411,90,80,86.35028,89,1,1778
0.9045,0.9045,88.301,79.301,85,76,86.35028,84,1,1778
0.553,0.553,90.9605,80.9605,88,78,86.35028,86,1,1778
0.715,0.715,90.0865,80.0865,88,78,86.35028,85,1,1778
0.645,0.645,88.369,80.369,85,77,86.35028,85,1,1778
0.861,0.861,89.3405,78.3405,88,77,86.35028,84,1,1778
0.8525,0.8525,89.001,79.001,86,76,86.35028,84,1,1778
0.8815,0.8815,88.2355,79.2355,84,75,86.35028,84,1,1778
0.381,0.381,90.936,81.936,87,78,86.35028,87,1,1778
0.2165,0.2165,91.754,83.754,87,79,86.35028,88,1,1778
0.62,0.62,90.3995,79.3995,86,75,86.35028,85,1,1778
0.87,0.87,88.2155,79.2155,84,75,86.35028,84,1,1778
0.1785,0.1785,93.294,84.294,90,81,86.35028,89,1,1778
0.0635,0.0635,94.0745,85.0745,92,83,86.35028,90,1,1778
0.8815,0.8815,87.808,79.808,84,76,86.35028,84,1,1778
0.0965,0.0965,96.3745,83.3745,94,81,86.35028,90,1,1778
0.919,0.919,87.086,80.086,84,77,86.35028,84,1,1778
0.8485,0.8485,87.4585,79.4585,84,76,86.35028,84,1,1778
0.098,0.098,95.2565,85.2565,91,81,86.35028,90,1,1778
0.9545,0.9545,87.298,78.298,84,75,86.35028,83,1,1778
0.1185,0.1185,93.3625,84.3625,89,80,86.35028,89,1,1778
0.131,0.131,95.303,84.303,92,81,86.35028,90,1,1778
0.3195,0.3195,93.304,82.304,90,79,86.35028,88,1,1778
0.249,0.249,92.8255,83.8255,88,79,86.35028,88,1,1778
0.7945,0.7945,89.2935,80.2935,85,76,86.35028,85,1,1778
0.337,0.337,92.4205,81.4205,89,78,86.35028,87,1,1778
0.381,0.381,91.7565,81.7565,90,80,86.35028,87,1,1778
0.403,0.403,91.9715,81.9715,89,79,86.35028,87,1,1778
0.9815,0.9815,85.957,77.957,82,74,86.35028,82,1,1778
0.135,0.135,94.4565,83.4565,92,81,86.35028,89,1,1778
0.3935,0.3935,92.7565,80.7565,91,79,86.35028,87,1,1778
