"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.4545,69.7064346943527,69.7339098659585,69.6725140105197,70.21731372279,69.2578619111243,0,56234,50
0.9125,69.7064346943527,69.3767440346254,69.3156638983807,69.8504687319049,68.901878629989,0,56234,50
0.607,69.7064346943527,69.6415829948759,69.5802690566948,70.1536805817048,69.1341727422467,0,56234,50
0.1905,69.7064346943527,69.9109149398222,69.8493641209021,70.375040547871,69.4133933480589,0,56234,50
0.5665,69.7064346943527,69.6729458991737,69.6116047756345,70.1518237359285,69.1968237713334,0,56234,50
0.2575,69.7064346943527,69.8554614753074,69.7939603674591,70.3333451381647,69.3393886154521,0,56234,50
0.2345,69.7064346943527,69.887452727398,69.8259230910164,70.3797794134978,69.4184944163356,0,56234,50
0.7545,69.7064346943527,69.5275112057974,69.4662980747463,69.9978131006114,69.0200586669503,0,56234,50
0.842,69.7064346943527,69.4680431540119,69.4068817570232,69.9250879993839,68.9927939138835,0,56234,50
0.2035,69.7064346943527,69.9220927327282,69.8605331186892,70.4197600864408,69.4453185585515,0,56234,50
0.1765,69.7064346943527,69.9308214496215,69.8692535352758,70.4041817949442,69.4484311139346,0,56234,50
0.74,69.7064346943527,69.5473913789677,69.4861604342749,70.0283089112236,69.0582626404806,0,56234,50
0.957,69.7064346943527,69.2916075197035,69.2306004496104,69.7783731519821,68.8143586204986,0,56234,50
0.431,69.7064346943527,69.7535429881365,69.6921301108071,70.2258608003723,69.2897536714211,0,56234,50
0.4325,69.7064346943527,69.7496822359366,69.6882731908257,70.244620312252,69.270908311284,0,56234,50
0.0435,69.7064346943527,70.1331296631649,70.0713840533823,70.5880572212844,69.6492141790306,0,56234,50
0.978,69.7064346943527,69.2183539899319,69.1574116889024,69.696426480876,68.7429663459069,0,56234,50
0.319,69.7064346943527,69.8171654140151,69.7556978813882,70.3167070649943,69.3407897033413,0,56234,50
0.315,69.7064346943527,69.8236094653157,69.7621360793738,70.2889106491149,69.3404585486059,0,56234,50
0.8605,69.7064346943527,69.4397177326781,69.3785808915024,69.9134598559368,68.964718860464,0,56234,50
0.945,69.7064346943527,69.3108969398657,69.2498747280442,69.8124885532124,68.8281047030515,0,56234,50
0.159,69.7064346943527,69.9503332444241,69.8887486084284,70.4396012187929,69.4479308029396,0,56234,50
0.12,69.7064346943527,69.9998254021286,69.9381976955755,70.4792529640188,69.5244524535495,0,56234,50
0.2055,69.7064346943527,69.9109592910878,69.8494089085443,70.398870967653,69.4263239822698,0,56234,50
0.2085,69.7064346943527,69.9041677863057,69.8426226527667,70.3778988155898,69.4507172877095,0,56234,50
0.9465,69.7064346943527,69.3148760866833,69.2538500324548,69.7815728243875,68.8323222947048,0,56234,50
0.1995,69.7064346943527,69.9121617670839,69.8506098351162,70.3820856350973,69.4354500815041,0,56234,50
0.525,69.7064346943527,69.683600963053,69.6222504007273,70.1589726884502,69.2025357196649,0,56234,50
0.7955,69.7064346943527,69.5088610282435,69.4476645271504,70.001237188465,69.019003905145,0,56234,50
0.637,69.7064346943527,69.6239043410453,69.5626068759873,70.1065618693663,69.1268561634282,0,56234,50
0.5345,69.7064346943527,69.6850504667318,69.623698419402,70.1619544358548,69.2080705669673,0,56234,50
0.4225,69.7064346943527,69.7523394827335,69.6909277859504,70.2175246302201,69.2962494190424,0,56234,50
0.703,69.7064346943527,69.5643846987517,69.503139143666,70.0441430079227,69.0815527980929,0,56234,50
0.3855,69.7064346943527,69.7736208821524,69.712191117089,70.2626046732606,69.3126859568608,0,56234,50
0.503,69.7064346943527,69.6968642745647,69.6355024202646,70.1841633052873,69.2084351011827,0,56234,50
0.3125,69.7064346943527,69.8222181601854,69.7607447456079,70.3157310952607,69.329366080177,0,56234,50
0.9105,69.7064346943527,69.379721505852,69.3186377678614,69.8507011082407,68.9029607559166,0,56234,50
0.237,69.7064346943527,69.8758420058663,69.8143219889752,70.3791610305282,69.3988476523642,0,56234,50
0.0865,69.7064346943527,70.0361618021865,69.9745020512102,70.4973565685401,69.5695001048582,0,56234,50
0.805,69.7064346943527,69.4931467409464,69.431963437666,69.9627678411719,68.9936931309453,0,56234,50
0.201,69.7064346943527,69.9175881871633,69.8560320016991,70.4035509476679,69.4133395868228,0,56234,50
0.813,69.7064346943527,69.4857224687835,69.4245464183079,69.9554953655831,69.0029746069611,0,56234,50
0.9735,69.7064346943527,69.2223231546483,69.1613785683372,69.7164449948598,68.7406337705588,0,56234,50
0.9615,69.7064346943527,69.2792016435011,69.218207586211,69.7632406622789,68.7884381534335,0,56234,50
0.844,69.7064346943527,69.4545373294053,69.3933882074304,69.9545900092756,68.9619092379438,0,56234,50
0.6925,69.7064346943527,69.5767644709435,69.5155071391031,70.0642460369345,69.0898049025948,0,56234,50
0.017,69.7064346943527,70.242205658902,70.1803635883051,70.7255237031521,69.7343733958616,0,56234,50
0.5015,69.7064346943527,69.7178038420859,69.6564238190596,70.2140829472985,69.2403793522103,0,56234,50
1,69.7064346943527,68.867065115985,68.8064327948151,69.3586771260509,68.3846167022842,0,56234,50
0.753,69.7064346943527,69.5298340127131,69.468617127992,69.9961093204809,69.0514486788605,0,56234,50
