"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.557,0.557,59.846,50.846,59,50,54.91654,55,1,1778
0.6115,0.6115,57.059,50.059,55,48,54.91654,54,1,1778
0.3115,0.3115,59.5865,52.5865,57,50,54.91654,56,1,1778
0.098,0.098,60.948,52.948,59,51,54.91654,57,1,1778
0.6425,0.6425,58.3465,49.3465,58,49,54.91654,54,1,1778
1,1,53.73,47.73,52,46,54.91654,51,1,1778
0.463,0.463,60.1745,50.1745,60,50,54.91654,55,1,1778
0.0655,0.0655,65.2215,53.2215,64,52,54.91654,59,1,1778
0.914,0.914,55.681,49.681,54,48,54.91654,53,1,1778
0.384,0.384,60.8305,51.8305,60,51,54.91654,56,1,1778
0.325,0.325,59.5515,51.5515,58,50,54.91654,56,1,1778
0.6065,0.6065,57.0725,50.0725,55,48,54.91654,54,1,1778
0.1125,0.1125,63.142,52.142,62,51,54.91654,58,1,1778
0.9935,0.9935,54.7595,48.7595,53,47,54.91654,52,1,1778
0.9375,0.9375,55.353,48.353,53,46,54.91654,52,1,1778
0.675,0.675,58.561,49.561,57,48,54.91654,54,1,1778
1,1,52.588,46.588,51,45,54.91654,50,1,1778
0.1905,0.1905,61.352,52.352,59,50,54.91654,57,1,1778
0.011,0.011,64.6375,55.6375,62,53,54.91654,60,1,1778
0.9585,0.9585,55.362,48.362,53,46,54.91654,52,1,1778
0.0055,0.0055,64.279,55.279,62,53,54.91654,60,1,1778
0.687,0.687,57.5225,49.5225,55,47,54.91654,54,1,1778
0.175,0.175,63.7455,52.7455,63,52,54.91654,58,1,1778
0.029,0.029,63.353,54.353,61,52,54.91654,59,1,1778
0.729,0.729,57.689,50.689,55,48,54.91654,54,1,1778
0.3005,0.3005,58.773,52.773,56,50,54.91654,56,1,1778
0.8315,0.8315,56.2645,49.2645,55,48,54.91654,53,1,1778
0.7675,0.7675,56.7165,50.7165,55,49,54.91654,54,1,1778
0.996,0.996,53.853,47.853,53,47,54.91654,51,1,1778
0.2595,0.2595,59.4945,52.4945,57,50,54.91654,56,1,1778
0.923,0.923,55.066,48.066,54,47,54.91654,52,1,1778
0.841,0.841,56.365,49.365,56,49,54.91654,53,1,1778
0.461,0.461,58.3595,51.3595,56,49,54.91654,55,1,1778
0.333,0.333,59.666,51.666,58,50,54.91654,56,1,1778
0.1005,0.1005,62.6815,53.6815,62,53,54.91654,58,1,1778
0.721,0.721,57.74,49.74,57,49,54.91654,54,1,1778
0.576,0.576,58.964,48.964,58,48,54.91654,54,1,1778
0.646,0.646,58.415,49.415,58,49,54.91654,54,1,1778
0.383,0.383,60.83,50.83,60,50,54.91654,56,1,1778
0.3125,0.3125,60.3105,51.3105,59,50,54.91654,56,1,1778
0.972,0.972,55.8075,46.8075,56,47,54.91654,51,1,1778
0.6245,0.6245,59.2585,49.2585,59,49,54.91654,54,1,1778
0.1965,0.1965,60.734,52.734,59,51,54.91654,57,1,1778
0.6175,0.6175,59.37,49.37,59,49,54.91654,54,1,1778
0.7125,0.7125,57.5665,50.5665,55,48,54.91654,54,1,1778
0.824,0.824,56.152,50.152,55,49,54.91654,53,1,1778
0.675,0.675,57.3685,50.3685,56,49,54.91654,54,1,1778
0.7445,0.7445,56.947,48.947,56,48,54.91654,53,1,1778
0.9245,0.9245,55.6385,49.6385,54,48,54.91654,53,1,1778
0.09,0.09,62.957,52.957,61,51,54.91654,58,1,1778
0.6415,0.6415,58.2335,50.2335,57,49,54.91654,54,1,1778
0.188,0.188,62.9475,50.9475,62,50,54.91654,57,1,1778
0.915,0.915,56.2545,47.2545,55,46,54.91654,52,1,1778
0.597,0.597,58.0365,50.0365,56,48,54.91654,54,1,1778
1,1,52.811,47.811,51,46,54.91654,51,1,1778
0.061,0.061,63.544,54.544,62,53,54.91654,59,1,1778
0.321,0.321,62.0335,50.0335,61,49,54.91654,56,1,1778
0.456,0.456,58.377,51.377,56,49,54.91654,55,1,1778
0.8155,0.8155,57.345,49.345,56,48,54.91654,53,1,1778
0.158,0.158,61.174,52.174,60,51,54.91654,57,1,1778
0.0375,0.0375,66.2965,54.2965,65,53,54.91654,60,1,1778
0.235,0.235,62.4985,51.4985,61,50,54.91654,57,1,1778
0.3045,0.3045,61.1205,51.1205,61,51,54.91654,56,1,1778
0.7965,0.7965,57.567,48.567,58,49,54.91654,53,1,1778
0.93,0.93,55.282,50.282,54,49,54.91654,53,1,1778
0.406,0.406,58.9815,50.9815,58,50,54.91654,55,1,1778
0.5705,0.5705,59.8895,49.8895,59,49,54.91654,55,1,1778
0.3655,0.3655,61.469,50.469,61,50,54.91654,56,1,1778
0.9435,0.9435,55.8005,49.8005,54,48,54.91654,53,1,1778
1,1,53.81,48.81,52,47,54.91654,52,1,1778
0.7125,0.7125,57.499,50.499,55,48,54.91654,54,1,1778
0.597,0.597,58.018,50.018,56,48,54.91654,54,1,1778
0.707,0.707,57.428,50.428,55,48,54.91654,54,1,1778
0.767,0.767,56.9245,48.9245,56,48,54.91654,53,1,1778
0.916,0.916,55.6585,49.6585,54,48,54.91654,53,1,1778
0.535,0.535,59.6915,50.6915,59,50,54.91654,55,1,1778
0.1385,0.1385,61.1635,52.1635,59,50,54.91654,57,1,1778
0.572,0.572,58.9345,49.9345,58,49,54.91654,54,1,1778
0.277,0.277,59.3405,52.3405,58,51,54.91654,56,1,1778
0.279,0.279,59.48,52.48,57,50,54.91654,56,1,1778
0.77,0.77,56.981,48.981,56,48,54.91654,53,1,1778
0.8245,0.8245,56.4215,49.4215,56,49,54.91654,53,1,1778
0.058,0.058,61.52,54.52,59,52,54.91654,58,1,1778
0.5445,0.5445,58.754,50.754,57,49,54.91654,55,1,1778
0.4505,0.4505,58.338,51.338,57,50,54.91654,55,1,1778
0.1985,0.1985,62.146,52.146,62,52,54.91654,57,1,1778
0.855,0.855,56.4035,49.4035,55,48,54.91654,53,1,1778
0.307,0.307,60.384,51.384,59,50,54.91654,56,1,1778
0.589,0.589,59.0435,49.0435,58,48,54.91654,54,1,1778
0.246,0.246,59.379,52.379,57,50,54.91654,56,1,1778
0.951,0.951,55.9045,47.9045,54,46,54.91654,52,1,1778
0.554,0.554,59.841,49.841,59,49,54.91654,55,1,1778
0.1175,0.1175,61.0555,53.0555,59,51,54.91654,57,1,1778
0.3095,0.3095,59.607,52.607,57,50,54.91654,56,1,1778
0.7505,0.7505,56.667,50.667,54,48,54.91654,54,1,1778
0.879,0.879,56.3765,47.3765,56,47,54.91654,52,1,1778
0.38,0.38,60.8035,51.8035,60,51,54.91654,56,1,1778
0.009,0.009,63.8275,55.8275,62,54,54.91654,60,1,1778
0.986,0.986,54.9085,48.9085,53,47,54.91654,52,1,1778
0.934,0.934,55.817,49.817,54,48,54.91654,53,1,1778
0.021,0.021,63.179,55.179,60,52,54.91654,59,1,1778
1,1,52.8025,47.8025,51,46,54.91654,50,1,1778
0.257,0.257,59.4015,52.4015,57,50,54.91654,56,1,1778
0.49,0.49,61.267,49.267,62,50,54.91654,55,1,1778
0.904,0.904,56.7715,49.7715,55,48,54.91654,53,1,1778
0.571,0.571,58.8675,50.8675,57,49,54.91654,55,1,1778
0.282,0.282,59.493,52.493,57,50,54.91654,56,1,1778
0.381,0.381,58.0075,51.0075,57,50,54.91654,55,1,1778
0.508,0.508,59.5495,50.5495,58,49,54.91654,55,1,1778
0.4005,0.4005,60.8595,50.8595,59,49,54.91654,56,1,1778
0.776,0.776,57.7675,50.7675,56,49,54.91654,54,1,1778
0.179,0.179,62,52,62,52,54.91654,57,1,1778
0.4845,0.4845,59.4335,50.4335,58,49,54.91654,55,1,1778
0.271,0.271,60.2315,52.2315,58,50,54.91654,56,1,1778
0.572,0.572,58.8405,50.8405,57,49,54.91654,55,1,1778
0.6805,0.6805,57.5455,49.5455,56,48,54.91654,54,1,1778
0.319,0.319,62.0475,50.0475,62,50,54.91654,56,1,1778
0.4695,0.4695,58.414,51.414,56,49,54.91654,55,1,1778
0.2,0.2,62.304,52.304,61,51,54.91654,57,1,1778
0.7615,0.7615,56.716,50.716,55,49,54.91654,54,1,1778
0.3715,0.3715,62.3475,49.3475,63,50,54.91654,56,1,1778
0.55,0.55,58.778,50.778,58,50,54.91654,55,1,1778
0.666,0.666,58.4645,49.4645,57,48,54.91654,54,1,1778
