"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.199,5.95,6.36830411246666,6.30804873177551,7.3769083122121,5.45071764504101,-1,562,50
0.3805,5.95,6.11651728553136,6.06133415214554,7.10131866924742,5.23642826077216,-1,562,50
0.019,5.95,6.90559838794462,6.83378770176122,8.03163583720763,5.98664408372136,-1,562,50
0.86,5.95,5.50826374087144,5.46442906574394,6.36497053015377,4.76262066469166,-1,562,50
0.848,5.95,5.5180971716606,5.47408922319664,6.41885118893347,4.76745014381624,-1,562,50
0.314,5.95,6.19195569346793,6.13527583527584,7.12132968232957,5.37211717585897,-1,562,50
0.104,5.95,6.55580969807868,6.49163480905989,7.53779581611555,5.62971951706067,-1,562,50
0.3665,5.95,6.11485647788983,6.05970607421051,7.00036277205291,5.28641912759603,-1,562,50
0.361,5.95,6.13317511574524,6.0776631773399,7.07863451766176,5.29454446348285,-1,562,50
0.861,5.95,5.49176101724437,5.44821638032153,6.29508043034361,4.72111050759369,-1,562,50
0.557,5.95,5.89179997010016,5.84095868624478,6.82456222435517,5.06744615732042,-1,562,50
0.626,5.95,5.83337033747779,5.78362937190991,6.75991101582182,5.03184527982561,-1,562,50
0.9135,5.95,5.36558883594282,5.32423047098884,6.22412538083256,4.61519789163786,-1,562,50
0.1995,5.95,6.36753241507452,6.30729291476955,7.37549510080532,5.50528064666885,-1,562,50
0.2535,5.95,6.25857551214863,6.20055754053948,7.16950420328492,5.41041880722795,-1,562,50
0.235,5.95,6.32791425818881,6.2684872782122,7.33109525269687,5.38703379773969,-1,562,50
0.5585,5.95,5.89290119995513,5.84203906481207,6.78865349257262,5.07116639813703,-1,562,50
0.457,5.95,6.03271975814166,5.97917613206118,7.00540481442531,5.17067237918659,-1,562,50
0.503,5.95,5.99099304526279,5.93825674964278,7.01734141411528,5.12455263953526,-1,562,50
0.3395,5.95,6.16025791324736,6.10420934637239,7.21832036236293,5.25187574048706,-1,562,50
0.314,5.95,6.18418265270094,6.12765792332764,7.10807163604944,5.35246691289139,-1,562,50
0.9335,5.95,5.30670571601695,5.26634875112549,6.21390395054679,4.57288493910457,-1,562,50
0.108,5.95,6.57412736144125,6.50956306677659,7.66067690600664,5.64623909087848,-1,562,50
0.63,5.95,5.83488174112595,5.78511246245146,6.69707177691301,5.0711273830901,-1,562,50
0.0555,5.95,6.69786709721276,6.63064197841878,7.70863056601292,5.80762079312706,-1,562,50
0.074,5.95,6.62524165756072,6.55958463136033,7.62830828664666,5.7200258962772,-1,562,50
0.4305,5.95,6.04706739805899,5.99324478178368,7.00611070548888,5.22071673721872,-1,562,50
0.211,5.95,6.35444211544663,6.29447168081629,7.3717018567971,5.48061195555206,-1,562,50
0.156,5.95,6.42671939337111,6.36525594518339,7.43266895295158,5.51873709252754,-1,562,50
0.146,5.95,6.49022191115319,6.42743182743183,7.54911829003161,5.502484381219,-1,562,50
0.935,5.95,5.34122789184792,5.30028528276557,6.16545499137604,4.60527159718501,-1,562,50
0.495,5.95,5.97441825210338,5.92200097498781,6.84130839531641,5.22023409634227,-1,562,50
0.973,5.95,5.1420882669537,5.10446699851316,5.97860367026692,4.44620118497112,-1,562,50
0.605,5.95,5.83942065491182,5.78956630127947,6.73309237233264,5.04882435736661,-1,562,50
0.9035,5.95,5.40069889341875,5.35873769935528,6.26229963371143,4.63820212079559,-1,562,50
0.6495,5.95,5.80074330291433,5.75161161088247,6.720099906248,4.99244488974044,-1,562,50
0.859,5.95,5.51906312362145,5.47503813618084,6.38547558897686,4.77474662572534,-1,562,50
0.5055,5.95,5.96672975018924,5.9144601325793,6.90894877217344,5.14015254546463,-1,562,50
0.436,5.95,6.0593865313653,6.00532380119405,7.02405802795186,5.1596401281667,-1,562,50
0.326,5.95,6.16338898228877,6.10727821177198,7.07989498414864,5.29017851260268,-1,562,50
0.3555,5.95,6.15208398376521,6.09619764524223,7.06618905235405,5.32706021305939,-1,562,50
0.7225,5.95,5.70997536945811,5.66251927283158,6.6431001889049,4.91280604426456,-1,562,50
0.4285,5.95,6.05171023839686,5.99779718951766,6.95793599373723,5.19882826784512,-1,562,50
0.5355,5.95,5.92256828342788,5.87114283589858,6.88386377279337,5.07235162007907,-1,562,50
0.9075,5.95,5.42803525927966,5.38560174606964,6.24906630901566,4.72752124610644,-1,562,50
0.0885,5.95,6.58016446132653,6.51547157356218,7.58210165487338,5.68988276978728,-1,562,50
0.685,5.95,5.76700201207243,5.71849652375435,6.69099190281193,4.98991006550324,-1,562,50
0.218,5.95,6.29858558414575,6.23975660832115,7.240440240454,5.52604920882086,-1,562,50
0.242,5.95,6.303118752499,6.2441975406271,7.2843057192517,5.39492975545356,-1,562,50
0.965,5.95,5.20542200501914,5.16675936528709,6.03741181765911,4.49847022126304,-1,562,50
