"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.3095,0.3095,88.1735,77.1735,81,70,81.67316,83,1,316
0.5185,0.5185,88.658,74.658,85,71,81.67316,82,1,316
0.305,0.305,88.78,76.78,82,70,81.67316,83,1,316
0.6435,0.6435,85.7155,73.7155,80,68,81.67316,80,1,316
0.6955,0.6955,87.403,72.403,83,68,81.67316,80,1,316
0.442,0.442,87.172,76.172,79,68,81.67316,82,1,316
0.097,0.097,92.973,79.973,87,74,81.67316,86,1,316
0.338,0.338,88.2875,77.2875,81,70,81.67316,83,1,316
0.2065,0.2065,90.0145,78.0145,82,70,81.67316,84,1,316
0.5405,0.5405,86.7965,74.7965,80,68,81.67316,81,1,316
0.093,0.093,92.9735,78.9735,86,72,81.67316,86,1,316
0.6015,0.6015,87.3585,74.3585,82,69,81.67316,81,1,316
0.2885,0.2885,90.611,77.611,85,72,81.67316,84,1,316
0.4395,0.4395,89.1055,75.1055,84,70,81.67316,82,1,316
0.98,0.98,81.307,72.307,76,67,81.67316,77,1,316
0.308,0.308,88.9185,76.9185,81,69,81.67316,83,1,316
0.938,0.938,82.828,71.828,77,66,81.67316,77,1,316
0.1805,0.1805,91.3375,78.3375,85,72,81.67316,85,1,316
0.0235,0.0235,94.1305,82.1305,87,75,81.67316,88,1,316
0.456,0.456,88.1845,75.1845,85,72,81.67316,82,1,316
0.5825,0.5825,87.1635,74.1635,83,70,81.67316,81,1,316
0.393,0.393,89.645,76.645,81,68,81.67316,83,1,316
0.0285,0.0285,94.8815,80.8815,88,74,81.67316,88,1,316
0.9065,0.9065,83.3185,72.3185,77,66,81.67316,78,1,316
0.476,0.476,88.2985,75.2985,82,69,81.67316,82,1,316
0.558,0.558,86.974,74.974,81,69,81.67316,81,1,316
0.941,0.941,83.6685,70.6685,81,68,81.67316,77,1,316
0.1895,0.1895,89.71,77.71,80,68,81.67316,84,1,316
0.124,0.124,93.217,78.217,88,73,81.67316,86,1,316
0.2195,0.2195,90.907,76.907,83,69,81.67316,84,1,316
0.38,0.38,88.593,76.593,83,71,81.67316,83,1,316
0.124,0.124,92.5715,79.5715,87,74,81.67316,86,1,316
0.3555,0.3555,89.2615,76.2615,84,71,81.67316,83,1,316
0.4035,0.4035,87.791,75.791,80,68,81.67316,82,1,316
0.0255,0.0255,95.031,81.031,87,73,81.67316,88,1,316
0.0615,0.0615,91.6755,79.6755,84,72,81.67316,86,1,316
0.964,0.964,81.713,67.713,79,65,81.67316,75,1,316
0.06,0.06,93.1495,80.1495,86,73,81.67316,87,1,316
0.1985,0.1985,89.9365,77.9365,82,70,81.67316,84,1,316
0.9165,0.9165,83.5735,72.5735,79,68,81.67316,78,1,316
0.9715,0.9715,82.577,69.577,79,66,81.67316,76,1,316
0.0405,0.0405,95.2865,81.2865,87,73,81.67316,88,1,316
0.352,0.352,88.4245,77.4245,82,71,81.67316,83,1,316
0.1805,0.1805,89.863,77.863,82,70,81.67316,84,1,316
0.9995,0.9995,78.094,67.094,74,63,81.67316,73,1,316
0.913,0.913,83.342,72.342,77,66,81.67316,78,1,316
0.3,0.3,88.9695,76.9695,81,69,81.67316,83,1,316
0.12,0.12,91.0175,79.0175,83,71,81.67316,85,1,316
0.5225,0.5225,87.685,74.685,82,69,81.67316,81,1,316
0.364,0.364,88.491,77.491,82,71,81.67316,83,1,316
0.492,0.492,89.397,74.397,86,71,81.67316,82,1,316
0.2275,0.2275,90.1525,77.1525,85,72,81.67316,84,1,316
0.6945,0.6945,84.902,74.902,78,68,81.67316,80,1,316
0.0395,0.0395,95.032,81.032,89,75,81.67316,88,1,316
0.73,0.73,85.826,71.826,84,70,81.67316,79,1,316
0.931,0.931,83.3725,72.3725,76,65,81.67316,78,1,316
0.194,0.194,90.0325,78.0325,82,70,81.67316,84,1,316
0.6155,0.6155,88.512,73.512,83,68,81.67316,81,1,316
0.746,0.746,85.389,74.389,79,68,81.67316,80,1,316
0.5015,0.5015,88.5955,74.5955,83,69,81.67316,82,1,316
0.5785,0.5785,87.153,74.153,81,68,81.67316,81,1,316
0.7825,0.7825,84.896,72.896,79,67,81.67316,79,1,316
0.251,0.251,90.4415,78.4415,83,71,81.67316,84,1,316
0.7335,0.7335,86.396,74.396,81,69,81.67316,80,1,316
0.6415,0.6415,86.5745,75.5745,80,69,81.67316,81,1,316
0.9715,0.9715,82.6675,71.6675,77,66,81.67316,77,1,316
0.0625,0.0625,91.7635,79.7635,83,71,81.67316,86,1,316
0.9975,0.9975,78.982,68.982,74,64,81.67316,74,1,316
0.999,0.999,78.0235,66.0235,75,63,81.67316,72,1,316
0.029,0.029,92.98,80.98,84,72,81.67316,87,1,316
0.8685,0.8685,84.5795,73.5795,78,67,81.67316,79,1,316
0.5895,0.5895,87.244,74.244,82,69,81.67316,81,1,316
0.8815,0.8815,84.252,71.252,78,65,81.67316,78,1,316
