"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.427,170.15,173.10989010989,88.0111111111111,201.135359178169,146.629190273092,-1,178,50
5e-04,170.15,207.276315789474,96.0121212121212,234.899513926183,182.7482264853,-1,178,50
0.9515,170.15,144.522935779817,80.010101010101,174.763705872705,117.758760353828,-1,178,50
0.8365,170.15,157.53,83.8201058201058,184.955710209919,131.986215800585,-1,178,50
0.608,170.15,165.821052631579,86.0978260869565,201.02360692763,135.598526021481,-1,178,50
0.754,170.15,160.744897959184,84.716577540107,190.329193323915,133.76674445563,-1,178,50
0.769,170.15,159.121212121212,84.2659574468085,190.180033637007,130.36895743905,-1,178,50
0.207,170.15,185.329411764706,91.0459770114943,225.236765816433,152.5492497949,-1,178,50
0.948,170.15,151.471153846154,82.0829015544041,176.509095876302,130.282685815326,-1,178,50
0.368,170.15,175.033333333333,88.5027932960894,204.939436650065,148.52829264701,-1,178,50
0.495,170.15,171.228260869565,87.524861878453,206.125746801306,139.738944283436,-1,178,50
0.655,170.15,164.09375,85.6324324324324,197.283364903056,135.210417188987,-1,178,50
0.6705,170.15,164.09375,85.6324324324324,195.513024548952,137.07205598225,-1,178,50
0.0685,170.15,192.109756097561,92.6432748538012,223.888949509289,164.394860839338,-1,178,50
0.0055,170.15,204.584415584416,95.433734939759,235.09457302525,178.521009540542,-1,178,50
0.4865,170.15,171.228260869565,87.524861878453,202.538179090052,144.796919691555,-1,178,50
0.001,170.15,210.04,96.5975609756098,240.997375838707,182.871799305899,-1,178,50
0.167,170.15,185.329411764706,91.0459770114943,217.633055382519,157.74911083869,-1,178,50
0.793,170.15,157.53,83.8201058201058,190.732316582404,129.144987331344,-1,178,50
0.0725,170.15,194.481481481482,93.1882352941177,231.830640703992,161.620225503429,-1,178,50
0.0065,170.15,204.584415584416,95.433734939759,238.815009810139,175.166524961654,-1,178,50
0.23,170.15,183.174418604651,90.5257142857143,218.583938542187,152.641147844513,-1,178,50
0.482,170.15,171.228260869565,87.524861878453,206.640813092235,141.724604301027,-1,178,50
0.5945,170.15,167.585106382979,86.568306010929,194.306858582716,143.129738250047,-1,178,50
0.7915,170.15,160.744897959184,84.716577540107,185.362727007999,137.88301048796,-1,178,50
0.087,170.15,192.109756097561,92.6432748538012,230.036783446866,161.956591370035,-1,178,50
0.682,170.15,164.09375,85.6324324324324,193.92302188204,136.523426740339,-1,178,50
0.209,170.15,183.174418604651,90.5257142857143,216.93893688017,155.054992775562,-1,178,50
0.5325,170.15,169.387096774194,87.0439560439561,200.006455801749,141.83110987804,-1,178,50
0.377,170.15,175.033333333333,88.5027932960894,207.219282335134,146.611661380143,-1,178,50
0.698,170.15,162.40206185567,85.1720430107527,196.263955614268,133.787894834452,-1,178,50
0.5265,170.15,169.387096774194,87.0439560439561,203.227971124515,137.865839364799,-1,178,50
0.5425,170.15,169.387096774194,87.0439560439561,205.738295125486,138.767998095783,-1,178,50
0.7365,170.15,160.744897959184,84.716577540107,196.419780328111,130.523136222076,-1,178,50
0.275,170.15,179.011363636364,89.5028248587571,208.178381438117,154.189928416922,-1,178,50
0.972,170.15,143.209090909091,79.608040201005,170.652881188183,119.643166902469,-1,178,50
0.221,170.15,183.174418604651,90.5257142857143,219.139875276929,152.667678745137,-1,178,50
0.698,170.15,162.40206185567,85.1720430107527,197.746099701298,132.257437569779,-1,178,50
0.505,170.15,171.228260869565,87.524861878453,207.407454293865,139.937157264162,-1,178,50
0.3945,170.15,175.033333333333,88.5027932960894,205.178523721333,147.583563247025,-1,178,50
0.3685,170.15,175.033333333333,88.5027932960894,204.796149414009,148.142003559863,-1,178,50
0.007,170.15,212.878378378378,97.1901840490798,252.804456293394,177.47365460563,-1,178,50
0.087,170.15,192.109756097561,92.6432748538012,225.830518193732,161.983028181573,-1,178,50
0.129,170.15,194.481481481482,93.1882352941177,242.014734060876,155.459789005931,-1,178,50
0.0965,170.15,185.329411764706,91.0459770114943,209.217430354674,162.921246307285,-1,178,50
0.8925,170.15,152.941747572816,82.5104166666667,180.514560040999,127.925462618046,-1,178,50
0.977,170.15,139.407079646018,78.4257425742574,169.836258583133,115.032132369541,-1,178,50
0.315,170.15,179.011363636364,89.5028248587571,211.956802349183,151.137861793912,-1,178,50
0.191,170.15,183.174418604651,90.5257142857143,215.189967774463,155.841620945853,-1,178,50
5e-04,170.15,204.584415584416,95.433734939759,234.025468149499,179.539970576684,-1,178,50
