"size","lcl","ucl","est","obs"
100,16.0829323365385,30.0857596277472,51.17,35
178,28.7434981998222,56.6966325261934,91.9797752808989,53
316,15.6642173246575,25.5987142058374,81.3544303797468,67
562,19.6269539122924,40.5430549845048,97.1144264987681,75
1000,14.0879187306905,27.3303321621667,98.8707307692308,85
1778,15.06929231075,26.5060296802511,111.033206786652,96
3162,12.7101647959983,21.7414431657348,121.246442125237,110
5623,7.36089351283017,14.1394610576838,113.636072623802,112
10000,12.8770726778984,30.5205496658516,129.248775,117
100,59.1570328626374,207.53444928022,117.34375,40
178,14.3309792346148,24.1908751767744,63.4241573033708,50
316,31.5262033341109,62.6175457668672,109.574367088608,63
562,17.3218805839216,29.1440217993935,88.9644128113879,69
1000,22.5766504183882,41.0867049124942,122.6875,88
1778,10.6140548182015,16.4756013425668,106.529658792651,100
3162,13.7099742040928,23.1854761964976,124.395445920304,110
5623,6.68494100892291,12.3215744822994,111.388641887486,110
10000,6.40263329909341,12.4532238437637,118.142742857143,117
100,37.3264540851648,97.3031865398352,94.57375,40
178,40.7265744903738,107.616499596705,97.6028089887641,45
316,34.5468081471091,55.4988504763086,120.037974683544,69
562,18.7358438396605,31.7465007841321,91.1826809015421,69
1000,11.8872103731078,21.0816255643922,97.4915,89
1778,12.4685136421023,19.1863736739,107.221520605379,97
3162,10.1434424737168,16.5146205661844,113.543384509229,107
5623,7.86433601440849,15.6919162086041,118.461100699052,116
10000,5.24904580142857,10.2496066985714,118.49985,117
100,24.8621138136716,52.4535513648998,73,40
178,17.8528998769723,36.0441830962342,68.1362359550562,48
316,22.5580304660097,38.0682520924129,95.6300345224396,65
562,11.3541026153702,19.4088600180818,79.7544483985765,74
1000,17.4318412678203,28.5348129935434,112.978,91
1778,12.2780863325157,18.8574907556925,108.137714928491,99
3162,12.8541296324555,22.2797179455542,122.246442125237,111
5623,8.55991446132192,16.440267740213,116.061599679886,111
10000,7.03747840645606,15.3187100578297,120.1246875,117
100,16.3995226667744,30.6731960832256,54.895,39
178,38.3740949303643,84.1537140583997,106.276404494382,49
316,16.8453657090747,28.6202592909253,79.9367088607595,60
562,13.3929369785031,21.8574076260577,85.5508388408744,74
1000,20.9092013390653,35.4431841129826,113.155636363636,87
1778,14.3236225261841,23.2689146461651,111.046525434321,95
3162,11.1273860340959,19.8583825663738,115.164083913135,107
5623,8.00252543559573,15.9987779908077,116.082607149209,112
10000,6.38852698160714,14.9438681969643,117.6664,115
100,26.3146802994506,61.0666947005495,70.076,38
178,38.3717433127383,79.7811602093014,114.408707865169,54
316,18.3222848464043,35.0816708497982,84.971914556962,63
562,16.8483392856592,29.166967018357,99.1307829181495,79
1000,22.4812036240279,44.7362303045436,119.536857142857,85
1778,15.6771195774849,24.2816058496939,120.951998788613,104
3162,9.98247429253972,14.870436150841,111.048086654016,105
5623,11.064142693586,20.7464308436717,120.098559487818,112
10000,5.69632100035714,13.9706671246429,116.9998,115
100,32.9964936893584,64.0962313106415,83.659,40
178,25.653878788623,55.3922317195486,91.843047752809,53
316,13.6225344628738,24.2159149042148,72.0035601265823,60
562,23.3723945289007,41.057306316295,115.385142348754,79
1000,15.4383968974859,25.4301648719946,97.3926818181818,81
1778,10.814206065556,18.1158640451655,106.996062992126,100
3162,10.0964480556707,17.2686290692653,118.197722960152,111
5623,10.9264904477044,21.4874327856069,122.641320088412,114
10000,7.23694269107142,17.6028298089286,120.59964,117
100,12.8460198228022,25.2949801771978,45.456875,35
178,14.6857507689738,25.6238827856738,64.3688202247191,50
316,23.490311051864,44.5232192508509,104.930775316456,70
562,24.3656262513073,46.0880700501669,116.572953736655,81
1000,21.4284083818468,34.1242870726986,111.05325,81
1778,25.7118925808931,50.5881501339379,144.226237345332,102
3162,11.897865189863,21.1144860301338,114.385919600815,105
5623,9.38705673758726,15.8839862999372,120.061599679886,115
10000,8.34296258218406,18.7616092303159,123.89951,119
100,13.0961031189675,24.6375468810325,52.92125,41
178,13.5942543210535,27.4651206789465,61.0625638406537,48
316,15.4491922119943,23.4089565221828,79.3359298928919,64
562,19.3376708135119,32.8949304405128,93.0024466192171,71
1000,9.68735872351816,15.2371955621961,90.6277,85
1778,11.6534640302725,18.3069983923935,107.495781777278,100
3162,9.78474494107871,16.5015773364882,109.048086654016,103
5623,8.15788884018495,15.1295182378872,117.082607149209,113
10000,5.91598035749999,13.9405696425,118.249775,116
100,18.6128898646978,34.7281882603022,60.0475,40
178,32.0014989043494,75.6274336799202,92.8356741573034,49
316,14.7380554064627,24.3446186441702,75.0759493670886,64
562,16.683684415762,27.400604793694,96.130923393894,81
1000,17.6202966220033,28.1061440029967,111.1465,91
1778,14.0058635875932,23.7428066679106,118.325834270716,105
3162,15.4036653742292,27.1557215133052,129.194876660342,113
5623,12.6851852699983,24.4224796775386,124.097848123777,112
10000,10.1853364564148,21.3796084498352,123.1243875,117
100,15.8287516813187,36.1517483186813,51.08,37
178,19.1869930456235,33.7090275536274,72.0973782771536,50
316,15.3387643468419,24.4240648607697,78.6965356429047,66
562,31.5408509601577,55.8636808458921,126.9128113879,78
1000,20.5269541478718,35.2062015506575,116.015625,90
1778,15.1995082029205,23.6032161663547,117.657292838395,101
3162,10.534104423412,19.5829792111171,115.997469955724,108
5623,7.03031400021743,13.6726116114286,114.249599857727,112
10000,4.84763952142856,13.1532577285714,115.3333,115
100,17.6355839162088,36.4041660837912,55.881875,38
178,33.9062605129318,64.1011826679922,101.014446227929,53
316,19.5848885899091,33.824605080977,87.9240506329114,64
562,20.116344023992,33.3746384366079,106.988571037503,79
1000,17.1215887438539,28.3962530655866,105.873964285714,87
1778,12.7029089881215,20.6548358445557,107.629818999898,96
3162,13.2953300940048,22.1009633962652,120.496046805819,108
5623,6.2516451744044,11.8689428865358,112.727143388356,112
10000,8.10418785107143,19.3933646489286,119.49955,115
100,20.576640021978,49.955266228022,58.8425,35
178,19.4696967576765,37.5029279944715,71.0973782771536,49
316,24.3889693213874,50.1677373817196,98.031501726122,65
562,17.8353279348601,33.6899945740366,96.3496441281139,78
1000,21.3645291916773,40.2668622368941,119.696545454545,89
1778,15.1775090862019,26.4592186135917,114.399861949075,98
3162,9.12687203373375,14.6234541047862,107.332279148218,104
5623,8.1621745236061,15.340466859997,113.499377556465,110
10000,14.7927533771428,45.463515105,130.49865,117
100,27.4650985714286,68.4905210714285,68.076,36
178,18.634358998352,39.6497912825468,70.0533707865169,50
316,23.0034564433927,49.7820360407845,91.2958860759494,62
562,15.727473319054,26.8548831345457,92.1046263345196,76
1000,16.4402089405319,26.993972309468,106.944576923077,90
1778,9.13452798511511,13.9401934630561,103.331458567679,100
