"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.924,0.924,92.6675,86.6675,90,84,91.92768,90,1,3162
0.5205,0.5205,95.6405,87.6405,93,85,91.92768,92,1,3162
0.815,0.815,93.2405,86.2405,90,83,91.92768,90,1,3162
0.286,0.286,98.0385,88.0385,97,87,91.92768,93,1,3162
0.9975,0.9975,91.4905,84.4905,89,82,91.92768,88,1,3162
0.999,0.999,90.869,82.869,89,81,91.92768,87,1,3162
0.2925,0.2925,96.3965,88.3965,93,85,91.92768,93,1,3162
0.513,0.513,98.5275,86.5275,98,86,91.92768,92,1,3162
0.731,0.731,95.107,85.107,94,84,91.92768,90,1,3162
0.35,0.35,96.697,88.697,94,86,91.92768,93,1,3162
0.88,0.88,93.8395,85.8395,92,84,91.92768,90,1,3162
0.6425,0.6425,95.3965,86.3965,93,84,91.92768,91,1,3162
0.441,0.441,96.209,87.209,95,86,91.92768,92,1,3162
0.1565,0.1565,99.048,89.048,97,87,91.92768,94,1,3162
0.447,0.447,96.2525,87.2525,95,86,91.92768,92,1,3162
0.7145,0.7145,95.87,85.87,95,85,91.92768,91,1,3162
0.886,0.886,93.371,84.371,91,82,91.92768,89,1,3162
0.1215,0.1215,98.1405,90.1405,95,87,91.92768,94,1,3162
0.0585,0.0585,99.2725,91.2725,96,88,91.92768,95,1,3162
0.14,0.14,97.586,90.586,95,88,91.92768,94,1,3162
0.2115,0.2115,98.5295,89.5295,96,87,91.92768,94,1,3162
0.0735,0.0735,101.323,90.323,100,89,91.92768,96,1,3162
0.8045,0.8045,94.2765,86.2765,91,83,91.92768,90,1,3162
0.1195,0.1195,98.01,90.01,94,86,91.92768,94,1,3162
0.1525,0.1525,97.42,90.42,95,88,91.92768,94,1,3162
0.676,0.676,95.593,86.593,95,86,91.92768,91,1,3162
0.544,0.544,97.8445,85.8445,97,85,91.92768,92,1,3162
0.6725,0.6725,94.321,87.321,91,84,91.92768,91,1,3162
0.985,0.985,91.717,83.717,90,82,91.92768,88,1,3162
0.5045,0.5045,96.6,87.6,93,84,91.92768,92,1,3162
0.6285,0.6285,95.2055,87.2055,94,86,91.92768,91,1,3162
0.4055,0.4055,96.931,86.931,96,86,91.92768,92,1,3162
0.422,0.422,96.9535,86.9535,96,86,91.92768,92,1,3162
0.801,0.801,94.1555,86.1555,91,83,91.92768,90,1,3162
0.4245,0.4245,96.2075,87.2075,95,86,91.92768,92,1,3162
0.2535,0.2535,97.181,89.181,94,86,91.92768,93,1,3162
0.3895,0.3895,95.931,87.931,92,84,91.92768,92,1,3162
0.337,0.337,95.84,88.84,93,86,91.92768,93,1,3162
1,1,89.3605,82.3605,86,79,91.92768,86,1,3162
0.894,0.894,93.9155,85.9155,92,84,91.92768,90,1,3162
0.488,0.488,95.496,88.496,93,86,91.92768,92,1,3162
0.566,0.566,96.925,86.925,96,86,91.92768,92,1,3162
0.5885,0.5885,96.0855,86.0855,95,85,91.92768,91,1,3162
0.817,0.817,93.004,87.004,91,85,91.92768,90,1,3162
0.7545,0.7545,94.1485,85.1485,92,83,91.92768,90,1,3162
0.852,0.852,93.6905,85.6905,92,84,91.92768,90,1,3162
0.6435,0.6435,96.5215,85.5215,94,83,91.92768,91,1,3162
0.8855,0.8855,92.3985,86.3985,90,84,91.92768,90,1,3162
0.244,0.244,96.1705,89.1705,93,86,91.92768,93,1,3162
0.5355,0.5355,94.765,87.765,92,85,91.92768,92,1,3162
0.803,0.803,93.903,87.903,92,86,91.92768,91,1,3162
0.973,0.973,92.911,84.911,92,84,91.92768,89,1,3162
0.6995,0.6995,94.575,86.575,92,84,91.92768,91,1,3162
0.3185,0.3185,95.722,89.722,94,88,91.92768,93,1,3162
0.431,0.431,96.093,87.093,95,86,91.92768,92,1,3162
0.2485,0.2485,99.5705,88.5705,98,87,91.92768,94,1,3162
0,0,103.0165,95.0165,99,91,91.92768,99,1,3162
0.1175,0.1175,97.2815,90.2815,96,89,91.92768,94,1,3162
0.3505,0.3505,96.7615,87.7615,94,85,91.92768,93,1,3162
0.1635,0.1635,98.384,89.384,95,86,91.92768,94,1,3162
0.2015,0.2015,98.63,89.63,97,88,91.92768,94,1,3162
0.496,0.496,96.489,87.489,95,86,91.92768,92,1,3162
0.7005,0.7005,94.4665,87.4665,92,85,91.92768,91,1,3162
0.1805,0.1805,98.438,89.438,97,88,91.92768,94,1,3162
0.915,0.915,93.6805,84.6805,93,84,91.92768,89,1,3162
0.482,0.482,97.3595,86.3595,97,86,91.92768,92,1,3162
0.3555,0.3555,97.6275,87.6275,96,86,91.92768,93,1,3162
0.9725,0.9725,92.6395,85.6395,91,84,91.92768,89,1,3162
0.0745,0.0745,97.047,91.047,94,88,91.92768,94,1,3162
0.331,0.331,97.507,88.507,95,86,91.92768,93,1,3162
0.7535,0.7535,93.761,87.761,92,86,91.92768,91,1,3162
0.1875,0.1875,98.4525,89.4525,96,87,91.92768,94,1,3162
0.892,0.892,93.168,82.168,94,83,91.92768,88,1,3162
0.9195,0.9195,92.7245,86.7245,91,85,91.92768,90,1,3162
0.9835,0.9835,91.174,83.174,90,82,91.92768,87,1,3162
0.551,0.551,94.782,87.782,92,85,91.92768,92,1,3162
0.775,0.775,94.206,85.206,92,83,91.92768,90,1,3162
0.3055,0.3055,96.6,89.6,94,87,91.92768,93,1,3162
0.2175,0.2175,98.6315,89.6315,95,86,91.92768,94,1,3162
0.211,0.211,98.4585,88.4585,97,87,91.92768,94,1,3162
0.1305,0.1305,100.4875,89.4875,97,86,91.92768,95,1,3162
0.09,0.09,100.047,90.047,98,88,91.92768,95,1,3162
0.399,0.399,95.195,88.195,93,86,91.92768,92,1,3162
0.56,0.56,94.846,87.846,92,85,91.92768,92,1,3162
0.5165,0.5165,95.593,88.593,93,86,91.92768,92,1,3162
0.371,0.371,97.7975,87.7975,95,85,91.92768,93,1,3162
0.096,0.096,99.6035,90.6035,98,89,91.92768,95,1,3162
