"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.3535,0.3535,117.161,103.161,115,101,108.36968,110,1,3162
0.9435,0.9435,108.711,98.711,108,98,108.36968,104,1,3162
0.9855,0.9855,107.4435,96.4435,105,94,108.36968,102,1,3162
0.1115,0.1115,117.157,106.157,112,101,108.36968,112,1,3162
0.6305,0.6305,112.4655,101.4655,109,98,108.36968,107,1,3162
0.113,0.113,118.6265,105.6265,116,103,108.36968,112,1,3162
0.414,0.414,114.0975,104.0975,110,100,108.36968,109,1,3162
0.685,0.685,111.776,101.776,108,98,108.36968,107,1,3162
0.7225,0.7225,112.0495,102.0495,109,99,108.36968,107,1,3162
0.097,0.097,120.1325,107.1325,117,104,108.36968,113,1,3162
0.3365,0.3365,115.296,104.296,113,102,108.36968,110,1,3162
0.0815,0.0815,117.6555,106.6555,114,103,108.36968,112,1,3162
0.7335,0.7335,112.3145,101.3145,109,98,108.36968,107,1,3162
0.926,0.926,109.5955,97.5955,107,95,108.36968,104,1,3162
0.408,0.408,115.73,102.73,112,99,108.36968,109,1,3162
0.815,0.815,112.156,100.156,110,98,108.36968,106,1,3162
0.3505,0.3505,114.419,103.419,110,99,108.36968,109,1,3162
0.7825,0.7825,111.932,99.932,109,97,108.36968,106,1,3162
0.962,0.962,109.3365,98.3365,107,96,108.36968,104,1,3162
0.279,0.279,115.783,103.783,112,100,108.36968,110,1,3162
0.001,0.001,125.67,112.67,121,108,108.36968,119,1,3162
0.013,0.013,122.581,108.581,118,104,108.36968,116,1,3162
0.0585,0.0585,118.7825,106.7825,114,102,108.36968,113,1,3162
0.7105,0.7105,113.191,101.191,111,99,108.36968,107,1,3162
0.9605,0.9605,108.594,96.594,107,95,108.36968,103,1,3162
0.7565,0.7565,111.3925,100.3925,109,98,108.36968,106,1,3162
0.538,0.538,112.835,102.835,108,98,108.36968,108,1,3162
0.143,0.143,119.4565,104.4565,118,103,108.36968,112,1,3162
0.1465,0.1465,118.071,106.071,114,102,108.36968,112,1,3162
0.0485,0.0485,118.6555,107.6555,114,103,108.36968,113,1,3162
0.5285,0.5285,113.7835,101.7835,112,100,108.36968,108,1,3162
0.9845,0.9845,107.524,98.524,105,96,108.36968,103,1,3162
0.538,0.538,115.755,100.755,114,99,108.36968,108,1,3162
0.737,0.737,112.086,102.086,108,98,108.36968,107,1,3162
0.4405,0.4405,118.696,100.696,119,101,108.36968,109,1,3162
0.869,0.869,111.1485,99.1485,110,98,108.36968,105,1,3162
0.918,0.918,109.9,99.9,107,97,108.36968,105,1,3162
0.3295,0.3295,116.2215,103.2215,113,100,108.36968,110,1,3162
0.2475,0.2475,116.432,104.432,112,100,108.36968,110,1,3162
0.6995,0.6995,113.1395,101.1395,111,99,108.36968,107,1,3162
0.6355,0.6355,112.5025,101.5025,110,99,108.36968,107,1,3162
0.727,0.727,112.368,101.368,110,99,108.36968,107,1,3162
0.699,0.699,111.879,101.879,108,98,108.36968,107,1,3162
0.457,0.457,115.179,103.179,112,100,108.36968,109,1,3162
0.588,0.588,114.1515,101.1515,112,99,108.36968,108,1,3162
0.559,0.559,116.159,100.159,116,100,108.36968,108,1,3162
0.136,0.136,117.2645,106.2645,113,102,108.36968,112,1,3162
0.9915,0.9915,108.0535,98.0535,104,94,108.36968,103,1,3162
0.834,0.834,111.005,101.005,106,96,108.36968,106,1,3162
0.0905,0.0905,117.698,105.698,113,101,108.36968,112,1,3162
0.083,0.083,119.1485,107.1485,117,105,108.36968,113,1,3162
0.9355,0.9355,108.8325,100.8325,104,96,108.36968,105,1,3162
0.0965,0.0965,117.6515,105.6515,114,102,108.36968,112,1,3162
0.382,0.382,115.3785,102.3785,114,101,108.36968,109,1,3162
0.7235,0.7235,112.0385,102.0385,108,98,108.36968,107,1,3162
0.958,0.958,109.361,96.361,108,95,108.36968,103,1,3162
0.703,0.703,111.751,101.751,106,96,108.36968,107,1,3162
0.7445,0.7445,111.0385,102.0385,107,98,108.36968,107,1,3162
0.072,0.072,118.8485,106.8485,115,103,108.36968,113,1,3162
0.554,0.554,113.8875,101.8875,111,99,108.36968,108,1,3162
0.7715,0.7715,111.8155,99.8155,110,98,108.36968,106,1,3162
0.2395,0.2395,117.332,104.332,114,101,108.36968,111,1,3162
0.2605,0.2605,116.5145,103.5145,112,99,108.36968,110,1,3162
0.976,0.976,108.23,99.23,104,95,108.36968,104,1,3162
0.8785,0.8785,110.6475,99.6475,106,95,108.36968,105,1,3162
0.8675,0.8675,112.337,98.337,111,97,108.36968,105,1,3162
0.214,0.214,117.1235,105.1235,114,102,108.36968,111,1,3162
0.4505,0.4505,114.141,103.141,110,99,108.36968,109,1,3162
0.0915,0.0915,119.82,105.82,116,102,108.36968,113,1,3162
0.3685,0.3685,117.3055,103.3055,115,101,108.36968,110,1,3162
0.4165,0.4165,114.015,104.015,109,99,108.36968,109,1,3162
0.947,0.947,109.3615,100.3615,107,98,108.36968,105,1,3162
0.072,0.072,118.331,107.331,114,103,108.36968,113,1,3162
0.5545,0.5545,112.9615,102.9615,111,101,108.36968,108,1,3162
0.3375,0.3375,116.221,104.221,114,102,108.36968,110,1,3162
0.1335,0.1335,116.4155,105.4155,113,102,108.36968,111,1,3162
0.1605,0.1605,116.633,104.633,112,100,108.36968,111,1,3162
0.9825,0.9825,107.4955,97.4955,105,95,108.36968,103,1,3162
0.619,0.619,113.328,102.328,110,99,108.36968,108,1,3162
0.5105,0.5105,112.6745,102.6745,109,99,108.36968,108,1,3162
0.7805,0.7805,111.364,102.364,108,99,108.36968,107,1,3162
0.7165,0.7165,112.069,102.069,109,99,108.36968,107,1,3162
0.1105,0.1105,117.23,106.23,114,103,108.36968,112,1,3162
0.0895,0.0895,116.98,106.98,112,102,108.36968,112,1,3162
0.182,0.182,116.589,104.589,113,101,108.36968,111,1,3162
0.5815,0.5815,115.2615,101.2615,114,100,108.36968,108,1,3162
0.3275,0.3275,116.84,103.84,114,101,108.36968,110,1,3162
0.0985,0.0985,117.7665,106.7665,114,103,108.36968,112,1,3162
0.643,0.643,113.6565,100.6565,112,99,108.36968,107,1,3162
0.022,0.022,119.5175,108.5175,114,103,108.36968,114,1,3162
0.258,0.258,118.0825,104.0825,118,104,108.36968,111,1,3162
0.3395,0.3395,114.407,103.407,110,99,108.36968,109,1,3162
0.6975,0.6975,113.1425,101.1425,112,100,108.36968,107,1,3162
0.1825,0.1825,116.1075,106.1075,112,102,108.36968,111,1,3162
0.096,0.096,117.6925,105.6925,112,100,108.36968,112,1,3162
0.1645,0.1645,117.408,105.408,114,102,108.36968,111,1,3162
0.2225,0.2225,115.404,104.404,110,99,108.36968,110,1,3162
0.5425,0.5425,113.8345,101.8345,110,98,108.36968,108,1,3162
0.7525,0.7525,112.28,102.28,108,98,108.36968,107,1,3162
0.1735,0.1735,116.8135,105.8135,113,102,108.36968,111,1,3162
0.412,0.412,114.8715,103.8715,111,100,108.36968,109,1,3162
0.0805,0.0805,119.7615,106.7615,116,103,108.36968,113,1,3162
0.695,0.695,111.841,101.841,109,99,108.36968,107,1,3162
0.777,0.777,111.8765,99.8765,110,98,108.36968,106,1,3162
0.497,0.497,113.5355,102.5355,109,98,108.36968,108,1,3162
0.77,0.77,111.4175,100.4175,108,97,108.36968,106,1,3162
0.947,0.947,109.0455,99.0455,106,96,108.36968,104,1,3162
0.305,0.305,116.7,103.7,114,101,108.36968,110,1,3162
0.96,0.96,109.057,99.057,106,96,108.36968,104,1,3162
0.9095,0.9095,110.191,99.191,109,98,108.36968,105,1,3162
0.5155,0.5155,114.675,101.675,111,98,108.36968,108,1,3162
0.828,0.828,111.1425,101.1425,109,99,108.36968,106,1,3162
0.4055,0.4055,114.787,103.787,109,98,108.36968,109,1,3162
0.301,0.301,115.905,103.905,111,99,108.36968,110,1,3162
0.844,0.844,109.8405,100.8405,105,96,108.36968,106,1,3162
0.3405,0.3405,117.0465,103.0465,115,101,108.36968,110,1,3162
0.991,0.991,107.0915,98.0915,103,94,108.36968,103,1,3162
0.5995,0.5995,113.177,102.177,110,99,108.36968,108,1,3162
0.032,0.032,119.985,107.985,116,104,108.36968,114,1,3162
0.0895,0.0895,119.2065,107.2065,116,104,108.36968,113,1,3162
