"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.103,50.5,52.4678003254841,50.9917414026711,55.7272952635945,49.3844196947051,-1,1778,50
0.3655,50.5,51.0668498464523,49.6682378079437,54.1158301256654,48.0216156370577,-1,1778,50
0.115,50.5,52.2854636923281,50.8195993955567,55.1611339421902,49.3403150543938,-1,1778,50
0.223,50.5,51.7002552690143,50.2668786770552,54.8165127148609,48.6970053015038,-1,1778,50
0.4065,50.5,50.8384179700071,49.4522416544129,53.667570790561,48.0222066950267,-1,1778,50
0.3915,50.5,50.8793519920127,49.4909512179848,53.9591637598642,47.5745547437057,-1,1778,50
0.1545,50.5,51.9501792232563,50.5029714358745,54.8186614074057,49.0417408754683,-1,1778,50
0.13,50.5,52.2353271831499,50.7722600539638,55.3925604721739,49.051115714782,-1,1778,50
0.1955,50.5,51.9109161409044,50.4658855081255,55.1116696076031,48.7586366532434,-1,1778,50
0.97,50.5,47.494227647165,46.2839155515212,50.6072063116337,44.3747410088723,-1,1778,50
0.251,50.5,51.5770348362663,50.1504537089917,54.7291762814324,48.5387577750101,-1,1778,50
0.13,50.5,52.3114341534488,50.8441199176531,55.4364120270101,49.2263342743232,-1,1778,50
0.0225,50.5,53.57455827992,52.0358835923097,56.6461496852344,50.5821714036347,-1,1778,50
0.9005,50.5,48.6137678483506,47.345873895462,51.4177123831803,45.7226237692139,-1,1778,50
0.9895,50.5,47.0486642642285,45.8609064005107,49.8687251535813,44.1614196375438,-1,1778,50
0.232,50.5,51.5383335508287,50.1138835166926,54.1382180305742,48.7902813650565,-1,1778,50
0.9585,50.5,47.5299515600084,46.3178221883608,50.8411540011632,44.3161361726885,-1,1778,50
0.5105,50.5,50.4552219738103,49.089785397062,53.3352564234833,47.4644318155654,-1,1778,50
0.5765,50.5,50.2034830139512,48.85158857708,53.2434256189425,47.0879322465416,-1,1778,50
0.2915,50.5,51.4275994530894,50.0092384598348,54.8036050291142,48.1516073548782,-1,1778,50
0.258,50.5,51.4309480401094,50.0124031007752,54.3878094105502,48.370424908117,-1,1778,50
0.1765,50.5,52.0305974573481,50.5789254743848,55.1247392267239,48.9091973841167,-1,1778,50
0.495,50.5,50.4939269961005,49.1264024864025,53.6362866891437,47.2755772996305,-1,1778,50
0.903,50.5,48.6377155172414,47.3685756240822,51.6720100487844,45.622423869952,-1,1778,50
0.703,50.5,49.7168528717546,48.3909502816556,52.6119473892346,46.7112999335489,-1,1778,50
0.7085,50.5,49.7184175741173,48.3924318035698,52.5499530236835,46.8587761415747,-1,1778,50
0.8425,50.5,48.8120442466939,47.5338164977596,52.0703913293867,45.3918044809519,-1,1778,50
0.8075,50.5,49.1232003482695,47.8286734446865,52.2632420394091,45.9087886205247,-1,1778,50
0.8125,50.5,49.1018245112362,47.8084205432218,52.1417926749405,46.0433235235449,-1,1778,50
0.913,50.5,48.3104892966361,47.0583226651582,51.5265766877652,45.1391799788994,-1,1778,50
0.8915,50.5,48.5361005284503,47.2722433232646,51.4277443711231,45.4743100115961,-1,1778,50
0.315,50.5,51.2823567602662,49.8719631475989,54.4101551007155,48.1547488999942,-1,1778,50
0.488,50.5,50.553713718839,49.1829609807704,53.5532618987142,47.5475078260729,-1,1778,50
0.2335,50.5,51.6782688344402,50.2461059190031,54.8316633377046,48.3999283756007,-1,1778,50
0.8585,50.5,48.8694239930707,47.5881981032666,52.1949901664217,46.021240687527,-1,1778,50
0.1785,50.5,51.9296867295619,50.48361545832,54.9056717348115,48.7979802708934,-1,1778,50
0.205,50.5,51.7595426100063,50.3228907991086,54.7033684848104,48.761314633164,-1,1778,50
0.493,50.5,50.5682778489117,49.1967381493355,53.5962391465132,47.6558873855025,-1,1778,50
0.3735,50.5,50.9762181348823,49.5825465039681,54.046030373436,47.7862880021202,-1,1778,50
0.603,50.5,50.0682365618662,48.7235905181714,53.3436391447973,46.7306760746488,-1,1778,50
0.107,50.5,52.4173136903577,50.944080961743,55.418822393457,49.3458349066347,-1,1778,50
0.129,50.5,52.2595190049291,50.795102513015,55.3376448758132,49.3817243545286,-1,1778,50
0.2955,50.5,51.3640590453896,49.9491862853531,54.4811948384436,48.0323366486206,-1,1778,50
0.5205,50.5,50.414967288974,49.0517005958292,53.0290052448768,47.7610019236345,-1,1778,50
0.67,50.5,49.7732442736066,48.444342282702,52.7075205884712,46.8243536272804,-1,1778,50
0.404,50.5,50.9023038504914,49.5126550557574,54.0218076156405,47.8636565821031,-1,1778,50
0.204,50.5,51.8700091935908,50.427245174669,54.8010305566652,48.826421151653,-1,1778,50
0.5785,50.5,50.2354119629854,48.8818035625928,53.3385494116495,47.2125076016983,-1,1778,50
0.6225,50.5,50.0175088652483,48.675576632895,53.2422590005387,46.8568603071429,-1,1778,50
0.3355,50.5,51.1859832161488,49.7808641975309,54.2657671517706,48.1247704214578,-1,1778,50
