"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.4325,0.4325,60.085,49.085,58,47,54.53706,55,1,1000
0.3885,0.3885,59.825,49.825,54,44,54.53706,55,1,1000
0.082,0.082,64.383,52.383,61,49,54.53706,59,1,1000
0.8565,0.8565,57.1985,46.1985,54,43,54.53706,52,1,1000
0.953,0.953,54.705,44.705,52,42,54.53706,50,1,1000
0.1555,0.1555,62.039,52.039,57,47,54.53706,57,1,1000
0.8555,0.8555,56.85,44.85,56,44,54.53706,51,1,1000
0.725,0.725,59.4455,46.4455,57,44,54.53706,53,1,1000
0.34,0.34,63.101,49.101,61,47,54.53706,56,1,1000
0.985,0.985,54.432,41.432,54,41,54.53706,48,1,1000
0.0325,0.0325,65.8275,53.8275,63,51,54.53706,60,1,1000
0.157,0.157,64.469,51.469,62,49,54.53706,58,1,1000
0.675,0.675,59.941,46.941,58,45,54.53706,53,1,1000
0.974,0.974,54.728,41.728,53,40,54.53706,48,1,1000
0.193,0.193,62.9165,50.9165,60,48,54.53706,57,1,1000
0.9195,0.9195,55.988,45.988,54,44,54.53706,51,1,1000
0.6415,0.6415,59.4955,48.4955,58,47,54.53706,54,1,1000
0.5805,0.5805,60.132,48.132,58,46,54.53706,54,1,1000
0.4045,0.4045,59.8455,49.8455,55,45,54.53706,55,1,1000
0.5865,0.5865,61.1955,47.1955,59,45,54.53706,54,1,1000
0.603,0.603,59.19,48.19,57,46,54.53706,54,1,1000
0.1935,0.1935,63.585,50.585,60,47,54.53706,57,1,1000
0.389,0.389,62.408,49.408,61,48,54.53706,56,1,1000
0.632,0.632,59.376,48.376,57,46,54.53706,54,1,1000
0.998,0.998,52.5585,44.5585,48,40,54.53706,49,1,1000
0.809,0.809,56.587,47.587,53,44,54.53706,52,1,1000
0.149,0.149,63.38,52.38,60,49,54.53706,58,1,1000
0.972,0.972,55.26,43.26,53,41,54.53706,49,1,1000
0.4325,0.4325,60.9225,48.9225,59,47,54.53706,55,1,1000
0.9925,0.9925,52.934,42.934,51,41,54.53706,48,1,1000
0.7735,0.7735,57.6905,45.6905,55,43,54.53706,52,1,1000
0.6055,0.6055,59.1835,49.1835,55,45,54.53706,54,1,1000
0.4895,0.4895,63.325,47.325,63,47,54.53706,55,1,1000
0.434,0.434,60.1035,50.1035,56,46,54.53706,55,1,1000
0.6845,0.6845,57.6265,47.6265,54,44,54.53706,53,1,1000
0.96,0.96,55.3785,46.3785,52,43,54.53706,51,1,1000
0.8045,0.8045,56.9325,46.9325,54,44,54.53706,52,1,1000
0.692,0.692,57.82,47.82,54,44,54.53706,53,1,1000
0.4015,0.4015,59.8645,49.8645,57,47,54.53706,55,1,1000
0.9545,0.9545,55.0725,47.0725,51,43,54.53706,51,1,1000
0.1155,0.1155,62.4895,53.4895,60,51,54.53706,58,1,1000
0.607,0.607,60.252,48.252,58,46,54.53706,54,1,1000
0.423,0.423,60.874,48.874,59,47,54.53706,55,1,1000
0.129,0.129,64.036,52.036,61,49,54.53706,58,1,1000
0.428,0.428,60.095,50.095,57,47,54.53706,55,1,1000
0.9885,0.9885,54.434,45.434,52,43,54.53706,50,1,1000
0.772,0.772,57.6205,46.6205,55,44,54.53706,52,1,1000
0.2525,0.2525,62.516,51.516,59,48,54.53706,57,1,1000
0.249,0.249,61.6505,50.6505,58,47,54.53706,56,1,1000
1,1,51.5285,43.5285,49,41,54.53706,48,1,1000
0.8485,0.8485,57.3545,46.3545,55,44,54.53706,52,1,1000
0.3445,0.3445,60.5385,49.5385,57,46,54.53706,55,1,1000
0.4465,0.4465,60.1875,49.1875,57,46,54.53706,55,1,1000
0.893,0.893,56.373,47.373,53,44,54.53706,52,1,1000
0.8295,0.8295,56.773,46.773,53,43,54.53706,52,1,1000
0.987,0.987,54.062,44.062,53,43,54.53706,49,1,1000
0.006,0.006,65.917,55.917,60,50,54.53706,61,1,1000
0.7955,0.7955,57.526,47.526,55,45,54.53706,53,1,1000
0.353,0.353,61.416,50.416,58,47,54.53706,56,1,1000
0.036,0.036,63.7605,53.7605,59,49,54.53706,59,1,1000
0.333,0.333,60.4585,50.4585,56,46,54.53706,56,1,1000
0.5655,0.5655,60.9735,46.9735,61,47,54.53706,54,1,1000
0.6145,0.6145,60.411,47.411,57,44,54.53706,54,1,1000
0.6395,0.6395,58.6015,47.6015,56,45,54.53706,53,1,1000
0.0505,0.0505,67.009,53.009,62,48,54.53706,60,1,1000
0.7305,0.7305,58.128,48.128,55,45,54.53706,53,1,1000
0.2275,0.2275,60.5505,50.5505,57,47,54.53706,56,1,1000
0.1225,0.1225,64.6285,50.6285,61,47,54.53706,58,1,1000
0.22,0.22,61.39,51.39,57,47,54.53706,57,1,1000
0.1555,0.1555,61.747,51.747,59,49,54.53706,57,1,1000
0.015,0.015,67.765,54.765,64,51,54.53706,61,1,1000
0.214,0.214,62.377,51.377,57,46,54.53706,57,1,1000
0.0755,0.0755,64.972,52.972,61,49,54.53706,59,1,1000
0.1765,0.1765,64.4915,51.4915,61,48,54.53706,58,1,1000
0.9755,0.9755,54.147,45.147,52,43,54.53706,50,1,1000
0.2505,0.2505,61.551,50.551,58,47,54.53706,56,1,1000
0.0155,0.0155,67.5375,54.5375,64,51,54.53706,61,1,1000
0.886,0.886,56.693,45.693,54,43,54.53706,51,1,1000
0.4155,0.4155,61.7495,47.7495,61,47,54.53706,55,1,1000
0.583,0.583,59.091,48.091,56,45,54.53706,54,1,1000
0.738,0.738,58.2165,47.2165,54,43,54.53706,53,1,1000
0.5145,0.5145,58.557,49.557,55,46,54.53706,54,1,1000
0.7755,0.7755,57.66,46.66,55,44,54.53706,52,1,1000
0.489,0.489,60.459,49.459,57,46,54.53706,55,1,1000
0.323,0.323,60.34,50.34,57,47,54.53706,56,1,1000
0.323,0.323,62.871,48.871,60,46,54.53706,56,1,1000
0.217,0.217,62.1455,51.1455,59,48,54.53706,57,1,1000
0.039,0.039,63.6765,53.6765,60,50,54.53706,59,1,1000
0.2515,0.2515,60.7105,50.7105,57,47,54.53706,56,1,1000
0.5935,0.5935,60.223,48.223,58,46,54.53706,54,1,1000
1,1,50.6785,41.6785,49,40,54.53706,46,1,1000
0.248,0.248,60.863,50.863,56,46,54.53706,56,1,1000
0.9675,0.9675,55.4925,44.4925,54,43,54.53706,50,1,1000
0.6605,0.6605,58.608,46.608,56,44,54.53706,53,1,1000
0.6985,0.6985,58.037,47.037,56,45,54.53706,53,1,1000
0.1185,0.1185,62.5015,52.5015,58,48,54.53706,58,1,1000
0.6795,0.6795,60.225,46.225,58,44,54.53706,53,1,1000
0.464,0.464,60.3115,49.3115,56,45,54.53706,55,1,1000
0.6955,0.6955,59.0165,47.0165,56,44,54.53706,53,1,1000
0.142,0.142,62.6335,51.6335,58,47,54.53706,57,1,1000
0.3425,0.3425,62.218,49.218,59,46,54.53706,56,1,1000
0.089,0.089,63.0095,53.0095,58,48,54.53706,58,1,1000
0.8815,0.8815,56.61,43.61,57,44,54.53706,50,1,1000
0.7245,0.7245,59.309,46.309,58,45,54.53706,53,1,1000
0.999,0.999,52.378,43.378,50,41,54.53706,48,1,1000
0.383,0.383,60.6935,49.6935,57,46,54.53706,55,1,1000
0.822,0.822,57.06,47.06,54,44,54.53706,52,1,1000
0.991,0.991,53.8465,42.8465,53,42,54.53706,48,1,1000
0.276,0.276,64.246,50.246,62,48,54.53706,57,1,1000
0.032,0.032,67.249,54.249,64,51,54.53706,61,1,1000
0.0415,0.0415,64.065,54.065,59,49,54.53706,59,1,1000
0.657,0.657,58.6765,47.6765,55,44,54.53706,53,1,1000
0.8965,0.8965,56.075,47.075,52,43,54.53706,52,1,1000
0.3705,0.3705,63.186,49.186,62,48,54.53706,56,1,1000
0.2765,0.2765,64.327,49.327,62,47,54.53706,57,1,1000
0.553,0.553,59.9845,47.9845,57,45,54.53706,54,1,1000
0.636,0.636,58.421,48.421,54,44,54.53706,54,1,1000
0.29,0.29,60.944,50.944,57,47,54.53706,56,1,1000
0.1545,0.1545,64.1005,51.1005,61,48,54.53706,58,1,1000
0.965,0.965,54.8715,42.8715,53,41,54.53706,49,1,1000
0.273,0.273,61.004,51.004,58,48,54.53706,56,1,1000
0.9355,0.9355,54.687,46.687,52,44,54.53706,51,1,1000
0.735,0.735,58.151,48.151,54,44,54.53706,53,1,1000
0.1485,0.1485,61.8055,51.8055,56,46,54.53706,57,1,1000
0.183,0.183,65.1565,51.1565,64,50,54.53706,58,1,1000
0.1275,0.1275,61.57,52.57,57,48,54.53706,57,1,1000
0.163,0.163,64.829,50.829,63,49,54.53706,58,1,1000
0.4705,0.4705,61.2765,49.2765,58,46,54.53706,55,1,1000
0.7845,0.7845,60.482,44.482,61,45,54.53706,52,1,1000
0.077,0.077,64.1615,53.1615,61,50,54.53706,59,1,1000
0.807,0.807,58.194,46.194,56,44,54.53706,52,1,1000
0.7975,0.7975,57.469,47.469,54,44,54.53706,53,1,1000
0.1475,0.1475,65.144,52.144,62,49,54.53706,58,1,1000
0.98,0.98,54.023,44.023,53,43,54.53706,49,1,1000
0.04,0.04,65.9345,53.9345,62,50,54.53706,60,1,1000
0.7145,0.7145,57.9285,47.9285,54,44,54.53706,53,1,1000
0.771,0.771,57.2215,48.2215,53,44,54.53706,53,1,1000
0.773,0.773,57.178,49.178,53,45,54.53706,53,1,1000
0.9435,0.9435,56.3155,46.3155,53,43,54.53706,51,1,1000
0.275,0.275,62.609,49.609,60,47,54.53706,56,1,1000
0.096,0.096,65.9835,51.9835,63,49,54.53706,59,1,1000
0.6785,0.6785,59.077,47.077,57,45,54.53706,53,1,1000
0.525,0.525,60.6725,47.6725,60,47,54.53706,54,1,1000
0.626,0.626,58.2835,49.2835,54,45,54.53706,54,1,1000
0.831,0.831,57.192,46.192,54,43,54.53706,52,1,1000
0.7815,0.7815,57.529,48.529,53,44,54.53706,53,1,1000
0.849,0.849,55.99,46.99,53,44,54.53706,52,1,1000
0.9665,0.9665,54.8405,42.8405,54,42,54.53706,49,1,1000
0.046,0.046,64.6165,53.6165,60,49,54.53706,59,1,1000
0.9945,0.9945,53.1485,44.1485,50,41,54.53706,49,1,1000
0.2595,0.2595,63.3835,51.3835,61,49,54.53706,57,1,1000
0.6835,0.6835,59.0115,47.0115,57,45,54.53706,53,1,1000
0.2165,0.2165,63.157,51.157,59,47,54.53706,57,1,1000
0.1555,0.1555,64.4565,52.4565,61,49,54.53706,58,1,1000
0.9935,0.9935,54.4125,45.4125,51,42,54.53706,50,1,1000
0.2275,0.2275,59.8155,51.8155,54,46,54.53706,56,1,1000
0.0335,0.0335,68.028,54.028,65,51,54.53706,61,1,1000
0.5845,0.5845,59.131,49.131,56,46,54.53706,54,1,1000
0.65,0.65,58.6755,46.6755,57,45,54.53706,53,1,1000
0.7185,0.7185,57.9305,47.9305,53,43,54.53706,53,1,1000
0.0895,0.0895,63.132,53.132,58,48,54.53706,58,1,1000
0.041,0.041,64.227,54.227,59,49,54.53706,59,1,1000
0.0885,0.0885,65.706,51.706,64,50,54.53706,59,1,1000
0.4205,0.4205,59.939,49.939,57,47,54.53706,55,1,1000
0.993,0.993,53.723,44.723,51,42,54.53706,49,1,1000
0.0955,0.0955,65.823,51.823,62,48,54.53706,59,1,1000
0.9125,0.9125,55.719,45.719,53,43,54.53706,51,1,1000
0.608,0.608,59.3345,48.3345,56,45,54.53706,54,1,1000
0.7695,0.7695,57.544,46.544,56,45,54.53706,52,1,1000
0.9995,0.9995,51.731,43.731,49,41,54.53706,48,1,1000
