"samp","chaoest","cover","coverage","l","size","comm","reps"
83.0281575641894,293.989468081957,625.599791062996,625.599791062996,0,112,"soil.Brazil",1
91,329.517857142857,625.599791062996,625.599791062996,1,112,"soil.Brazil",1
71.7122993884311,255.338862544248,625.599791062996,625.599791062996,0,112,"soil.Florida",1
85,362.55505952381,625.599791062996,625.599791062996,1,112,"soil.Florida",1
83.6487599629929,372.9723751986,625.599791062996,625.599791062996,0,112,"soil.Illinois",1
93,454.245535714286,625.599791062996,625.599791062996,1,112,"soil.Illinois",1
97.2877519862353,868.745356536072,625.599791062996,625.599791062996,0,112,"soil.Canada",1
102,996.441964285714,625.599791062996,625.599791062996,1,112,"soil.Canada",1
42.3125281262727,96.7199087400056,625.599791062996,625.599791062996,0,112,"FS312.bacteria",1
63,219.376913265306,625.599791062996,625.599791062996,1,112,"FS312.bacteria",1
8.59188051202161,13.3742850325102,625.599791062996,625.599791062996,0,112,"FS312.archaea",1
28,147.919642857143,625.599791062996,625.599791062996,1,112,"FS312.archaea",1
29.9606604066369,63.612711344712,625.599791062996,625.599791062996,0,112,"FS396.bacteria",1
58,195.051020408163,625.599791062996,625.599791062996,1,112,"FS396.bacteria",1
10.0626004301552,19.5813745713681,625.599791062996,625.599791062996,0,112,"FS396.archaea",1
32,354.098214285714,625.599791062996,625.599791062996,1,112,"FS396.archaea",1
22,59.1651785714286,0,0,1,112,"FS312.archaea",3
26,125.2,0,0,1,125,"FS312.archaea",4
22,165.055,0,0,1,100,"FS396.archaea",5
28,148.032,0,0,1,125,"FS312.archaea",7
86.6007320216417,485.676172952796,35.615649074316,35.615649074316,0,100,"soil.Brazil",8
90,495.961875,35.615649074316,35.615649074316,1,100,"soil.Brazil",8
77.6972951432889,468.653160360655,35.615649074316,35.615649074316,0,100,"soil.Florida",8
86,587.93,35.615649074316,35.615649074316,1,100,"soil.Florida",8
86.6007320216417,836.200430633405,35.615649074316,35.615649074316,0,100,"soil.Illinois",8
91,985.09375,35.615649074316,35.615649074316,1,100,"soil.Illinois",8
92.8163664170126,1357.02913115479,35.615649074316,35.615649074316,0,100,"soil.Canada",8
95,1461.365,35.615649074316,35.615649074316,1,100,"soil.Canada",8
32.4108020021792,75.8072872003568,35.615649074316,35.615649074316,0,100,"FS312.bacteria",8
53,219.419,35.615649074316,35.615649074316,1,100,"FS312.bacteria",8
8.86500151424602,15.7099640003038,35.615649074316,35.615649074316,0,100,"FS312.archaea",8
26,244.295,35.615649074316,35.615649074316,1,100,"FS312.archaea",8
22.3047548912831,59.5710690066661,35.615649074316,35.615649074316,0,100,"FS396.bacteria",8
50,327.365,35.615649074316,35.615649074316,1,100,"FS396.bacteria",8
7.6837763327117,10.7696599223361,35.615649074316,35.615649074316,0,100,"FS396.archaea",8
23,86.36,35.615649074316,35.615649074316,1,100,"FS396.archaea",8
163.097672284613,764.901014071663,84.135040640831,84.135040640831,0,199,"soil.Brazil",8
173,811.552763819096,84.135040640831,84.135040640831,1,199,"soil.Brazil",8
129.362366484102,421.498907683012,84.135040640831,84.135040640831,0,199,"soil.Florida",8
150,561.366834170854,84.135040640831,84.135040640831,1,199,"soil.Florida",8
139.724846919936,480.67515934453,84.135040640831,84.135040640831,0,199,"soil.Illinois",8
158,570.772433596554,84.135040640831,84.135040640831,1,199,"soil.Illinois",8
139.96363481996,568.789404864346,84.135040640831,84.135040640831,0,199,"soil.Canada",8
158,753.525628140703,84.135040640831,84.135040640831,1,199,"soil.Canada",8
50.6402947620869,103.56681637815,84.135040640831,84.135040640831,0,199,"FS312.bacteria",8
93,356.170854271357,84.135040640831,84.135040640831,1,199,"FS312.bacteria",8
9.12818506943393,14.3529366528954,84.135040640831,84.135040640831,0,199,"FS312.archaea",8
42,346.711055276382,84.135040640831,84.135040640831,1,199,"FS312.archaea",8
31.7921518033436,56.0416263915408,84.135040640831,84.135040640831,0,199,"FS396.bacteria",8
81,260.592964824121,84.135040640831,84.135040640831,1,199,"FS396.bacteria",8
9.55652884843997,11.4654601266682,84.135040640831,84.135040640831,0,199,"FS396.archaea",8
37,67.0979899497488,84.135040640831,84.135040640831,1,199,"FS396.archaea",8
80.8013400674297,559.891242604459,326.484668534249,326.484668534249,0,100,"soil.Brazil",12
87,704.859,326.484668534249,326.484668534249,1,100,"soil.Brazil",12
70.7723127280833,395.936889599248,326.484668534249,326.484668534249,0,100,"soil.Florida",12
81,594.216,326.484668534249,326.484668534249,1,100,"soil.Florida",12
78.5918231741281,295.802137237234,326.484668534249,326.484668534249,0,100,"soil.Illinois",12
84,310.845,326.484668534249,326.484668534249,1,100,"soil.Illinois",12
90.2782979963388,800.649494495796,326.484668534249,326.484668534249,0,100,"soil.Canada",12
93,842.331,326.484668534249,326.484668534249,1,100,"soil.Canada",12
36.3852979205432,89.9296744967377,326.484668534249,326.484668534249,0,100,"FS312.bacteria",12
59,215.207857142857,326.484668534249,326.484668534249,1,100,"FS312.bacteria",12
6.31260568824005,8.53499344871955,326.484668534249,326.484668534249,0,100,"FS312.archaea",12
20,75.6875,326.484668534249,326.484668534249,1,100,"FS312.archaea",12
27.0422827424508,58.7337568169543,326.484668534249,326.484668534249,0,100,"FS396.bacteria",12
48,208.38,326.484668534249,326.484668534249,1,100,"FS396.bacteria",12
8.78105241974069,11.8801100271587,326.484668534249,326.484668534249,0,100,"FS396.archaea",12
26,61.76375,326.484668534249,326.484668534249,1,100,"FS396.archaea",12
33,381.192,0,0,1,125,"FS396.archaea",12
73.5783574304336,569.987615787338,541.334684472531,541.334684472531,0,100,"soil.Brazil",13
