"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.1795,25.75,30.5555555555555,23.5849056603774,42.442023131092,21.6855884708256,-1,100,50
0.954,25.75,19.0384615384615,16.1290322580645,27.0303785043756,12.5818051332177,-1,100,50
0.615,25.75,24.7499999999999,20,33.68606233049,17.2470790970861,-1,100,50
0.5375,25.75,25.6476683937823,20.5761316872428,37.8613228329603,16.3123120415934,-1,100,50
0.75,25.75,23.2394366197183,19.0114068441065,32.6509972951041,16.3055620251133,-1,100,50
0.365,25.75,27.6536312849162,21.8340611353712,38.0059064331004,19.9834861974005,-1,100,50
0.8835,25.75,21.244635193133,17.6678445229682,29.435504485965,14.4624381876225,-1,100,50
0.108,25.75,32.1428571428571,24.5098039215686,44.326404436892,22.552651251599,-1,100,50
0.117,25.75,32.3529411764705,24.6305418719212,45.3975136060113,22.4868226021,-1,100,50
0.401,25.75,27.5,21.7391304347826,38.5594397220552,19.4128474776369,-1,100,50
0.992,25.75,16.0714285714285,13.9664804469274,23.3989636729915,10.7760626566416,-1,100,50
0.9495,25.75,18.5393258426966,15.7728706624606,27.4537602384536,12.003093883532,-1,100,50
0.3185,25.75,28.7790697674418,22.5225225225225,41.1513551835791,19.1797921272174,-1,100,50
0.657,25.75,24.1463414634146,19.6078431372549,34.8810563181811,16.0826502119963,-1,100,50
0.744,25.75,23.3490566037735,19.0839694656489,32.1075318385199,16.3551574815749,-1,100,50
0.71,25.75,23.4597156398104,19.1570881226054,33.1179848414254,15.4736477893458,-1,100,50
0.0095,25.75,36.6666666666666,27.027027027027,48.8093734478371,27.3816157109851,-1,100,50
0.8755,25.75,21.5217391304347,17.8571428571429,29.6218023584836,15.2517758332847,-1,100,50
0.265,25.75,29.1176470588235,22.7272727272727,40.4209683237938,20.8814946395834,-1,100,50
0.7835,25.75,22.3981900452488,18.450184501845,31.9595541609642,15.2660057738674,-1,100,50
0.5815,25.75,25.1269035532994,20.2429149797571,34.7169552959951,17.3944574345751,-1,100,50
0.29,25.75,28.6127167630057,22.4215246636771,38.8430637797755,20.554886439874,-1,100,50
0.032,25.75,33.673469387755,25.3807106598985,42.7882557513207,25.320177522777,-1,100,50
0.592,25.75,25.1269035532994,20.2429149797571,34.479326675622,17.7267836582249,-1,100,50
0.294,25.75,28.2857142857142,22.2222222222222,37.5549774667502,20.6163956935252,-1,100,50
0.7785,25.75,22.8110599078341,18.7265917602996,31.8305381726738,16.1545532940427,-1,100,50
0.6715,25.75,24.0291262135922,19.53125,34.6709037212208,15.7162624100365,-1,100,50
0.5215,25.75,25.9162303664921,20.746887966805,37.2482666155352,17.1212545431006,-1,100,50
0.2205,25.75,30.1829268292682,23.3644859813084,42.5265604886153,20.5210659831208,-1,100,50
0.7485,25.75,22.7064220183486,18.6567164179104,32.8698323734154,14.9730510193644,-1,100,50
0.7165,25.75,23.4597156398104,19.1570881226054,33.503151716351,15.661776211919,-1,100,50
0.918,25.75,20.7983193277311,17.3611111111111,28.2822972469715,15.0824864915701,-1,100,50
0.3605,25.75,27.8089887640449,21.9298245614035,37.695006709651,19.7651894339035,-1,100,50
0.513,25.75,26.1904761904761,20.9205020920502,39.2820198067729,16.8154055098366,-1,100,50
0.034,25.75,33.221476510067,25.1256281407035,42.9626485070552,25.1563681001556,-1,100,50
0.552,25.75,25.5154639175257,20.4918032786885,33.8012897597138,19.1263671590947,-1,100,50
0.561,25.75,25.5154639175257,20.4918032786885,34.5465324726246,18.7395344003073,-1,100,50
0.9945,25.75,16.3366336633663,14.1643059490085,23.0239127211602,11.2723599261291,-1,100,50
0.08,25.75,30.7453416149068,23.696682464455,39.0704554708434,23.8671353368197,-1,100,50
0.1815,25.75,30.7453416149068,23.696682464455,42.3895583161816,21.0288387264151,-1,100,50
0.2,25.75,29.6407185628742,23.0414746543779,39.1769341777307,21.6305150795875,-1,100,50
0.016,25.75,35.6115107913668,26.4550264550265,46.0506303146536,26.4181607218456,-1,100,50
0.78,25.75,23.0232558139534,18.8679245283019,31.0668196863078,16.5407207852089,-1,100,50
0.4635,25.75,26.7567567567567,21.2765957446809,38.0885700598332,18.191344982752,-1,100,50
0.8365,25.75,22.2972972972972,18.3823529411765,30.5781835045618,16.0631687661684,-1,100,50
0.2995,25.75,27.9661016949152,22.0264317180617,36.4282823372624,20.9905205452391,-1,100,50
0.2765,25.75,28.9473684210526,22.6244343891403,40.1977798672362,19.894252385694,-1,100,50
0.3365,25.75,27.8089887640449,21.9298245614035,37.7850508044451,20.5380872416922,-1,100,50
0.8345,25.75,22.0982142857142,18.2481751824818,30.437469564875,15.5301336575391,-1,100,50
0.0065,25.75,36.9402985074626,27.1739130434783,48.3342617061412,28.0008296877859,-1,100,50
