"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.316,0.316,61.0755,49.0755,55,43,53.99676,55,1,178
0.8405,0.8405,56.488,44.488,53,41,53.99676,51,1,178
0.2995,0.2995,61.8175,49.8175,58,46,53.99676,56,1,178
0.048,0.048,67.197,52.197,63,48,53.99676,60,1,178
0.079,0.079,66.3185,51.3185,62,47,53.99676,59,1,178
0.501,0.501,60.459,47.459,57,44,53.99676,54,1,178
0.39,0.39,61.517,48.517,57,44,53.99676,55,1,178
0.808,0.808,57.2905,45.2905,54,42,53.99676,51,1,178
0.1805,0.1805,61.0065,50.0065,55,44,53.99676,56,1,178
0.662,0.662,58.6915,46.6915,55,43,53.99676,53,1,178
0.9955,0.9955,52.6815,41.6815,49,38,53.99676,47,1,178
0.6035,0.6035,58.2575,47.2575,52,41,53.99676,53,1,178
0.183,0.183,61.9675,51.9675,57,47,53.99676,57,1,178
0.8405,0.8405,57.033,43.033,55,41,53.99676,50,1,178
0.4145,0.4145,60.7595,48.7595,57,45,53.99676,55,1,178
0.4715,0.4715,61.1955,47.1955,59,45,53.99676,54,1,178
0.8895,0.8895,56.733,42.733,54,40,53.99676,50,1,178
0.7775,0.7775,58.157,44.157,55,41,53.99676,51,1,178
0.4335,0.4335,60.967,48.967,56,44,53.99676,55,1,178
0.4455,0.4455,59.1155,48.1155,53,42,53.99676,54,1,178
0.178,0.178,65.981,49.981,64,48,53.99676,58,1,178
0.885,0.885,56.958,44.958,52,40,53.99676,51,1,178
0.6835,0.6835,60.282,44.282,61,45,53.99676,52,1,178
0.8605,0.8605,55.2525,46.2525,51,42,53.99676,51,1,178
0.8845,0.8845,56.7985,45.7985,52,41,53.99676,51,1,178
0.1415,0.1415,64.9355,50.9355,60,46,53.99676,58,1,178
0.929,0.929,55.054,43.054,53,41,53.99676,49,1,178
0.843,0.843,56.3895,45.3895,52,41,53.99676,51,1,178
0.916,0.916,55.7335,44.7335,52,41,53.99676,50,1,178
0.2285,0.2285,63.983,49.983,60,46,53.99676,57,1,178
0.9985,0.9985,51.5175,40.5175,49,38,53.99676,46,1,178
0.946,0.946,55.797,42.797,54,41,53.99676,49,1,178
0.6385,0.6385,59.589,46.589,55,42,53.99676,53,1,178
0.281,0.281,61.8215,50.8215,57,46,53.99676,56,1,178
0.4525,0.4525,60.0635,48.0635,56,44,53.99676,54,1,178
0.7675,0.7675,58.911,45.911,56,43,53.99676,52,1,178
0.285,0.285,62.708,49.708,59,46,53.99676,56,1,178
0.2975,0.2975,62.7455,49.7455,59,46,53.99676,56,1,178
0.2315,0.2315,61.41,50.41,56,45,53.99676,56,1,178
0.413,0.413,61.726,47.726,59,45,53.99676,55,1,178
0.994,0.994,52.639,41.639,49,38,53.99676,47,1,178
0.7,0.7,58.9375,47.9375,54,43,53.99676,53,1,178
0.5155,0.5155,61.581,46.581,60,45,53.99676,54,1,178
0.3435,0.3435,62.1355,48.1355,59,45,53.99676,55,1,178
0.28,0.28,62.498,49.498,58,45,53.99676,56,1,178
0.4295,0.4295,60.001,48.001,55,43,53.99676,54,1,178
0.165,0.165,64.9505,50.9505,61,47,53.99676,58,1,178
0.399,0.399,61.56,48.56,59,46,53.99676,55,1,178
0.3175,0.3175,63.827,48.827,61,46,53.99676,56,1,178
0.4915,0.4915,60.4995,47.4995,56,43,53.99676,54,1,178
0.145,0.145,64.7785,50.7785,60,46,53.99676,58,1,178
0.036,0.036,65.8845,53.8845,61,49,53.99676,60,1,178
0.2715,0.2715,61.7135,49.7135,57,45,53.99676,56,1,178
0.025,0.025,70.6765,53.6765,67,50,53.99676,62,1,178
0.553,0.553,60.9085,46.9085,57,43,53.99676,54,1,178
0.681,0.681,58.8675,46.8675,54,42,53.99676,53,1,178
0.1325,0.1325,63.9655,51.9655,58,46,53.99676,58,1,178
0.264,0.264,60.8455,50.8455,55,45,53.99676,56,1,178
0.016,0.016,66.962,54.962,60,48,53.99676,61,1,178
0.9165,0.9165,55.0785,45.0785,51,41,53.99676,50,1,178
0.288,0.288,63.3545,48.3545,60,45,53.99676,56,1,178
0.2545,0.2545,64.939,48.939,63,47,53.99676,57,1,178
0.9175,0.9175,55.9875,43.9875,55,43,53.99676,50,1,178
1,1,51.351,40.351,49,38,53.99676,46,1,178
0.975,0.975,54.4815,43.4815,50,39,53.99676,49,1,178
0.8755,0.8755,56.9545,44.9545,54,42,53.99676,51,1,178
0.1375,0.1375,64.695,50.695,61,47,53.99676,58,1,178
0.8745,0.8745,55.605,45.605,52,42,53.99676,51,1,178
0.2065,0.2065,63.726,50.726,60,47,53.99676,57,1,178
0.99,0.99,53.787,42.787,50,39,53.99676,48,1,178
0.4065,0.4065,62.5025,48.5025,61,47,53.99676,55,1,178
0.343,0.343,63.937,47.937,62,46,53.99676,56,1,178
0.2135,0.2135,63.788,50.788,60,47,53.99676,57,1,178
0.1025,0.1025,66.5435,51.5435,64,49,53.99676,59,1,178
0.7475,0.7475,57.4,46.4,54,43,53.99676,52,1,178
0.6385,0.6385,60.83,44.83,60,44,53.99676,53,1,178
0.034,0.034,66.619,53.619,61,48,53.99676,60,1,178
0.999,0.999,51.9065,41.9065,48,38,53.99676,47,1,178
0.3975,0.3975,60.766,49.766,55,44,53.99676,55,1,178
0.34,0.34,61.1865,48.1865,58,45,53.99676,55,1,178
0.5945,0.5945,58.151,47.151,53,42,53.99676,53,1,178
0.8295,0.8295,57.4355,44.4355,54,41,53.99676,51,1,178
0.6845,0.6845,58.1285,46.1285,56,44,53.99676,52,1,178
0.7245,0.7245,57.329,46.329,54,43,53.99676,52,1,178
0.137,0.137,65.3985,51.3985,62,48,53.99676,58,1,178
0.972,0.972,54.785,43.785,51,40,53.99676,49,1,178
0.4545,0.4545,61.118,47.118,59,45,53.99676,54,1,178
0.771,0.771,57.902,45.902,55,43,53.99676,52,1,178
0.9945,0.9945,52.9365,40.9365,50,38,53.99676,47,1,178
0.082,0.082,64.2125,52.2125,58,46,53.99676,58,1,178
0.167,0.167,64.1175,50.1175,59,45,53.99676,57,1,178
0.501,0.501,59.6075,48.6075,54,43,53.99676,54,1,178
0.665,0.665,58.641,47.641,53,42,53.99676,53,1,178
0.358,0.358,61.3945,49.3945,57,45,53.99676,55,1,178
0.783,0.783,57.932,45.932,56,44,53.99676,52,1,178
0.88,0.88,55.678,45.678,51,41,53.99676,51,1,178
0.7095,0.7095,57.0945,46.0945,52,41,53.99676,52,1,178
0.3255,0.3255,63.7885,47.7885,61,45,53.99676,56,1,178
0.939,0.939,54.592,42.592,51,39,53.99676,49,1,178
0.861,0.861,57.454,43.454,57,43,53.99676,50,1,178
0.371,0.371,61.3885,48.3885,58,45,53.99676,55,1,178
0.914,0.914,55.6855,44.6855,52,41,53.99676,50,1,178
0.145,0.145,63.981,50.981,59,46,53.99676,58,1,178
0.877,0.877,56.732,45.732,52,41,53.99676,51,1,178
0.9475,0.9475,54.944,44.944,50,40,53.99676,50,1,178
0.3265,0.3265,62.9425,48.9425,59,45,53.99676,56,1,178
0.212,0.212,63.674,50.674,60,47,53.99676,57,1,178
0.528,0.528,59.7615,48.7615,55,44,53.99676,54,1,178
0.0725,0.0725,67.9435,51.9435,65,49,53.99676,60,1,178
0.8795,0.8795,56.8525,44.8525,53,41,53.99676,51,1,178
0.2395,0.2395,62.1135,49.1135,57,44,53.99676,56,1,178
0.4955,0.4955,61.3685,46.3685,59,44,53.99676,54,1,178
0.538,0.538,59.803,47.803,55,43,53.99676,54,1,178
0.401,0.401,61.5455,48.5455,58,45,53.99676,55,1,178
0.377,0.377,60.647,49.647,57,46,53.99676,55,1,178
0.2965,0.2965,63.4825,48.4825,60,45,53.99676,56,1,178
0.491,0.491,61.397,47.397,58,44,53.99676,54,1,178
0.025,0.025,69.7185,53.7185,66,50,53.99676,62,1,178
