"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
45.7019471747198,61.1951469599412,41.117,0.779,140,0,199,"comm3",1
70,103.860238693467,58.687,0.779,140,1,199,"comm3",1
51.3631647211414,68.8846153846153,51.363,0.78,199,-1,199,"comm4",1
64.7487357550436,97.5508630743577,64.749,0.78,199,0,199,"comm4",1
85,153.795405599426,85,0.78,199,1,199,"comm4",1
15.7719632096416,16.8962457337884,14.336,0.813,89,-1,223,"comm1",1
24.8356934221486,31.1535245766533,20.296,0.813,89,0,223,"comm1",1
50,101.849775784753,31.245,0.813,89,1,223,"comm1",1
27.9533445756043,31.8161953727507,24.085,0.812,96,-1,223,"comm2",1
36.7181078117289,43.9727341904228,30.073,0.812,96,0,223,"comm2",1
55,72.9690582959641,39.105,0.812,96,1,223,"comm2",1
36.9183370452858,44.0444839857652,36.918,0.812,223,-1,223,"comm3",1
54.1608298194928,78.937284126133,54.161,0.812,223,0,223,"comm3",1
81,168.804484304933,81,0.812,223,1,223,"comm3",1
44.9223125564589,56.002262443439,43.274,0.813,187,-1,223,"comm4",1
61.409670251223,82.5637949582353,58.262,0.813,187,0,223,"comm4",1
84,117.875186846039,77.833,0.813,187,1,223,"comm4",1
15.8572866851246,16.8592154755508,13.425,0.796,62,-1,251,"comm1",1
24.1248641248196,27.6649677444254,17.902,0.796,62,0,251,"comm1",1
47,61.668598333937,24.828,0.796,62,1,251,"comm1",1
24.7937819756002,27.4017467248908,20.789,0.796,83,-1,251,"comm2",1
34.8020882694669,40.9420804057767,26.945,0.796,83,0,251,"comm2",1
55,75.1693227091633,35.38,0.796,83,1,251,"comm2",1
32.3247819394561,36.9552414605418,30.033,0.798,156,-1,251,"comm3",1
48.2679649912658,61.7864883497418,42.471,0.798,156,0,251,"comm3",1
77,110.864541832669,61.234,0.798,156,1,251,"comm3",1
44.3981677237491,53.7243150684931,44.398,0.797,251,-1,251,"comm4",1
63.1497884378584,93.2981489626573,63.15,0.797,251,0,251,"comm4",1
94,193.639901930739,94,0.797,251,1,251,"comm4",1
14.4063127166575,15.1307692307692,13.274,0.844,101,-1,281,"comm1",1
22.6992042290184,26.6131138923133,18.833,0.844,101,0,281,"comm1",1
51,82.8861209964413,30.616,0.844,101,1,281,"comm1",1
24.1102290076336,26.2792251169004,22.235,0.844,139,-1,281,"comm2",1
37.6530543440181,44.4305895035241,32.511,0.844,139,0,281,"comm2",1
64,84.0948991696323,48.439,0.844,139,1,281,"comm2",1
42.6125202374528,50.0508905852417,42.613,0.844,281,-1,281,"comm3",1
61.70307172603,82.0453469816588,61.703,0.844,281,0,281,"comm3",1
94,144.766061060124,94,0.844,281,1,281,"comm3",1
43.9894150417827,51.9682959048877,42.265,0.844,222,-1,281,"comm4",1
61.7658941931149,78.8199633328191,58.209,0.844,222,0,281,"comm4",1
89,122.906682483195,80.776,0.844,222,1,281,"comm4",1
14.7847201658277,15.4613233923579,14.093,0.868,149,-1,316,"comm1",1
24.166046016391,27.9831758020961,21.336,0.868,149,0,316,"comm1",1
56,84.3191887226697,38.929,0.868,149,1,316,"comm1",1
24.5950738916256,26.5865384615384,22.527,0.867,142,-1,316,"comm2",1
35.5707990233436,40.5969374884422,30.85,0.867,142,0,316,"comm2",1
60,76.1487341772152,45.006,0.867,142,1,316,"comm2",1
34.3383768913342,38.4027777777778,34.232,0.867,307,-1,316,"comm3",1
53.3774377811286,67.9977662938775,53.043,0.867,307,0,316,"comm3",1
90,139.284717051377,88.82,0.867,307,1,316,"comm3",1
48.853228962818,57.6041666666666,48.853,0.867,316,-1,316,"comm4",1
66.0222695061675,85.7086592263227,66.022,0.867,316,0,316,"comm4",1
97,151.950553797468,97,0.867,316,1,316,"comm4",1
14.568239944199,15.1505819592629,13.351,0.865,105,-1,354,"comm1",1
23.0878891547183,25.3622117360531,19.158,0.865,105,0,354,"comm1",1
50,60.1983821263482,30.785,0.865,105,1,354,"comm1",1
22.1955366631243,23.6133786848073,20.289,0.865,138,-1,354,"comm2",1
33.3407426983617,39.5859843454446,28.358,0.865,138,0,354,"comm2",1
62,133.796610169492,42.633,0.865,138,1,354,"comm2",1
34.1088731627654,37.6391566265061,33.325,0.865,283,-1,354,"comm3",1
52.8301600637103,66.4406045540635,50.418,0.865,283,0,354,"comm3",1
92,151.866121872478,83.13,0.865,283,1,354,"comm3",1
42.1655450874832,47.7318563789153,42.166,0.865,354,-1,354,"comm4",1
61.5697163324823,79.871876778571,61.57,0.865,354,0,354,"comm4",1
101,172.796610169492,101,0.865,354,1,354,"comm4",1
15.5054815974941,16.0935017315136,14.892,0.895,187,-1,398,"comm1",1
24.8932592240751,27.4341294898168,22.469,0.895,187,0,398,"comm1",1
58,69.5423546302943,43.111,0.895,187,1,398,"comm1",1
27.2828108852911,29.2170857988166,25.573,0.895,198,-1,398,"comm2",1
39.7395836993721,44.7044685200402,35.656,0.895,198,0,398,"comm2",1
69,84.7104271356784,54.007,0.895,198,1,398,"comm2",1
35.5006723442403,38.8794291338583,35.501,0.895,398,-1,398,"comm3",1
55.2794611948008,67.8128592888875,55.279,0.895,398,0,398,"comm3",1
99,147.876884422111,99,0.895,398,1,398,"comm3",1
44.696388261851,50.2244119516847,44.227,0.895,363,-1,398,"comm4",1
64.875741725076,79.4908118195929,63.756,0.895,363,0,398,"comm4",1
101,148.411824748744,97.445,0.895,363,1,398,"comm4",1
16.1825577611455,16.7541786256964,15.84,0.902,273,-1,446,"comm1",1
27.9949111368473,31.4333693220868,26.193,0.902,273,0,446,"comm1",1
70,91.7289486796213,56.232,0.902,273,1,446,"comm1",1
28.8284057971014,30.7514719553765,27.059,0.902,218,-1,446,"comm2",1
42.4844597551202,47.1863442720546,38.243,0.902,218,0,446,"comm2",1
73,85.4335977923422,58.605,0.902,218,1,446,"comm2",1
41.9300168634064,46.1772917636109,41.93,0.902,446,-1,446,"comm3",1
61.3276243843142,74.3136104000753,61.328,0.902,446,0,446,"comm3",1
105,155.833136653292,105,0.902,446,1,446,"comm3",1
47.7933685728015,53.4095801937567,46.891,0.902,377,-1,446,"comm4",1
68.7155811010528,82.1488399491564,66.645,0.902,377,0,446,"comm4",1
108,143.945539296672,101.772,0.902,377,1,446,"comm4",1
