"samp","chaoest","cover","coverage","l","size","comm","reps"
111.552112676056,252.576923076923,74.375,0.287,-1,199,"soil.Illinois",1
131.522705641587,346.366293671869,82.306,0.287,0,199,"soil.Illinois",1
148,392.32373405489,88.208,0.287,1,199,"soil.Illinois",1
132.444816053512,394.02,132.445,0.287,-1,199,"soil.Canada",1
151.324634929514,662.402462045728,151.325,0.287,0,199,"soil.Canada",1
165,791.958542713568,165,0.287,1,199,"soil.Canada",1
101.695296523517,186.112781954887,77.471,0.288,-1,223,"soil.Brazil",1
140.455227096269,555.428947948559,95.211,0.288,0,223,"soil.Brazil",1
169,857.100448430493,107.405,0.288,1,223,"soil.Brazil",1
111.750561797753,223,85.864,0.288,-1,223,"soil.Florida",1
148.087471639152,479.18224218531,104.101,0.288,0,223,"soil.Florida",1
171,608.144516918059,115.118,0.288,1,223,"soil.Florida",1
125.261964735516,284.517241379311,125.262,0.288,-1,223,"soil.Illinois",1
160.49668973228,761.592442334337,160.497,0.288,0,223,"soil.Illinois",1
182,1020.92107623318,182,0.288,1,223,"soil.Illinois",1
119.254196642686,255.18556701031,105.447,0.287,-1,223,"soil.Canada",1
153.92768820485,633.540146789153,130.226,0.287,0,223,"soil.Canada",1
177,853.482194671591,146.34,0.287,1,223,"soil.Canada",1
123.774066797642,243.217054263566,90.287,0.355,-1,251,"soil.Brazil",1
151.67461853077,381.049788667763,103.387,0.355,0,251,"soil.Brazil",1
176,481.225526465566,113.557,0.355,1,251,"soil.Brazil",1
94.1718983557549,150.11961722488,66.315,0.356,-1,251,"soil.Florida",1
133.507211054493,316.655145418646,81.034,0.356,0,251,"soil.Florida",1
167,444.906232214001,91.883,0.356,1,251,"soil.Florida",1
120.001904761905,229.014598540146,111.936,0.355,-1,251,"soil.Illinois",1
158.519564432396,580.953309717287,143.498,0.355,0,251,"soil.Illinois",1
188,869.966578131917,167.046,0.355,1,251,"soil.Illinois",1
123.774066797642,243.217054263566,123.774,0.355,-1,251,"soil.Canada",1
165.707291924574,568.002015703571,165.707,0.355,0,251,"soil.Canada",1
194,738.57171314741,194,0.355,1,251,"soil.Canada",1
116.290132547865,197.688442211055,97.652,0.346,-1,281,"soil.Brazil",1
169.192742151636,529.903708901799,129.598,0.346,0,281,"soil.Brazil",1
205,770.169039145908,149.969,0.346,1,281,"soil.Brazil",1
81.3192584963955,114.028985507246,64.079,0.346,-1,281,"soil.Florida",1
145.917641472432,423.700238681185,93.243,0.346,0,281,"soil.Florida",1
193,713.423951725205,111.694,0.346,1,281,"soil.Florida",1
125.136291600634,224.8,95.733,0.346,-1,281,"soil.Illinois",1
167.06461217097,477.447230674693,116.129,0.346,0,281,"soil.Illinois",1
200,672.332329592116,130.705,0.346,1,281,"soil.Illinois",1
155.741617357002,348.141592920354,155.742,0.346,-1,281,"soil.Canada",1
191.895816157301,732.241307455226,191.896,0.346,0,281,"soil.Canada",1
219,985.716273050793,219,0.346,1,281,"soil.Canada",1
109.013100436681,165.9,105.894,0.453,-1,316,"soil.Brazil",1
167.247731663367,480.156156729338,158.873,0.453,0,316,"soil.Brazil",1
214,807.137856012658,200.481,0.453,1,316,"soil.Brazil",1
94.2037735849057,133.790322580645,91.469,0.453,-1,316,"soil.Florida",1
165.554299409263,466.746325838904,155.877,0.453,0,316,"soil.Florida",1
215,777.693670886076,199.367,0.453,1,316,"soil.Florida",1
126.4,210,117.6,0.453,-1,316,"soil.Illinois",1
168.145000139932,547.084270858749,151.202,0.453,0,316,"soil.Illinois",1
210,1078.77323971519,183.141,0.453,1,316,"soil.Illinois",1
138.304709141274,245.172413793103,138.305,0.453,-1,316,"soil.Canada",1
182.152930151889,541.476777498088,182.153,0.453,0,316,"soil.Canada",1
220,841.547666139241,220,0.453,1,316,"soil.Canada",1
103.910447761194,146.669014084507,72.399,0.371,-1,354,"soil.Brazil",1
165.565537453141,491.706043181248,92.071,0.371,0,354,"soil.Brazil",1
226,1042.7113700565,107.372,0.371,1,354,"soil.Brazil",1
94.5067873303167,128.561728395062,81.781,0.37,-1,354,"soil.Florida",1
182.723915470087,486.119204760026,134.303,0.37,0,354,"soil.Florida",1
244,754.553672316384,167.532,0.37,1,354,"soil.Florida",1
147.084507042254,250.927710843374,102.993,0.371,-1,354,"soil.Illinois",1
192.245242456093,490.687718452012,120.708,0.371,0,354,"soil.Illinois",1
235,738.879032258065,134.898,0.371,1,354,"soil.Illinois",1
213.122448979592,534.025641025642,213.122,0.371,-1,354,"soil.Canada",1
248.249877529729,793.403547339041,248.25,0.371,0,354,"soil.Canada",1
276,928.480560511448,276,0.371,1,354,"soil.Canada",1
128.15857605178,188.551312649165,116.901,0.47,-1,398,"soil.Brazil",1
198.973615565703,436.376989679459,169.978,0.47,0,398,"soil.Brazil",1
257,612.929981540355,211.076,0.47,1,398,"soil.Brazil",1
78.1084812623274,96.9361963190184,75.749,0.47,-1,398,"soil.Florida",1
175.220419116275,488.370469192899,160.373,0.47,0,398,"soil.Florida",1
255,1016.21221849991,226.415,0.47,1,398,"soil.Florida",1
