"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.8555,0.8555,24.4335,17.4335,23,16,23.0174,21,1,100
0.99,0.99,22.961,14.961,23,15,23.0174,19,1,100
0.522,0.522,28.5965,18.5965,29,19,23.0174,23,1,100
0.818,0.818,25.821,15.821,26,16,23.0174,21,1,100
0.504,0.504,25.53,19.53,23,17,23.0174,23,1,100
0.326,0.326,27.5775,20.5775,26,19,23.0174,24,1,100
0.9315,0.9315,23.9085,17.9085,23,17,23.0174,21,1,100
0.553,0.553,25.7345,19.7345,24,18,23.0174,23,1,100
0.1365,0.1365,29.155,21.155,27,19,23.0174,25,1,100
0.966,0.966,23.3365,14.3365,22,13,23.0174,19,1,100
0.4435,0.4435,26.2355,19.2355,24,17,23.0174,23,1,100
0.0195,0.0195,33.1035,23.1035,31,21,23.0174,28,1,100
0.0525,0.0525,33.7895,21.7895,33,21,23.0174,28,1,100
0.567,0.567,26.89,18.89,26,18,23.0174,23,1,100
0.2945,0.2945,28.3135,19.3135,27,18,23.0174,24,1,100
0.877,0.877,24.824,16.824,24,16,23.0174,21,1,100
0.563,0.563,26.8155,18.8155,26,18,23.0174,23,1,100
0.075,0.075,30.147,21.147,28,19,23.0174,26,1,100
0.789,0.789,25.216,17.216,24,16,23.0174,21,1,100
0.166,0.166,29.3295,20.3295,28,19,23.0174,25,1,100
0.9635,0.9635,24.017,16.017,23,15,23.0174,20,1,100
0.502,0.502,26.5685,18.5685,25,17,23.0174,23,1,100
0.4755,0.4755,26.44,19.44,24,17,23.0174,23,1,100
0.278,0.278,29.9385,19.9385,29,19,23.0174,25,1,100
0.939,0.939,23.189,16.189,22,15,23.0174,20,1,100
0.216,0.216,31.8275,19.8275,32,20,23.0174,26,1,100
0.6085,0.6085,26.055,18.055,25,17,23.0174,22,1,100
0.8695,0.8695,24.4715,17.4715,24,17,23.0174,21,1,100
0.0705,0.0705,30.198,21.198,29,20,23.0174,26,1,100
0.7585,0.7585,25.887,17.887,25,17,23.0174,22,1,100
0.9445,0.9445,23.784,16.784,24,17,23.0174,20,1,100
0.391,0.391,27.8655,19.8655,27,19,23.0174,24,1,100
0.8915,0.8915,24.9255,14.9255,25,15,23.0174,20,1,100
0.2555,0.2555,28.0535,19.0535,27,18,23.0174,24,1,100
0.512,0.512,26.5935,18.5935,24,16,23.0174,23,1,100
0.375,0.375,26.9785,20.9785,25,19,23.0174,24,1,100
0.6035,0.6035,26.1915,17.1915,25,16,23.0174,22,1,100
0.9425,0.9425,23.534,16.534,23,16,23.0174,20,1,100
0.377,0.377,27.822,19.822,27,19,23.0174,24,1,100
0.642,0.642,26.252,18.252,26,18,23.0174,22,1,100
0.996,0.996,21.9615,15.9615,22,16,23.0174,19,1,100
0.216,0.216,27.243,20.243,25,18,23.0174,24,1,100
0.806,0.806,24.0285,18.0285,22,16,23.0174,21,1,100
0.0275,0.0275,30.5785,22.5785,27,19,23.0174,27,1,100
