"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
43.8033730383726,62.1545543165859,43.803,0.815,199,0,199,"comm3",1
68,136.106030150754,68,0.815,199,1,199,"comm3",1
39.015763546798,48.2867647058823,38.372,0.815,183,-1,199,"comm4",1
52.212298162024,72.8517475619586,50.966,0.815,183,0,199,"comm4",1
73,123.785175879397,70.11,0.815,183,1,199,"comm4",1
17.1538461538462,18.5,14.757,0.827,69,-1,223,"comm1",1
23.8818607097382,26.9014461590138,18.951,0.827,69,0,223,"comm1",1
41,48.1677130044843,25.765,0.827,69,1,223,"comm1",1
20.0439338976219,21.9247121346324,18.366,0.826,108,-1,223,"comm2",1
32.2684434011997,38.2782535361505,27.424,0.826,108,0,223,"comm2",1
54,68.6612311455361,40.387,0.826,108,1,223,"comm2",1
29.2695703354915,33.5406504065041,28.256,0.826,174,-1,223,"comm3",1
44.8954717046731,60.2451308790153,42.09,0.826,174,0,223,"comm3",1
71,125.205829596413,63.167,0.826,174,1,223,"comm3",1
41.5446950710109,50.8275154004107,41.545,0.826,223,-1,223,"comm4",1
61.0262553267217,84.7658476450104,61.026,0.826,223,0,223,"comm4",1
86,133.318105381166,86,0.826,223,1,223,"comm4",1
14.1479901190209,14.9333650642551,12.229,0.806,63,-1,251,"comm1",1
22.0291244530059,25.3754648259126,16.571,0.806,63,0,251,"comm1",1
46,63.9780876494024,23.798,0.806,63,1,251,"comm1",1
25.683245006115,28.4968210717529,23.184,0.805,120,-1,251,"comm2",1
37.9945060543307,47.237988780029,31.761,0.805,120,0,251,"comm2",1
65,99.9020584329349,45.488,0.805,120,1,251,"comm2",1
36.3118155619597,42.2843665768194,36.312,0.805,251,-1,251,"comm3",1
56.0295542905936,81.1333286923005,56.03,0.805,251,0,251,"comm3",1
90,181.978240882623,90,0.805,251,1,251,"comm3",1
40.7246283128636,48.4182098765432,38.829,0.805,192,-1,251,"comm4",1
58.9490016642224,78.7592677034036,54.602,0.805,192,0,251,"comm4",1
87,131.55706585423,76.754,0.805,192,1,251,"comm4",1
17.9988602689765,19.162201656113,15.915,0.84,89,-1,281,"comm1",1
26.3149169644678,30.1627706371586,21.225,0.84,89,0,281,"comm1",1
50,69.984183471728,30.491,0.84,89,1,281,"comm1",1
28.744448489261,31.9059205190592,25.457,0.84,122,-1,281,"comm2",1
39.7008400339572,46.9026953814431,33.323,0.84,122,0,281,"comm2",1
62,86.4128113879003,45.102,0.84,122,1,281,"comm2",1
30.7360840794083,34.3881118881119,28.715,0.84,169,-1,281,"comm3",1
46.1363301633844,55.7361643660849,41.098,0.84,169,0,281,"comm3",1
74,95.0498220640569,60.348,0.84,169,1,281,"comm3",1
39.8189611699445,46.2279670975323,39.819,0.84,281,-1,281,"comm4",1
61.8096634635306,83.1581908253975,61.81,0.84,281,0,281,"comm4",1
96,152.049822064057,96,0.84,281,1,281,"comm4",1
14.471884057971,15.1184690157958,13.399,0.877,110,-1,316,"comm1",1
21.6147925724402,24.6548812050373,18.45,0.877,110,0,316,"comm1",1
47,80.2278481012658,29.635,0.877,110,1,316,"comm1",1
27.6609418282548,30.2185792349727,26.135,0.877,187,-1,316,"comm2",1
39.9601561244316,46.2644442867658,36.334,0.877,187,0,316,"comm2",1
67,83.0822784810127,54.945,0.877,187,1,316,"comm2",1
32.8906455862978,36.5955882352941,32.891,0.877,316,-1,316,"comm3",1
50.712417446447,66.0822315248562,50.712,0.877,316,0,316,"comm3",1
85,169.232594936709,85,0.877,316,1,316,"comm3",1
53.2849519743863,63.8896020539152,52.504,0.877,290,-1,316,"comm4",1
71.0767796709493,88.8710244997615,69.675,0.877,290,0,316,"comm4",1
99,125.546161254816,95.964,0.877,290,1,316,"comm4",1
14.2210621879256,14.7744147552613,12.868,0.856,93,-1,354,"comm1",1
22.4012265312034,26.5606826378684,17.973,0.856,93,0,354,"comm1",1
54,132.178531073446,28.015,0.856,93,1,354,"comm1",1
24.9038155802862,26.7126977340745,22.891,0.856,154,-1,354,"comm2",1
39.4195842626078,45.346815806681,33.765,0.856,154,0,354,"comm2",1
69,90.9877118644068,50.913,0.856,154,1,354,"comm2",1
37.2520808561237,41.5156146179403,35.992,0.856,264,-1,354,"comm3",1
57.1801965654009,70.8846982267456,53.624,0.856,264,0,354,"comm3",1
95,136.986321736545,83.511,0.856,264,1,354,"comm3",1
45.0776978417266,51.5094806265459,45.078,0.856,354,-1,354,"comm4",1
67.8279492464483,89.9228746824053,67.828,0.856,354,0,354,"comm4",1
108,189.051641949153,108,0.856,354,1,354,"comm4",1
14.4134667879891,14.9174848942598,14.077,0.897,233,-1,398,"comm1",1
24.3780006060291,28.0698666629229,22.632,0.897,233,0,398,"comm1",1
63,106.44611948632,49.134,0.897,233,1,398,"comm1",1
23.3634218289086,24.7580695706675,22.006,0.897,190,-1,398,"comm2",1
37.3219641405122,41.3915293309002,33.393,0.897,190,0,398,"comm2",1
66,75.1198851399856,52.444,0.897,190,1,398,"comm2",1
35.2165406847488,38.5380487804878,35.217,0.897,398,-1,398,"comm3",1
54.561810278404,66.56055994326,54.562,0.897,398,0,398,"comm3",1
97,143.57712171971,97,0.897,398,1,398,"comm3",1
47.4547633313361,53.743537414966,47.178,0.897,379,-1,398,"comm4",1
67.0717247660835,81.6202242902495,66.445,0.897,379,0,398,"comm4",1
104,140.123295046662,102.092,0.897,379,1,398,"comm4",1
15.1405084487745,15.6374093917428,14.443,0.895,177,-1,446,"comm1",1
24.6345517246122,27.2726831576839,21.817,0.895,177,0,446,"comm1",1
60,81.9922458893871,40.215,0.895,177,1,446,"comm1",1
22.0772475027747,23.1749182624941,20.913,0.895,205,-1,446,"comm2",1
36.9526348099472,41.7612702529146,32.913,0.895,205,0,446,"comm2",1
72,100.345393395842,53.891,0.895,205,1,446,"comm2",1
34.9465917076599,37.8326343881052,34.947,0.895,446,-1,446,"comm3",1
54.960954951901,68.1760034858175,54.961,0.895,446,0,446,"comm3",1
102,186.771041738531,102,0.895,446,1,446,"comm3",1
40.0555779299235,43.9092920353982,39.014,0.895,342,-1,446,"comm4",1
62.5861614409396,74.2980355025335,59.633,0.895,342,0,446,"comm4",1
104,138.028793957989,94.423,0.895,342,1,446,"comm4",1
14.4527552254275,14.8523657061544,14.125,0.916,269,-1,501,"comm1",1
23.9340597631624,26.3440430572647,22.3,0.916,269,0,501,"comm1",1
64,86.276874821785,48.937,0.916,269,1,501,"comm1",1
27.5492262100757,29.0940766550522,26.388,0.916,274,-1,501,"comm2",1
41.4539943831205,46.6681893039327,38.275,0.916,274,0,501,"comm2",1
77,110.73253493014,62.3,0.916,274,1,501,"comm2",1
36.6799649276633,39.4985808893093,36.68,0.916,501,-1,501,"comm3",1
58.4147516334311,69.5721369225922,58.415,0.916,501,0,501,"comm3",1
107,162.01497005988,107,0.916,501,1,501,"comm3",1
48.7854227405248,53.9405684754521,48.767,0.916,499,-1,501,"comm4",1
74.3905015408965,88.7619099674253,74.339,0.916,499,0,501,"comm4",1
122,158.676646706587,121.832,0.916,499,1,501,"comm4",1
13.8128225312691,14.1356707317073,13.419,0.906,246,-1,562,"comm1",1
24.2749488436015,26.8209393279729,22.009,0.906,246,0,562,"comm1",1
