"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.9065,25.75,22.0013966480447,19.6795031055901,27.8799983470775,17.1583593874282,-1,178,50
0.05,25.75,31.3180914512923,26.7601351351351,38.6106564713686,24.5580666782963,-1,178,50
0.245,25.75,28.180679785331,24.4475308641975,35.3167851150111,22.1595489465809,-1,178,50
0.011,25.75,34.2456521739131,28.856102003643,41.970680770699,27.0156796314873,-1,178,50
0.146,25.75,29.3351955307263,25.3067092651757,36.2082128170462,23.1926522005534,-1,178,50
0.3725,25.75,27.0205831903945,23.5744047619048,34.591031087988,20.6064606304567,-1,178,50
0.114,25.75,30.0057142857143,25.8013029315961,37.5566477944164,23.3835308770832,-1,178,50
0.006,25.75,35.8838268792711,30.0037878787879,45.490803730449,27.4443737684855,-1,178,50
0.402,25.75,26.6548223350254,23.2970588235294,32.9064914789108,20.9694133130216,-1,178,50
0.0545,25.75,31.5691382765531,26.9421768707483,39.3909795540234,24.6020339458558,-1,178,50
0.6045,25.75,25.0445151033386,22.0640668523677,31.8545721324917,19.0721498388153,-1,178,50
0.2465,25.75,28.6939890710383,24.8307210031348,37.5350601183595,21.2707054982946,-1,178,50
0.0825,25.75,30.2942307692308,26.0131362889984,38.0597238531152,23.8465314813067,-1,178,50
0.2035,25.75,28.180679785331,24.4475308641975,34.1833094096467,22.8678633578082,-1,178,50
0.2135,25.75,28.7989031078611,24.9088050314465,36.3525745596842,21.946500146509,-1,178,50
0.7735,25.75,23.3724035608309,20.7627785058978,30.3969745675576,17.6635369545377,-1,178,50
0.506,25.75,25.7823240589198,22.6314285714286,32.4682782036398,19.6773764749172,-1,178,50
0.0395,25.75,33.4458598726115,28.2892857142857,43.1459018326839,24.9981528838581,-1,178,50
0.3965,25.75,26.7908163265306,23.4002954209749,33.8349171510905,20.5419941087862,-1,178,50
0.1175,25.75,29.6109022556391,25.5104669887279,36.202255070396,23.4733887532269,-1,178,50
0.7305,25.75,23.8681818181818,21.150867823765,30.8765140352235,17.9442257969373,-1,178,50
0.197,25.75,29.0110497237569,25.0664556962025,36.4877275563175,22.1326182048845,-1,178,50
0.987,25.75,18.7535714285714,17.0527448869752,24.6922769937555,13.7900811632702,-1,178,50
0.1105,25.75,29.8352272727273,25.6758508914101,37.1228327023687,23.6183694042845,-1,178,50
0.0985,25.75,30.3526011560694,26.0559210526316,37.7456370808373,23.4928915664956,-1,178,50
0.8855,25.75,22.125,19.7777777777778,28.4253328136357,17.0633332190274,-1,178,50
0.6865,25.75,24.3854489164087,21.5537414965986,31.0404916997339,18.8974077715039,-1,178,50
0.2965,25.75,27.8321554770318,24.1862595419847,35.5524683698873,20.9690938920116,-1,178,50
0.829,25.75,22.764450867052,20.2842509603073,28.8948554802781,17.0883118222825,-1,178,50
0.3135,25.75,27.9804618117229,24.2975460122699,36.6514348696981,20.6061154271492,-1,178,50
0.807,25.75,23.030701754386,20.4941785252264,30.248136120823,17.2547857558595,-1,178,50
0.863,25.75,22.0321678321679,19.7039800995025,29.0115664574315,16.1869489314941,-1,178,50
0.329,25.75,27.4921465968586,23.9305135951662,35.3813245393475,20.8713934251226,-1,178,50
0.059,25.75,30.5290697674419,26.1851239669422,37.3508086696305,24.6436946839455,-1,178,50
0.0565,25.75,32.347022587269,27.5034722222222,40.9038272210841,24.7690213709024,-1,178,50
0.9085,25.75,21.5204918032787,19.2959805115713,28.0973317316171,15.9237626452795,-1,178,50
0.27,25.75,28.3327338129496,24.5612403100775,36.7523982161915,21.4055693033535,-1,178,50
0.6075,25.75,25.0047619047619,22.0333796940195,32.7299860344118,18.6607080230032,-1,178,50
0.738,25.75,23.7960725075529,21.0945406125166,30.8624627170472,17.9010863484989,-1,178,50
0.474,25.75,26.1243781094527,22.893063583815,32.8865835230022,20.6869473054469,-1,178,50
0.445,25.75,26.4312080536913,23.1270072992701,33.6436572585003,20.4331823749341,-1,178,50
0.7885,25.75,23.3032544378698,20.7084967320261,30.4795310057962,17.6269570824419,-1,178,50
0.176,25.75,29.8352272727273,25.6758508914101,38.9340787670782,22.2303174711949,-1,178,50
0.6775,25.75,24.3854489164087,21.5537414965986,31.2708596661696,18.5472174936456,-1,178,50
0.489,25.75,25.9950495049505,22.7942446043165,33.0541046640907,20.2080282455754,-1,178,50
0.373,25.75,27.0670103092784,23.6095380029806,34.3469603723752,20.9281492605133,-1,178,50
0.0075,25.75,34.2456521739131,28.856102003643,42.3923312360523,27.1282857518745,-1,178,50
0.869,25.75,22.4082503556188,20.0025252525253,28.2026114587339,17.2260491578932,-1,178,50
0.3155,25.75,27.5402097902098,23.9667170953101,34.6986699223556,21.2152182908622,-1,178,50
0.937,25.75,20.4850455136541,18.4638694638695,27.2825272023652,15.0431350788512,-1,178,50
