"chaotile","l","inds","reps","comm"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
38.3,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
31.05,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
68.25,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
89.7,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
41.8,-1,150,60,"com1"
