"chaotile","l","inds","reps","comm"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
45.95,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
43.8,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
39.4,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
17.2,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
75.45,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
53,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
45.85,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
49.8,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
