"chaotile","l","inds","reps","comm"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
68.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
77.3,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
1.95,-1,150,60,"com1"
