Id,Observation Date,Family,Genus,Species,Names of Collectors,Diameter at 1.3m,Max Diameter,Max Diameter POM,Condition Codes,Location Codes,Sampling Period,Comments,Data Level,Sampling Unit Name,Latitude,Longitude,Method,Subplot Number,1ha Plot X Coordinate,1ha Plot Y Coordinate,Tree Number,Site Name,1ha Plot Number,Elevation,Protocol Version,Data Set Creator Institution,Data Set Creator Scientist
445954,3/27/12,Connaraceae,Connarus,panamensis,Antonio Aguilar Valdes,10.6,,,,,2011.01,,Level 0,VL-BCI-4-042080,,,,8,,,42080,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446547,3/27/12,Apocynaceae,Odontadenia,puncticulosa,Roni Saenz,10.3,,,,,2011.01,,Level 0,VL-BCI-4-855647.101,,,,11,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446549,3/28/12,Celastraceae,Prionostemma,asperum,Guillermo Aguilar,19,,,,,2011.01,,Level 0,VL-BCI-5-001709,,,,20,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446550,3/28/12,Fabaceae,Entada,gigas,Roni Saenz,16.4,,,,,2011.01,,Level 0,VL-BCI-5-001909,,,,6,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446551,3/28/12,Bignoniaceae,Arrabidaea,verrucosa,Roni Saenz,11.7,,,,,2011.01,,Level 0,VL-BCI-5-001915,,,,8,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446552,3/28/12,Fabaceae,Acacia,hayesii,Roni Saenz,10.7,,,,,2011.01,,Level 0,VL-BCI-5-001916,,,,8,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446553,3/28/12,Sapindaceae,Thinouia,myriantha,Biancolini Castro,10,,,,,2011.01,,Level 0,VL-BCI-5-001917,,,,1,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446554,3/28/12,Fabaceae,Entada,gigas,Biancolini Castro,18,,,,,2011.01,,Level 0,VL-BCI-5-001931,,,,5,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446555,3/28/12,Bignoniaceae,Arrabidaea,verrucosa,Roni Saenz,10.7,,,,,2011.01,,Level 0,VL-BCI-5-002128,,,,7,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446556,3/28/12,Bignoniaceae,Arrabidaea,verrucosa,Roni Saenz,10.9,,,,,2011.01,,Level 0,VL-BCI-5-002129,,,,7,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446557,3/28/12,Celastraceae,Prionostemma,asperum,Biancolini Castro,13.7,,,,,2011.01,,Level 0,VL-BCI-5-011492.101,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446558,3/28/12,Celastraceae,Prionostemma,asperum,Biancolini Castro,11.5,,,,,2011.01,,Level 0,VL-BCI-5-011492.202,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
446559,3/28/12,Celastraceae,Prionostemma,asperum,Guillermo Aguilar,14.3,,,,,2011.01,,Level 0,VL-BCI-5-011493,,,,24,,,11493,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
447108,3/23/12,Dilleniaceae,Doliocarpus,dentatus,Rolando Perez,11.3,,,,,2011.01,,Level 0,VL-BCI-6-001305,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-6,77.75183,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448028,4/22/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,13.4,,,,,2012.01,,Level 0,VL-BCI-1-521051,,,,1,,,521051,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448064,4/22/13,Fabaceae,Bauhinia,reflexa,Roni Saenz,18.5,,,,,2012.01,,Level 0,VL-BCI-1-804639,,,,21,,,804639,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448065,4/22/13,Fabaceae,Machaerium,milleflorum,Roni Saenz,11.4,,,,,2012.01,,Level 0,VL-BCI-1-804640,,,,22,,,804640,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448066,4/22/13,Celastraceae,Prionostemma,asperum,Roni Saenz,11.1,,,,,2012.01,,Level 0,VL-BCI-1-804641,,,,22,,,804641,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448067,4/22/13,Celastraceae,Prionostemma,asperum,Roni Saenz,12.5,,,,,2012.01,,Level 0,VL-BCI-1-804642,,,,22,,,804642,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448076,4/22/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,13.1,,,,,2012.01,,Level 0,VL-BCI-1-828543,,,,2,,,828543,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448077,4/22/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,14.4,,,,,2012.01,,Level 0,VL-BCI-1-828544,,,,2,,,828544,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448078,4/22/13,Celastraceae,Prionostemma,asperum,Osmar Agrazal,14.7,,,,,2012.01,,Level 0,VL-BCI-1-828545,,,,24,,,828545,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448079,4/22/13,Dilleniaceae,Doliocarpus,dentatus,Osmar Agrazal,10,,,K,,2012.01,,Level 0,VL-BCI-1-828546,,,,24,,,828546,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448080,4/22/13,Combretaceae,Combretum,fruticosum,Osmar Agrazal,11.7,,,,,2012.01,,Level 0,VL-BCI-1-828547,,,,24,,,828547,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448081,4/22/13,Fabaceae,Bauhinia,reflexa,Roni Saenz,15.3,,,,,2012.01,,Level 0,VL-BCI-1-828548,,,,12,,,828548,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448084,4/22/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,16.3,,,,,2012.01,,Level 0,VL-BCI-1-839556,,,,4,,,839556,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448085,4/22/13,Celastraceae,Prionostemma,asperum,Antonio Aguilar Valdes,14.2,,,,,2012.01,,Level 0,VL-BCI-1-839557,,,,5,,,839557,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448086,4/22/13,Convolvulaceae,Maripa,panamensis,Osmar Agrazal,12.2,,,,,2012.01,,Level 0,VL-BCI-1-839558,,,,23,,,839558,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448500,4/16/13,Convolvulaceae,Maripa,panamensis,Guillermo Aguilar,15.3,,,,,2012.01,,Level 0,VL-BCI-2-838435,,,,18,,,838435,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-2,155.1372069,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448501,4/16/13,Malpighiaceae,Heteropterys,laurifolia,Guillermo Aguilar,10.8,,,,,2012.01,,Level 0,VL-BCI-2-838436,,,,16,,,838436,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-2,155.1372069,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
448502,4/16/13,Combretaceae,Combretum,laxum,Guillermo Aguilar,10.8,,,,,2012.01,,Level 0,VL-BCI-2-838437,,,,16,,,838437,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-2,155.1372069,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449130,4/8/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,14.3,,,,,2012.01,,Level 0,VL-BCI-3-802608,,,,7,,,802608,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449131,4/8/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,12.9,,,,,2012.01,,Level 0,VL-BCI-3-802609,,,,7,,,802609,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449135,4/8/13,Fabaceae,Bauhinia,guianensis,Roni Saenz,18.8,,,,,2012.01,,Level 0,VL-BCI-3-804514,,,,3,,,804514,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449136,4/8/13,Fabaceae,Bauhinia,guianensis,Roni Saenz,10,,,K,,2012.01,,Level 0,VL-BCI-3-804515,,,,3,,,804515,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449143,4/8/13,Celastraceae,Hylenaea,praecelsa,Antonio Aguilar Valdes,10.9,,,,,2012.01,,Level 0,VL-BCI-3-804523,,,,22,,,804523,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449144,4/8/13,Fabaceae,Entada,gigas,Antonio Aguilar Valdes,19.4,,,,,2012.01,,Level 0,VL-BCI-3-804524,,,,23,,,804524,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449145,4/8/13,Rubiaceae,Chiococca,alba,Antonio Aguilar Valdes,13.1,,,,,2012.01,,Level 0,VL-BCI-3-804525,,,,23,,,804525,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449146,4/8/13,Dilleniaceae,Doliocarpus,dentatus,Roni Saenz,10,,,K,,2012.01,,Level 0,VL-BCI-3-828508,,,,11,,,828508,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449150,4/8/13,Dilleniaceae,Tetracera,volubilis,Roni Saenz,13.3,,,,,2012.01,,Level 0,VL-BCI-3-828512,,,,14,,,828512,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449153,4/8/13,Fabaceae,Bauhinia,guianensis,Roni Saenz,18.2,,,,,2012.01,,Level 0,VL-BCI-3-828515,,,,15,,,828515,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449162,4/8/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,10,,,N,,2012.01,,Level 0,VL-BCI-3-839518,,,,9,,,839518,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449163,4/8/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,10,,,N,,2012.01,,Level 0,VL-BCI-3-839519,,,,9,,,839519,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449164,4/8/13,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,13.8,,,,,2012.01,,Level 0,VL-BCI-3-839533,,,,8,,,839533,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449166,4/9/13,Malpighiaceae,Hiraea,faginea,Luis Aguilar,14,,,,,2012.01,,Level 0,VL-BCI-4-001457,,,,1,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449167,4/9/13,Bignoniaceae,Arrabidaea,candicans,Roni Saenz,12.2,,,,,2012.01,,Level 0,VL-BCI-4-001464.101,,,,2,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449168,4/9/13,Celastraceae,Prionostemma,asperum,Roni Saenz,14.5,,,,,2012.01,,Level 0,VL-BCI-4-001480.101,,,,5,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449169,4/9/13,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,14.9,,,,,2012.01,,Level 0,VL-BCI-4-002103.101,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449170,4/9/13,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,15.5,,,,,2012.01,,Level 0,VL-BCI-4-002103.202,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449171,4/9/13,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,12,,,,,2012.01,,Level 0,VL-BCI-4-002103.303,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449172,4/9/13,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,13.2,,,,,2012.01,,Level 0,VL-BCI-4-002105,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449173,4/9/13,Unknown,Unknown,unknown,Roni Saenz,10.1,,,,,2012.01,,Level 0,VL-BCI-4-002117,,,,14,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449174,4/9/13,Bignoniaceae,Amphilophium,paniculatum,Roni Saenz,13.3,,,,,2012.01,,Level 0,VL-BCI-4-002118,,,,14,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449175,4/9/13,Menispermaceae,Abuta,racemosa,Antonio Aguilar Valdes,20.3,,,,,2012.01,,Level 0,VL-BCI-4-002167,,,,9,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449176,4/9/13,Fabaceae,Bauhinia,reflexa,Antonio Aguilar Valdes,14.9,,,,,2012.01,,Level 0,VL-BCI-4-002168,,,,9,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449177,4/9/13,Connaraceae,Connarus,panamensis,Antonio Aguilar Valdes,10.8,,,,,2012.01,,Level 0,VL-BCI-4-042080,,,,8,,,42080,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449765,4/9/13,Dilleniaceae,Davilla,nitida,Antonio Aguilar Valdes,13,,,,,2012.01,,Level 0,VL-BCI-4-827466,,,,18,,,827466,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449770,4/10/13,Celastraceae,Prionostemma,asperum,Antonio Aguilar Valdes,19,,,,,2012.01,,Level 0,VL-BCI-5-001709,,,,20,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449771,4/10/13,Fabaceae,Entada,gigas,Antonio Aguilar Valdes,16.4,,,,,2012.01,,Level 0,VL-BCI-5-001909,,,,6,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449772,4/10/13,Bignoniaceae,Arrabidaea,verrucosa,Antonio Aguilar Valdes,10,,,K,,2012.01,,Level 0,VL-BCI-5-001915,,,,8,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449773,4/10/13,Fabaceae,Acacia,hayesii,Antonio Aguilar Valdes,10.8,,,,,2012.01,,Level 0,VL-BCI-5-001916,,,,8,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449774,4/10/13,Sapindaceae,Thinouia,myriantha,Luis Aguilar,10.2,,,,,2012.01,,Level 0,VL-BCI-5-001917,,,,1,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449775,4/10/13,Fabaceae,Entada,gigas,Roni Saenz,18.2,,,,,2012.01,,Level 0,VL-BCI-5-001931,,,,5,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449776,4/10/13,Bignoniaceae,Arrabidaea,verrucosa,Antonio Aguilar Valdes,10.8,,,,,2012.01,,Level 0,VL-BCI-5-002128,,,,7,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449777,4/10/13,Bignoniaceae,Arrabidaea,verrucosa,Antonio Aguilar Valdes,11.1,,,,,2012.01,,Level 0,VL-BCI-5-002129,,,,7,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449778,4/10/13,Celastraceae,Prionostemma,asperum,Roni Saenz,13.8,,,,,2012.01,,Level 0,VL-BCI-5-011492.101,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449779,4/10/13,Celastraceae,Prionostemma,asperum,Roni Saenz,11.4,,,,,2012.01,,Level 0,VL-BCI-5-011492.202,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
449780,4/10/13,Celastraceae,Prionostemma,asperum,Roni Saenz,14.3,,,,,2012.01,,Level 0,VL-BCI-5-011493,,,,24,,,11493,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
450323,4/11/13,Dilleniaceae,Doliocarpus,dentatus,Luis Aguilar,11.3,,,,,2012.01,,Level 0,VL-BCI-6-001305,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-6,77.75183,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451271,4/11/14,Fabaceae,Bauhinia,reflexa,Antonio Aguilar Valdes,18.7,,,,,2013.01,,Level 0,VL-BCI-1-804639,,,,21,,,804639,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451272,4/4/14,Fabaceae,Machaerium,milleflorum,Antonio Aguilar Valdes,11.7,,,,,2013.01,,Level 0,VL-BCI-1-804640,,,,22,,,804640,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451273,4/4/14,Celastraceae,Prionostemma,asperum,Antonio Aguilar Valdes,11.2,,,,,2013.01,,Level 0,VL-BCI-1-804641,,,,22,,,804641,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451274,4/4/14,Celastraceae,Prionostemma,asperum,Antonio Aguilar Valdes,12.7,,,,,2013.01,,Level 0,VL-BCI-1-804642,,,,22,,,804642,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451283,4/11/14,Celastraceae,Prionostemma,asperum,Antonio Aguilar Valdes,14.8,,,,,2013.01,,Level 0,VL-BCI-1-828545,,,,24,,,828545,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451284,4/11/14,Combretaceae,Combretum,fruticosum,Antonio Aguilar Valdes,11.8,,,,,2013.01,,Level 0,VL-BCI-1-828547,,,,24,,,828547,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451285,4/10/14,Fabaceae,Bauhinia,reflexa,Guillermo Aguilar,15.4,,,,,2013.01,,Level 0,VL-BCI-1-828548,,,,12,,,828548,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451288,4/10/14,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,16.4,,,,,2013.01,,Level 0,VL-BCI-1-839556,,,,4,,,839556,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451289,4/10/14,Celastraceae,Prionostemma,asperum,Antonio Aguilar Valdes,14.4,,,,,2013.01,,Level 0,VL-BCI-1-839557,,,,5,,,839557,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451290,4/11/14,Convolvulaceae,Maripa,panamensis,Antonio Aguilar Valdes,12.4,,,,,2013.01,,Level 0,VL-BCI-1-839558,,,,23,,,839558,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451690,4/9/14,Convolvulaceae,Maripa,panamensis,Mitzila Gaitan,15.5,,,,,2013.01,,Level 0,VL-BCI-2-838435,,,,18,,,838435,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-2,155.1372069,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451691,4/9/14,Malpighiaceae,Heteropterys,laurifolia,Roni Saenz,11,,,,,2013.01,,Level 0,VL-BCI-2-838436,,,,16,,,838436,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-2,155.1372069,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
451692,4/9/14,Combretaceae,Combretum,laxum,Roni Saenz,11.1,,,,,2013.01,,Level 0,VL-BCI-2-838437,,,,16,,,838437,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-2,155.1372069,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
452329,4/4/14,Fabaceae,Bauhinia,guianensis,Roni Saenz,14.3,,,,,2013.01,,Level 0,VL-BCI-3-802608,,,,7,,,802608,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
452330,4/4/14,Fabaceae,Bauhinia,guianensis,Roni Saenz,12.8,,,,,2013.01,,Level 0,VL-BCI-3-802609,,,,7,,,802609,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
452334,4/3/14,Fabaceae,Bauhinia,guianensis,Roni Saenz,18.9,,,,,2013.01,,Level 0,VL-BCI-3-804514,,,,3,,,804514,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
452335,4/3/14,Fabaceae,Bauhinia,guianensis,Roni Saenz,10,,,K,,2013.01,,Level 0,VL-BCI-3-804515,,,,3,,,804515,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
452342,4/3/14,Celastraceae,Hylenaea,praecelsa,Guillermo Aguilar,11.3,,,,,2013.01,,Level 0,VL-BCI-3-804523,,,,22,,,804523,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
