Id,Observation Date,Family,Genus,Species,Names of Collectors,Diameter at 1.3m,Max Diameter,Max Diameter POM,Condition Codes,Location Codes,Sampling Period,Comments,Data Level,Sampling Unit Name,Latitude,Longitude,Method,Subplot Number,1ha Plot X Coordinate,1ha Plot Y Coordinate,Tree Number,Site Name,1ha Plot Number,Elevation,Protocol Version,Data Set Creator Institution,Data Set Creator Scientist
442685,4/19/11,Rubiaceae,Chiococca,alba,Antonio Aguilar Valdes,12.2,,,,,2010.01,,Level 0,VL-BCI-3-804525,,,,23,,,804525,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442686,4/18/11,Dilleniaceae,Doliocarpus,dentatus,Guillermo Aguilar,10.3,,,,,2010.01,,Level 0,VL-BCI-3-828508,,,,11,,,828508,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442690,4/18/11,Dilleniaceae,Tetracera,volubilis,Guillermo Aguilar,13.1,,,,,2010.01,,Level 0,VL-BCI-3-828512,,,,14,,,828512,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442693,4/18/11,Fabaceae,Bauhinia,guianensis,Guillermo Aguilar,14.9,,,,,2010.01,,Level 0,VL-BCI-3-828515,,,,15,,,828515,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442700,4/18/11,Fabaceae,Bauhinia,guianensis,Roni Saenz,21.6,,,,,2010.01,,Level 0,VL-BCI-3-839518,,,,9,,,839518,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442701,4/18/11,Fabaceae,Bauhinia,guianensis,Roni Saenz,17.9,,,,,2010.01,,Level 0,VL-BCI-3-839519,,,,9,,,839519,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442702,4/18/11,Fabaceae,Bauhinia,guianensis,Roni Saenz,13.7,,,,,2010.01,,Level 0,VL-BCI-3-839533,,,,8,,,839533,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442703,4/25/11,Malpighiaceae,Hiraea,faginea,Antonio Aguilar Valdes,14.4,,,,,2010.01,,Level 0,VL-BCI-4-001457,,,,1,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442704,4/25/11,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,12,,,,,2010.01,,Level 0,VL-BCI-4-001464,,,,2,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442705,4/25/11,Celastraceae,Prionostemma,asperum,Antonio Aguilar Valdes,13.7,,,,,2010.01,,Level 0,VL-BCI-4-001480,,,,5,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442706,4/25/11,Bignoniaceae,Arrabidaea,candicans,Luis Aguilar,13.5,,,,,2010.01,,Level 0,VL-BCI-4-002103,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442707,4/25/11,Bignoniaceae,Arrabidaea,candicans,Luis Aguilar,12.3,,,,,2010.01,,Level 0,VL-BCI-4-002105,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442708,4/26/11,Unknown,Unknown,unknown,Antonio Aguilar Valdes,10,,,,,2010.01,,Level 0,VL-BCI-4-002117,,,,14,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442709,4/26/11,Bignoniaceae,Amphilophium,paniculatum,Antonio Aguilar Valdes,11.6,,,,,2010.01,,Level 0,VL-BCI-4-002118,,,,14,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442710,4/25/11,Menispermaceae,Abuta,racemosa,Guillermo Aguilar,20,,,,,2010.01,,Level 0,VL-BCI-4-002167,,,,9,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442711,4/25/11,Fabaceae,Bauhinia,reflexa,Guillermo Aguilar,13.3,,,,,2010.01,,Level 0,VL-BCI-4-002168,,,,9,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442712,4/25/11,Connaraceae,Connarus,panamensis,Biancolini Castro,10.5,,,,,2010.01,,Level 0,VL-BCI-4-042080,,,,8,,,42080,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443281,4/13/11,Celastraceae,Prionostemma,asperum,Guillermo Aguilar,19,,,,,2010.01,,Level 0,VL-BCI-5-001709,,,,20,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443282,4/13/11,Fabaceae,Entada,gigas,Antonio Aguilar Valdes,16,,,,,2010.01,,Level 0,VL-BCI-5-001909,,,,6,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443283,4/11/11,Bignoniaceae,Arrabidaea,verrucosa,Antonio Aguilar Valdes,11.7,,,,,2010.01,,Level 0,VL-BCI-5-001915,,,,8,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443284,4/11/11,Fabaceae,Acacia,hayesii,Antonio Aguilar Valdes,10.7,,,,,2010.01,,Level 0,VL-BCI-5-001916,,,,8,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443285,4/13/11,Sapindaceae,Thinouia,myriantha,Luis Aguilar,10,,,,,2010.01,,Level 0,VL-BCI-5-001917,,,,1,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443286,4/13/11,Fabaceae,Entada,gigas,Luis Aguilar,17.8,,,,,2010.01,,Level 0,VL-BCI-5-001931,,,,5,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443287,4/13/11,Bignoniaceae,Arrabidaea,verrucosa,Antonio Aguilar Valdes,11,,,,,2010.01,,Level 0,VL-BCI-5-002128,,,,7,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443288,4/13/11,Bignoniaceae,Arrabidaea,verrucosa,Antonio Aguilar Valdes,10.7,,,,,2010.01,,Level 0,VL-BCI-5-002129,,,,7,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443289,4/13/11,Celastraceae,Prionostemma,asperum,Biancolini Castro,13.5,,,,,2010.01,,Level 0,VL-BCI-5-011492.101,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443290,4/13/11,Celastraceae,Prionostemma,asperum,Biancolini Castro,11.3,,,,,2010.01,,Level 0,VL-BCI-5-011492.202,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443291,4/13/11,Celastraceae,Prionostemma,asperum,Biancolini Castro,14.1,,,,,2010.01,,Level 0,VL-BCI-5-011493,,,,24,,,11493,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-5,172.6812744,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
443815,4/21/11,Dilleniaceae,Doliocarpus,dentatus,Roni Saenz,11.1,,,,,2010.01,,Level 0,VL-BCI-6-001305,,,,23,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-6,77.75183,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
444748,4/9/12,Fabaceae,Bauhinia,reflexa,Roni Saenz,18.5,,,,,2011.01,,Level 0,VL-BCI-1-804639,,,,21,,,804639,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444749,4/9/12,Fabaceae,Machaerium,milleflorum,Roni Saenz,11.2,,,,,2011.01,,Level 0,VL-BCI-1-804640,,,,22,,,804640,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444750,4/9/12,Celastraceae,Prionostemma,asperum,Roni Saenz,11.2,,,,,2011.01,,Level 0,VL-BCI-1-804641,,,,22,,,804641,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444751,4/9/12,Celastraceae,Prionostemma,asperum,Roni Saenz,12.5,,,,,2011.01,,Level 0,VL-BCI-1-804642,,,,22,,,804642,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444757,4/4/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,13,,,,,2011.01,,Level 0,VL-BCI-1-828543,,,,2,,,828543,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444758,4/4/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,14.3,,,,,2011.01,,Level 0,VL-BCI-1-828544,,,,2,,,828544,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444759,4/9/12,Celastraceae,Prionostemma,asperum,Biancolini Castro,14.4,,,,,2011.01,,Level 0,VL-BCI-1-828545,,,,24,,,828545,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444760,4/9/12,Dilleniaceae,Doliocarpus,dentatus,Biancolini Castro,10,,,K,,2011.01,,Level 0,VL-BCI-1-828546,,,,24,,,828546,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444761,4/9/12,Combretaceae,Combretum,fruticosum,Biancolini Castro,11.5,,,,,2011.01,,Level 0,VL-BCI-1-828547,,,,24,,,828547,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444762,4/4/12,Fabaceae,Bauhinia,reflexa,Mitzila Gaitan,15.1,,,,,2011.01,,Level 0,VL-BCI-1-828548,,,,12,,,828548,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444765,4/9/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,15.8,,,,,2011.01,,Level 0,VL-BCI-1-839556,,,,4,,,839556,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444766,4/9/12,Celastraceae,Prionostemma,asperum,Antonio Aguilar Valdes,14,,,,,2011.01,,Level 0,VL-BCI-1-839557,,,,5,,,839557,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
444767,4/9/12,Convolvulaceae,Maripa,panamensis,Roni Saenz,12.2,,,,,2011.01,,Level 0,VL-BCI-1-839558,,,,23,,,839558,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445855,3/23/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,10.5,,,,,2011.01,,Level 0,VL-BCI-3-537336.101,,,,7,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445908,3/23/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,14.2,,,,,2011.01,,Level 0,VL-BCI-3-802608,,,,7,,,802608,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445909,3/23/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,12,,,,,2011.01,,Level 0,VL-BCI-3-802609,,,,7,,,802609,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445913,3/23/12,Fabaceae,Bauhinia,guianensis,Biancolini Castro,22.2,,,,,2011.01,,Level 0,VL-BCI-3-804514,,,,3,,,804514,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445914,3/23/12,Fabaceae,Bauhinia,guianensis,Biancolini Castro,11.7,,,,,2011.01,,Level 0,VL-BCI-3-804515,,,,3,,,804515,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445921,3/23/12,Celastraceae,Hylenaea,praecelsa,Biancolini Castro,10.6,,,,,2011.01,,Level 0,VL-BCI-3-804523,,,,22,,,804523,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445922,3/23/12,Fabaceae,Entada,gigas,Biancolini Castro,18.4,,,,,2011.01,,Level 0,VL-BCI-3-804524,,,,23,,,804524,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445923,3/23/12,Rubiaceae,Chiococca,alba,Biancolini Castro,12.4,,,,,2011.01,,Level 0,VL-BCI-3-804525,,,,23,,,804525,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445924,3/23/12,Dilleniaceae,Doliocarpus,dentatus,Roni Saenz,10,,,K,,2011.01,,Level 0,VL-BCI-3-828508,,,,11,,,828508,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
